訓練日期,20180627 - 20180927
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11325578.899999998509884
真實報酬,1325578.899999998509884

夏普值報酬,0.123857890000000
夏普值風險,0.037499482258464
夏普值,3.302922668273440

預期報酬,21057.254112635451747
風險,50495.799538592706085
趨勢值,0.417010014794239
找到最佳解世代,2378
找到最佳解實驗#,1
找到最佳解次數,44

stock[index](rank)
投資組合檔數,8
AAPL[0](4),CSCO[4](17),HD[9](25),KO[14](19),MRK[17](1),MSFT[18](7),PFE[20](2),XOM[29](27),
Stock#,AAPL[0](4),CSCO[4](17),HD[9](25),KO[14](19),MRK[17](1),MSFT[18](7),PFE[20](2),XOM[29](27),
張數,6777,29377,6365,28848,20586,12616,34359,15500,
分配資金,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,
剩餘資金,117.889999999897555,8.650000000139698,168.599999999860302,16.160000000149012,18.080000000074506,6.719999999972060,19.579999999841675,80.000000000000000,
20180627,1248170.209999999962747,1243537.060000000055879,1241470.899999999906868,1242499.520000000251457,1232707.760000000242144,1230571.360000000102445,1244158.969999999972060,1266585.000000000000000,9949700.780000001192093
20180628,1257251.389999999897555,1261457.030000000027940,1242680.250000000000000,1254038.720000000204891,1241353.880000000121072,1244322.799999999813735,1249312.819999999832362,1270615.000000000000000,10021031.890000000596046
20180629,1254608.360000000102445,1264100.960000000195578,1241980.099999999860302,1265289.440000000176951,1249588.280000000027940,1244070.479999999981374,1246564.099999999860302,1282395.000000000000000,10048596.720000000670552
20180702,1268636.750000000000000,1257638.020000000251457,1235105.899999999906868,1262116.160000000149012,1244647.640000000130385,1261732.880000000121072,1248282.049999999813735,1267360.000000000000000,10045519.400000000372529
20180703,1246543.729999999748543,1253525.240000000223517,1232559.899999999906868,1269039.680000000167638,1249794.140000000130385,1249621.520000000018626,1248969.229999999981374,1274800.000000000000000,10024853.439999999478459
20180705,1256573.689999999944121,1250293.770000000251457,1237588.249999999767169,1288367.840000000083819,1268939.120000000111759,1258578.880000000121072,1266835.909999999683350,1275885.000000000000000,10103062.459999999031425
20180706,1273990.579999999841675,1254700.320000000065193,1238033.799999999813735,1287790.880000000121072,1280467.280000000027940,1276241.280000000027940,1275082.069999999832362,1276195.000000000000000,10162501.210000000894070
20180709,1291678.550000000046566,1253525.240000000223517,1248217.800000000046566,1280867.360000000102445,1276761.800000000046566,1284946.319999999832362,1276800.019999999785796,1285030.000000000000000,10197827.089999999850988
20180710,1290119.839999999850988,1259106.870000000111759,1257956.250000000000000,1297310.720000000204891,1282525.880000000121072,1288352.640000000130385,1286076.949999999720603,1296810.000000000000000,10258259.149999998509884
20180711,1273380.649999999906868,1250587.540000000037253,1253755.349999999860302,1292118.080000000074506,1274291.479999999981374,1286586.399999999906868,1278517.969999999972060,1280225.000000000000000,10189462.470000000670552
20180712,1294728.199999999953434,1280258.310000000055879,1260120.349999999860302,1288656.320000000298023,1289936.840000000083819,1314467.760000000009313,1289169.260000000009313,1281775.000000000000000,10299112.039999999105930
20180713,1296761.300000000046566,1227379.710000000195578,1264830.449999999953434,1290675.680000000167638,1294671.620000000111759,1330111.600000000093132,1289512.849999999860302,1291385.000000000000000,10285328.210000000894070
20180716,1293914.959999999962747,1248531.150000000139698,1266039.799999999813735,1290387.199999999953434,1288495.820000000065193,1323551.280000000027940,1284359.000000000000000,1278675.000000000000000,10273954.210000000894070
20180717,1297574.539999999804422,1243830.830000000307336,1280170.099999999860302,1305388.160000000149012,1287260.660000000149012,1336671.919999999925494,1293635.929999999701977,1275885.000000000000000,10320417.140000000596046
20180718,1290458.689999999944121,1240011.820000000065193,1279342.649999999906868,1301637.920000000158325,1295700.919999999925494,1326200.640000000130385,1293979.519999999785796,1274490.000000000000000,10301822.160000000149012
20180719,1300488.649999999906868,1245593.450000000186265,1289908.549999999813735,1301349.440000000176951,1286848.939999999944121,1317117.120000000111759,1283671.819999999832362,1271235.000000000000000,10296212.969999998807907
20180720,1297506.769999999785796,1234136.420000000158325,1288762.849999999860302,1306253.600000000093132,1287054.800000000046566,1340709.040000000037253,1282641.049999999813735,1261780.000000000000000,10298844.530000001192093
20180723,1297506.769999999785796,1235605.270000000251457,1287362.549999999813735,1296733.760000000242144,1290554.419999999925494,1362156.239999999990687,1278517.969999999972060,1261780.000000000000000,10310216.980000000447035
20180724,1308078.889999999897555,1245299.680000000167638,1285834.949999999953434,1305676.640000000130385,1305582.200000000186265,1358245.280000000027940,1295353.879999999888241,1286735.000000000000000,10390806.519999999552965
20180725,1320413.029999999795109,1267919.969999999972060,1279533.599999999860302,1329620.480000000214204,1327609.219999999972060,1398238.000000000000000,1305317.989999999990687,1295725.000000000000000,10524377.289999999105930
20180726,1316279.060000000055879,1278789.460000000195578,1269349.599999999860302,1333947.680000000167638,1317727.940000000176951,1382972.640000000130385,1311159.019999999785796,1305800.000000000000000,10516025.400000000372529
20180727,1294389.349999999860302,1250587.540000000037253,1254964.699999999720603,1333082.240000000223517,1307023.220000000204891,1358497.600000000093132,1319748.769999999785796,1269840.000000000000000,10388133.419999999925494
20180730,1287137.959999999962747,1238836.740000000223517,1255855.799999999813735,1333659.199999999953434,1334196.740000000223517,1329354.640000000130385,1325933.389999999897555,1267050.000000000000000,10372024.470000000670552
20180731,1289713.219999999739230,1242361.980000000214204,1257383.399999999906868,1345198.400000000139698,1356017.900000000139698,1338312.000000000000000,1371974.449999999720603,1263485.000000000000000,10464446.349999999627471
20180801,1365683.389999999897555,1229729.870000000111759,1249618.099999999860302,1338274.880000000121072,1348195.219999999972060,1340835.199999999953434,1383656.510000000009313,1246125.000000000000000,10502118.169999999925494
20180802,1405599.919999999692664,1249412.460000000195578,1245544.499999999767169,1332216.800000000046566,1342637.000000000000000,1357109.839999999850988,1362353.929999999701977,1238685.000000000000000,10533559.449999999254942
20180803,1409666.119999999878928,1258225.560000000055879,1245417.199999999720603,1344909.920000000158325,1357253.060000000288710,1363039.360000000102445,1392933.439999999711290,1243180.000000000000000,10614624.660000000149012
20180806,1416985.279999999795109,1272032.750000000000000,1245735.449999999953434,1345775.360000000102445,1363223.000000000000000,1364174.799999999813735,1410112.939999999711290,1242870.000000000000000,10660909.580000000074506
20180807,1403702.360000000102445,1280258.310000000055879,1254391.849999999860302,1341448.160000000149012,1370633.959999999962747,1373636.799999999813735,1403241.139999999897555,1259765.000000000000000,10687077.580000000074506
20180808,1404651.139999999897555,1287896.330000000307336,1260565.899999999906868,1331351.360000000102445,1372898.419999999925494,1381332.559999999823049,1422825.769999999785796,1251395.000000000000000,10712916.480000000447035
20180809,1415697.649999999906868,1286133.710000000195578,1260947.800000000046566,1337120.960000000195578,1358694.080000000074506,1383603.439999999944121,1408738.579999999841675,1245040.000000000000000,10695976.220000000670552
20180810,1406548.699999999953434,1286133.710000000195578,1249618.099999999860302,1329332.000000000000000,1360135.099999999860302,1375150.719999999972060,1406333.449999999720603,1231090.000000000000000,10644341.779999999329448
20180813,1415629.879999999888241,1285252.400000000139698,1235869.699999999720603,1322120.000000000000000,1373516.000000000000000,1365184.079999999841675,1402210.369999999878928,1217760.000000000000000,10617542.429999999701977
20180814,1421593.639999999897555,1292596.650000000139698,1229250.099999999860302,1323850.880000000121072,1368163.639999999897555,1382215.679999999934807,1398774.469999999972060,1213885.000000000000000,10630330.059999998658895
20180815,1424914.369999999878928,1288483.870000000111759,1234914.949999999953434,1329332.000000000000000,1386896.900000000139698,1358245.280000000027940,1414236.019999999785796,1192650.000000000000000,10629673.390000000596046
20180816,1445787.529999999795109,1326673.969999999972060,1243825.949999999720603,1333370.720000000204891,1417364.179999999934807,1357992.959999999962747,1423169.359999999869615,1209080.000000000000000,10757264.669999999925494
20180817,1474657.550000000046566,1347531.640000000130385,1244907.999999999767169,1344332.960000000195578,1421687.240000000223517,1357236.000000000000000,1446189.889999999897555,1213110.000000000000000,10849653.280000001192093
20180820,1460290.310000000055879,1357813.590000000083819,1259993.049999999813735,1348083.199999999953434,1444537.700000000186265,1348278.640000000130385,1454436.049999999813735,1221635.000000000000000,10895067.539999999105930
20180821,1457443.969999999739230,1344887.710000000195578,1274632.549999999813735,1333370.720000000204891,1423951.700000000186265,1337050.399999999906868,1448595.019999999785796,1221945.000000000000000,10841877.069999998435378
20180822,1457511.739999999990687,1351056.880000000121072,1266612.649999999906868,1325004.800000000046566,1421275.520000000251457,1350675.679999999934807,1445502.709999999962747,1239460.000000000000000,10857099.980000000447035
20180823,1460493.619999999878928,1351938.190000000176951,1274186.999999999767169,1318369.760000000242144,1419834.500000000000000,1356983.679999999934807,1449969.379999999888241,1225820.000000000000000,10857596.129999998956919
20180824,1465034.209999999962747,1360751.290000000037253,1281443.099999999860302,1316350.400000000139698,1421275.520000000251457,1367581.120000000111759,1456841.179999999701977,1234190.000000000000000,10903466.820000000298023
20180827,1477097.269999999785796,1368683.080000000307336,1285771.299999999813735,1318081.280000000027940,1420246.219999999972060,1382720.319999999832362,1428666.799999999813735,1246280.000000000000000,10927546.269999999552965
20180828,1489024.789999999804422,1379258.800000000279397,1285707.649999999906868,1308849.920000000158325,1412835.260000000009313,1391046.880000000121072,1425918.079999999841675,1244420.000000000000000,10937061.379999998956919
20180829,1511253.349999999860302,1394828.610000000102445,1283861.799999999813735,1307696.000000000000000,1416540.740000000223517,1413251.040000000037253,1425918.079999999841675,1253410.000000000000000,11006759.619999999180436
20180830,1525146.199999999953434,1385134.200000000186265,1268458.499999999767169,1296733.760000000242144,1410982.520000000251457,1412367.919999999925494,1425918.079999999841675,1247985.000000000000000,10972726.179999999701977
20180831,1542766.399999999906868,1403347.940000000176951,1278069.649999999906868,1285771.520000000251457,1412011.820000000065193,1417162.000000000000000,1426605.260000000009313,1242715.000000000000000,11008449.590000001713634
20180904,1547713.610000000102445,1402172.860000000102445,1305502.800000000046566,1291252.640000000130385,1398836.780000000027940,1409340.079999999841675,1421451.409999999683350,1244575.000000000000000,11020845.179999999701977
20180905,1537615.879999999888241,1388659.440000000176951,1299583.349999999860302,1309138.400000000139698,1412629.400000000139698,1368716.559999999823049,1437943.729999999981374,1261160.000000000000000,11015446.759999999776483
20180906,1512066.589999999850988,1388953.210000000195578,1310658.449999999720603,1320389.120000000344589,1428274.760000000009313,1371870.559999999823049,1435538.599999999860302,1247210.000000000000000,11014961.289999999105930
20180907,1499867.989999999990687,1382196.500000000000000,1312822.549999999813735,1318946.720000000204891,1434244.700000000186265,1365184.079999999841675,1449969.379999999888241,1268445.000000000000000,11031676.919999999925494
20180910,1479740.300000000046566,1382784.040000000037253,1341210.449999999953434,1328755.040000000270084,1431980.240000000223517,1379944.799999999813735,1445159.119999999878928,1266585.000000000000000,11056158.990000000223517
20180911,1517149.339999999850988,1381608.960000000195578,1361323.849999999860302,1327601.120000000344589,1422098.959999999962747,1403410.559999999823049,1453748.869999999878928,1284410.000000000000000,11151351.659999998286366
20180912,1498309.279999999795109,1377496.180000000167638,1349421.299999999813735,1333947.680000000167638,1438156.040000000037253,1409340.079999999841675,1457184.769999999785796,1288595.000000000000000,11152450.329999998211861
20180913,1534498.459999999962747,1387778.130000000121072,1333317.849999999860302,1322120.000000000000000,1458124.459999999962747,1424479.280000000027940,1472302.729999999981374,1276040.000000000000000,11208660.910000000149012
20180914,1517081.569999999832362,1392478.450000000186265,1330899.149999999906868,1326735.680000000167638,1440626.360000000102445,1430282.640000000130385,1476082.219999999972060,1285340.000000000000000,11199526.070000000298023
20180917,1476690.649999999906868,1383959.120000000111759,1326634.599999999860302,1336255.520000000251457,1449684.200000000186265,1414764.959999999962747,1477800.169999999692664,1292935.000000000000000,11158724.220000000670552
20180918,1479130.369999999878928,1394241.070000000065193,1343310.899999999906868,1325004.800000000046566,1449684.200000000186265,1428264.079999999841675,1494979.669999999692664,1296345.000000000000000,11210960.089999999850988
20180919,1480011.379999999888241,1388953.210000000195578,1347511.799999999813735,1325870.240000000223517,1440626.360000000102445,1409213.919999999925494,1486389.919999999692664,1311845.000000000000000,11190421.830000000074506
20180920,1491261.199999999953434,1402172.860000000102445,1343565.499999999767169,1345486.880000000121072,1457095.160000000149012,1432805.839999999850988,1503225.829999999841675,1314790.000000000000000,11290403.269999999552965
20180921,1475199.709999999962747,1426555.770000000251457,1352030.949999999720603,1343756.000000000000000,1463682.679999999934807,1441510.880000000121072,1513877.119999999878928,1320215.000000000000000,11336828.109999999403954
20180924,1496411.719999999739230,1423030.530000000027940,1324024.949999999953434,1329043.520000000251457,1457095.160000000149012,1446683.439999999944121,1509410.449999999720603,1342380.000000000000000,11328079.769999999552965
20180925,1505899.519999999785796,1423911.840000000083819,1320651.500000000000000,1317792.800000000046566,1454418.980000000214204,1443907.919999999925494,1504600.189999999711290,1340830.000000000000000,11312012.749999998137355
20180926,1493904.229999999748543,1422149.219999999972060,1321033.399999999906868,1322696.960000000195578,1447831.459999999962747,1437978.399999999906868,1500820.699999999720603,1329670.000000000000000,11276084.369999999180436
20180927,1524604.039999999804422,1419799.060000000055879,1316705.199999999953434,1327312.640000000130385,1455860.000000000000000,1443403.280000000027940,1508379.679999999701977,1329515.000000000000000,11325578.899999998509884
