訓練日期,20110523 - 20110823
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11009402.599999999627471
真實報酬,1009402.599999999627471

夏普值報酬,0.092240260000000
夏普值風險,0.046451705448622
夏普值,1.985723863293297

預期報酬,14899.386335664345097
風險,313189.337754909647629
趨勢值,0.047573095694988
找到最佳解世代,2535
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
AAPL[0](2),MCD[15](1),
Stock#,AAPL[0](2),MCD[15](1),
張數,104405,60731,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,44.549999999813735,16.770000000484288,
20110523,4987471.400000000372529,5010324.270000000484288,9997795.670000001788139
20110524,4955105.849999999627471,5018826.610000000335276,9973932.460000000894070
20110525,5022969.099999999627471,5023685.090000000782311,10046654.190000001341105
20110526,4996867.849999999627471,5006073.100000000558794,10002940.949999999254942
20110527,5032365.549999999813735,4956880.990000001154840,9989246.540000000968575
20110531,5187929.000000000000000,4952022.510000000707805,10139951.510000001639128
20110601,5153475.349999999627471,4918013.150000000372529,10071488.500000000000000
20110602,5161827.750000000000000,4904045.020000000484288,10065872.769999999552965
20110603,5122153.849999999627471,4891291.510000000707805,10013445.359999999403954
20110606,5041762.000000000000000,4901008.470000000670552,9942770.470000000670552
20110607,4951973.700000000186265,4927730.110000000335276,9879703.810000000521541
20110608,4955105.849999999627471,4928337.420000000856817,9883443.269999999552965
20110609,4944665.349999999627471,4935017.830000001005828,9879683.179999999701977
20110610,4861141.349999999627471,4880359.930000000633299,9741501.280000001192093
20110613,4871581.849999999627471,4902830.400000000372529,9774412.250000000000000
20110614,4958238.000000000000000,4947771.340000000782311,9906009.339999999850988
20110615,4873669.950000000186265,4933803.209999999962747,9807473.160000000149012
20110616,4849656.799999999813735,4968419.880000000819564,9818076.679999999701977
20110617,4776573.299999999813735,5011538.890000000596046,9788112.190000001341105
20110620,4703489.799999999813735,5021863.160000000149012,9725352.960000000894070
20110621,4851744.899999999441206,5028543.570000000298023,9880288.469999998807907
20110622,4812071.000000000000000,5019433.920000000856817,9831504.920000001788139
20110623,4940489.149999999441206,4997570.760000000707805,9938059.910000000149012
20110624,4867405.649999999441206,4970241.810000000521541,9837647.460000000894070
20110627,4951973.700000000186265,4999392.690000000409782,9951366.390000000596046
20110628,5000000.000000000000000,5122676.620000000111759,10122676.620000001043081
20110629,4982251.149999999441206,5136037.440000000409782,10118288.589999999850988
20110630,5006264.299999999813735,5120854.690000000409782,10127118.990000000223517
20110701,5120065.750000000000000,5201626.920000000856817,10321692.670000001788139
20110705,5211942.150000000372529,5201019.610000000335276,10412961.760000001639128
20110706,5246395.799999999813735,5214380.430000000633299,10460776.230000000447035
20110707,5327831.700000000186265,5226526.630000000819564,10554358.330000001937151
20110708,5365417.500000000000000,5198590.370000000111759,10564007.870000001043081
20110711,5279805.399999999441206,5183407.620000000111759,10463213.019999999552965
20110712,5276673.250000000000000,5161544.459999999962747,10438217.710000000894070
20110713,5340360.299999999813735,5159722.530000000260770,10500082.830000000074506
20110714,5336184.099999999627471,5211343.880000000819564,10547527.980000000447035
20110715,5442677.200000000186265,5191302.650000000372529,10633979.850000001490116
20110718,5575271.549999999813735,5186444.170000000856817,10761715.720000000670552
20110719,5621209.750000000000000,5235636.280000000260770,10856846.030000001192093
20110720,5770508.900000000372529,5239280.140000000596046,11009789.040000000968575
20110721,5776773.199999999254942,5255677.510000000707805,11032450.710000000894070
20110722,5866561.500000000000000,5378354.130000000819564,11244915.630000000819564
20110725,5943821.200000000186265,5351632.490000001154840,11295453.690000001341105
20110726,6016904.700000000186265,5345559.390000000596046,11362464.089999999850988
20110727,5855076.949999999254942,5289079.560000000521541,11144156.509999999776483
20110728,5843592.399999999441206,5270252.950000000186265,11113845.349999999627471
20110729,5823755.450000000186265,5252033.650000000372529,11075789.100000001490116
20110801,5917719.950000000186265,5246567.860000000335276,11164287.810000000521541
20110802,5800786.349999999627471,5165795.630000000819564,10966581.980000000447035
20110803,5855076.949999999254942,5194946.510000000707805,11050023.460000000894070
20110804,5628518.099999999627471,5118425.450000000186265,10746943.550000000745058
20110805,5572139.399999999441206,5167010.250000000000000,10739149.649999998509884
20110808,5268320.849999999627471,4986639.180000000633299,10254960.030000001192093
20110809,5578403.700000000186265,5220453.530000000260770,10798857.230000000447035
20110810,5424928.349999999627471,5106279.250000000000000,10531207.599999999627471
20110811,5574227.500000000000000,5239887.450000000186265,10814114.949999999254942
20110812,5623297.849999999627471,5253248.270000000484288,10876546.120000001043081
20110815,5718306.400000000372529,5272682.190000000409782,10990988.589999999850988
20110816,5674456.299999999813735,5263572.540000000968575,10938028.839999999850988
20110817,5674456.299999999813735,5313979.270000000484288,10988435.570000000298023
20110818,5459382.000000000000000,5199197.680000000633299,10658579.679999999701977
20110819,5310082.849999999627471,5297581.900000000372529,10607664.750000000000000
20110822,5316347.150000000372529,5329769.330000001005828,10646116.480000000447035
20110823,5572139.399999999441206,5437263.200000000186265,11009402.599999999627471
