訓練日期,20190116 - 20190418
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11914915.059999998658895
真實報酬,1914915.059999998658895

夏普值報酬,0.182791506000000
夏普值風險,0.050120174210664
夏普值,3.647064458150016

預期報酬,29394.194121176529734
風險,69477.282745803968282
趨勢值,0.423076334587247
找到最佳解世代,2336
找到最佳解實驗#,1
找到最佳解次數,32

stock[index](rank)
投資組合檔數,6
AAPL[0](2),CSCO[4](1),MCD[15](22),PG[21](5),TRV[22](3),V[25](4),
Stock#,AAPL[0](2),CSCO[4](1),MCD[15](22),PG[21](5),TRV[22](3),V[25](4),
張數,10888,37861,9207,18113,13681,12135,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,39.840000000083819,24.779999999795109,14.859999999869615,88.869999999878928,46.580000000074506,45.099999999860302,
20190116,1687026.560000000055879,1664394.339999999850988,1651290.309999999823049,1655073.679999999934807,1673232.880000000121072,1666666.000000000000000,9997687.769999999552965
20190117,1697043.520000000251457,1673859.589999999850988,1667494.629999999888241,1641851.189999999944121,1681988.719999999972060,1665937.899999999906868,10028179.549999998882413
20190118,1707496.000000000000000,1704905.609999999869615,1680936.849999999860302,1655979.329999999841675,1696627.390000000130385,1680742.599999999860302,10126691.779999999329448
20190122,1669170.240000000223517,1695440.359999999869615,1699350.849999999860302,1638228.589999999850988,1674053.739999999990687,1675281.850000000093132,10051529.630000000819564
20190123,1675920.800000000046566,1721185.839999999850988,1713345.489999999990687,1717925.790000000037253,1683083.199999999953434,1662661.449999999720603,10174126.569999998435378
20190124,1662637.439999999944121,1726864.989999999757856,1725130.449999999953434,1708144.769999999785796,1701689.360000000102445,1671034.599999999627471,10195505.609999999403954
20190125,1717730.719999999972060,1746552.709999999962747,1694102.859999999869615,1695465.669999999692664,1709897.960000000195578,1682805.549999999813735,10246559.469999998807907
20190128,1701834.240000000223517,1732165.529999999795109,1690420.059999999823049,1694016.629999999888241,1710582.010000000009313,1650283.750000000000000,10179306.220000000670552
20190129,1684195.680000000167638,1740116.339999999850988,1677254.049999999813735,1694378.889999999897555,1707709.000000000000000,1638270.099999999860302,10141928.060000000521541
20190130,1799281.840000000083819,1768512.089999999850988,1673571.250000000000000,1712129.629999999888241,1722210.860000000102445,1669821.099999999860302,10345530.769999999552965
20190131,1812238.560000000055879,1790471.469999999739230,1646042.319999999832362,1747449.979999999748543,1717559.320000000065193,1638391.449999999720603,10352157.099999997764826
20190201,1813109.600000000093132,1792364.520000000018626,1627075.899999999906868,1765562.979999999748543,1730556.270000000018626,1700765.349999999860302,10429438.619999999180436
20190204,1864609.840000000083819,1792743.129999999888241,1634717.709999999962747,1775706.260000000009313,1724399.820000000065193,1717147.599999999860302,10509328.359999999403954
20190205,1896511.680000000167638,1789335.639999999664724,1634901.849999999860302,1765019.589999999850988,1726315.160000000149012,1729646.649999999906868,10541734.570000000298023
20190206,1897164.960000000195578,1797665.059999999590218,1622104.119999999878928,1773713.829999999841675,1717696.130000000121072,1717026.250000000000000,10525374.349999999627471
20190207,1861234.560000000055879,1768133.479999999981374,1613817.819999999832362,1759585.689999999944121,1734250.140000000130385,1701008.049999999813735,10438033.739999998360872
20190208,1855463.920000000158325,1786685.369999999646097,1608938.109999999869615,1769910.099999999860302,1720979.570000000065193,1703556.399999999906868,10445537.470000000670552
20190211,1844793.680000000167638,1801451.159999999683350,1604426.679999999701977,1780053.379999999888241,1715917.600000000093132,1708653.100000000093132,10455299.599999999627471
20190212,1860690.159999999916181,1813188.069999999832362,1601756.649999999906868,1797985.250000000000000,1741090.640000000130385,1723093.750000000000000,10537808.519999999552965
20190213,1852959.680000000167638,1798422.279999999795109,1603413.909999999916181,1797622.989999999757856,1751761.820000000065193,1741296.250000000000000,10545480.929999999701977
20190214,1859710.240000000223517,1832497.179999999701977,1619249.949999999953434,1783494.849999999860302,1736575.910000000149012,1737291.699999999720603,10568823.829999998211861
20190215,1855572.800000000046566,1871494.009999999776483,1656998.649999999906868,1783857.109999999869615,1761338.520000000251457,1758527.949999999720603,10687793.039999997243285
20190219,1861125.680000000167638,1879823.429999999701977,1650369.609999999869615,1811207.739999999757856,1766263.679999999934807,1752824.499999999767169,10721618.639999998733401
20190220,1873102.479999999981374,1879066.209999999962747,1661786.290000000037253,1798347.510000000009313,1775019.520000000251457,1756343.649999999674037,10743669.660000000149012
20190221,1862541.120000000111759,1870736.789999999571592,1683146.529999999795109,1807404.010000000009313,1776114.000000000000000,1747485.099999999860302,10747431.549999998882413
20190222,1883337.200000000186265,1897239.489999999757856,1686461.049999999813735,1815917.119999999878928,1792531.200000000186265,1770177.549999999813735,10845667.609999999403954
20190225,1897056.080000000074506,1922984.969999999739230,1681305.129999999888241,1803600.279999999795109,1812642.270000000251457,1772483.199999999953434,10890075.929999997839332
20190226,1898144.880000000121072,1937750.759999999776483,1686829.329999999841675,1808309.659999999916181,1823313.450000000186265,1784375.499999999767169,10938727.580000000074506
20190227,1904024.400000000139698,1953273.770000000018626,1688210.379999999888241,1791645.699999999720603,1814420.800000000046566,1786559.799999999813735,10938138.850000001490116
20190228,1885297.040000000037253,1960088.750000000000000,1692629.739999999990687,1785125.019999999785796,1818388.290000000037253,1797481.299999999813735,10939014.140000000596046
20190301,1905113.200000000186265,1946458.789999999571592,1703770.209999999962747,1783132.589999999850988,1820030.010000000009313,1813863.549999999813735,10972372.349999997764826
20190304,1914694.640000000130385,1936993.539999999571592,1662706.989999999990687,1790921.179999999934807,1807990.730000000214204,1795539.699999999953434,10908850.779999999329448
20190305,1911210.479999999981374,1942294.079999999608845,1669704.309999999823049,1794906.040000000037253,1815378.469999999972060,1795418.349999999627471,10928915.729999998584390
20190306,1900213.600000000093132,1956302.649999999906868,1675965.069999999832362,1792007.959999999962747,1803202.380000000121072,1793719.449999999953434,10921415.109999999403954
20190307,1878219.840000000083819,1941915.469999999739230,1662062.500000000000000,1785125.019999999785796,1798961.270000000251457,1781827.149999999906868,10848115.250000000000000
20190308,1882683.920000000158325,1933586.049999999813735,1652671.359999999869615,1782589.199999999720603,1792531.200000000186265,1788137.349999999860302,10832203.080000000074506
20190311,1947903.040000000037253,1965767.899999999906868,1667218.419999999925494,1803781.409999999916181,1804160.050000000046566,1828425.549999999813735,11017260.370000001043081
20190312,1969787.920000000158325,1974475.929999999701977,1674123.669999999925494,1812294.519999999785796,1815788.900000000139698,1841288.649999999674037,11087763.589999999850988
20190313,1978498.320000000065193,1991134.770000000018626,1676241.279999999795109,1832762.209999999962747,1819619.580000000074506,1850268.549999999813735,11148528.710000000894070
20190314,2000492.080000000074506,1996813.919999999925494,1682502.040000000037253,1835298.029999999795109,1820440.440000000176951,1871262.099999999627471,11206812.609999999403954
20190315,2026514.400000000139698,2014229.979999999981374,1706348.169999999925494,1855584.589999999850988,1835763.160000000149012,1886552.199999999953434,11324996.500000000000000
20190318,2047201.600000000093132,2025966.889999999664724,1693642.509999999776483,1838739.500000000000000,1846160.719999999972060,1880484.699999999953434,11332199.919999999925494
20190319,2030978.479999999981374,2018394.689999999944121,1685908.629999999888241,1845803.570000000065193,1818661.910000000149012,1875994.750000000000000,11275746.030000001192093
20190320,2048725.920000000158325,2016501.639999999664724,1703033.649999999906868,1842543.229999999748543,1796772.310000000288710,1865801.349999999860302,11273382.099999997764826
20190321,2124179.759999999776483,2042247.119999999646097,1715923.449999999953434,1856490.239999999757856,1838362.550000000046566,1890678.100000000093132,11467885.219999998807907
20190322,2080192.240000000223517,1996813.919999999925494,1719974.529999999795109,1841456.449999999720603,1845613.480000000214204,1857549.549999999813735,11341604.169999998062849
20190325,2055040.960000000195578,1996435.309999999590218,1709938.899999999906868,1846890.349999999860302,1846297.530000000027940,1857064.149999999906868,11311671.199999999254942
20190326,2033809.360000000102445,2015365.809999999590218,1726143.219999999739230,1866090.129999999888241,1846707.959999999962747,1884610.600000000093132,11372731.080000000074506
20190327,2052101.200000000186265,2011958.319999999832362,1726419.429999999701977,1863916.570000000065193,1865450.929999999934807,1871504.799999999813735,11391355.250000000000000
20190328,2054823.200000000186265,2020287.739999999757856,1743728.589999999850988,1875690.019999999785796,1872975.480000000214204,1876965.549999999813735,11444474.579999998211861
20190329,2068215.439999999944121,2044140.169999999925494,1748424.159999999916181,1884746.519999999785796,1876532.540000000037253,1895410.749999999767169,11517473.579999998211861
20190401,2082260.960000000195578,2081622.559999999590218,1734521.589999999850988,1877320.189999999944121,1888298.200000000186265,1908395.199999999720603,11572422.699999999254942
20190402,2112529.600000000558794,2093359.469999999739230,1734153.309999999823049,1879312.619999999878928,1871744.190000000176951,1914705.399999999906868,11605808.589999999850988
20190403,2127010.639999999664724,2106232.209999999962747,1734153.309999999823049,1878225.839999999850988,1868871.179999999934807,1922957.199999999953434,11637454.379999998956919
20190404,2130712.560000000521541,2087680.319999999832362,1748147.949999999953434,1873516.459999999962747,1867776.700000000186265,1913006.499999999767169,11620844.490000002086163
20190405,2144975.839999999850988,2090330.589999999850988,1755881.829999999841675,1877501.320000000065193,1866134.980000000214204,1913127.849999999860302,11647956.410000000149012
20190408,2178728.639999999664724,2100931.669999999925494,1747963.809999999823049,1901410.479999999748543,1859020.860000000102445,1914341.349999999860302,11702400.809999998658895
20190409,2172195.839999999850988,2089194.759999999776483,1750081.419999999925494,1895795.449999999720603,1849580.969999999972060,1911186.250000000000000,11668038.689999999478459
20190410,2184390.400000000372529,2113425.799999999813735,1742163.399999999906868,1895614.320000000065193,1853274.840000000083819,1924170.699999999953434,11713043.459999999031425
20190411,2166207.440000000409782,2105096.379999999888241,1739033.019999999785796,1897425.619999999878928,1864493.260000000009313,1915676.199999999953434,11687935.919999999925494
