訓練日期,20171011 - 20180112
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11490513.359999999403954
真實報酬,1490513.359999999403954

夏普值報酬,0.140351336000000
夏普值風險,0.037905973560202
夏普值,3.702617894171570

預期報酬,21565.636732077084162
風險,40691.604558985935000
趨勢值,0.529977546125414
找到最佳解世代,3039
找到最佳解實驗#,5
找到最佳解次數,3

stock[index](rank)
投資組合檔數,9
CVX[5](24),DIS[6](13),HD[9](12),MCD[15](7),MSFT[18](8),NKE[19](1),TRV[22](16),V[25](11),WMT[28](2),
Stock#,CVX[5](24),DIS[6](13),HD[9](12),MCD[15](7),MSFT[18](8),NKE[19](1),TRV[22](16),V[25](11),WMT[28](2),
張數,9352,11157,6727,6919,14564,21562,8822,10354,13207,
分配資金,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,
剩餘資金,93.400000000139698,96.939999999944121,79.679999999934807,57.979999999981374,23.439999999944121,21.139999999897555,68.320000000065193,23.260000000009313,6.090000000083819,
20171011,1116067.560000000055879,1099619.289999999804422,1111716.429999999934807,1128892.830000000074506,1113004.320000000065193,1100330.000000000000000,1108199.739999999990687,1122811.020000000018626,1132242.200000000186265,10032884.390000000596046
20171012,1114290.680000000167638,1081544.949999999953434,1107276.609999999869615,1134151.270000000018626,1123199.120000000111759,1096017.599999999860302,1111199.220000000204891,1119394.199999999953434,1137128.790000000037253,10024203.439999997615814
20171013,1114477.720000000204891,1086565.599999999860302,1106469.369999999878928,1144253.010000000009313,1128587.799999999813735,1099251.899999999906868,1117551.060000000055879,1125088.899999999906868,1143996.430000000167638,10066242.790000000968575
20171016,1123549.160000000149012,1094933.349999999860302,1104787.619999999878928,1141762.169999999925494,1130918.040000000037253,1107661.079999999841675,1136518.360000000102445,1121361.459999999962747,1132374.270000000018626,10093866.509999999776483
20171017,1124390.840000000083819,1097499.459999999962747,1098935.129999999888241,1144460.580000000074506,1130044.199999999953434,1121245.139999999897555,1135018.620000000111759,1113492.420000000158325,1135543.950000000186265,10100631.339999999850988
20171018,1105032.200000000186265,1096272.189999999944121,1099607.829999999841675,1147020.610000000102445,1130335.479999999981374,1127713.739999999757856,1147104.760000000242144,1116184.459999999962747,1138713.630000000121072,10107985.900000000372529
20171019,1105499.800000000279397,1104751.510000000009313,1098195.159999999916181,1152071.479999999981374,1134704.679999999934807,1136122.919999999925494,1174894.060000000055879,1108108.340000000083819,1141090.890000000130385,10155439.840000001713634
20171020,1109614.680000000167638,1109102.739999999990687,1099473.290000000037253,1150687.680000000167638,1147812.280000000027940,1144100.859999999869615,1176217.360000000102445,1113595.959999999962747,1154826.170000000158325,10205432.020000001415610
20171023,1112326.760000000242144,1101292.840000000083819,1108285.659999999916181,1130207.439999999944121,1148103.559999999823049,1157038.059999999823049,1186186.219999999972060,1113388.880000000121072,1170806.640000000130385,10227637.060000000521541
20171024,1115132.360000000102445,1096718.469999999972060,1116963.489999999990687,1133943.699999999953434,1148540.479999999981374,1151863.179999999934807,1175070.500000000000000,1122500.399999999906868,1161957.950000000186265,10222691.530000001192093
20171025,1107744.280000000027940,1091251.539999999804422,1117232.569999999832362,1131868.000000000000000,1145190.759999999776483,1184637.419999999925494,1162631.479999999981374,1133682.719999999972060,1168561.450000000186265,10242801.219999998807907
20171026,1107744.280000000027940,1099730.859999999869615,1127861.229999999981374,1134843.169999999925494,1147084.080000000074506,1224958.359999999869615,1164043.000000000000000,1136892.459999999962747,1170410.430000000167638,10313568.869999997317791
20171027,1061919.480000000214204,1096941.609999999869615,1125775.859999999869615,1144391.389999999897555,1220632.280000000027940,1206630.659999999916181,1156279.640000000130385,1135960.599999999860302,1164467.280000000027940,10312999.799999998882413
20171030,1069868.680000000167638,1093929.219999999972060,1112120.050000000046566,1150203.349999999860302,1221797.399999999906868,1191752.879999999888241,1170041.960000000195578,1139377.420000000158325,1148354.740000000223517,10297446.699999999254942
20171031,1083896.680000000167638,1091363.109999999869615,1115281.739999999990687,1154908.270000000018626,1211456.959999999962747,1185715.520000000018626,1168542.219999999972060,1138756.179999999934807,1153109.260000000009313,10303030.940000001341105
20171101,1083990.200000000186265,1104974.649999999906868,1112590.939999999944121,1151172.010000000009313,1211456.959999999962747,1187440.479999999981374,1177540.660000000149012,1150042.040000000037253,1161429.670000000158325,10340638.610000001266599
20171102,1078659.560000000055879,1097387.889999999897555,1094629.850000000093132,1163141.879999999888241,1224127.639999999897555,1188518.579999999841675,1188303.500000000000000,1149110.179999999934807,1172787.689999999944121,10356667.769999999552965
20171103,1075479.880000000121072,1100623.419999999925494,1105931.209999999729916,1166947.330000000074506,1225438.399999999906868,1201240.159999999916181,1176217.360000000102445,1153044.699999999953434,1184409.850000000093132,10389333.310000000521541
20171106,1094651.480000000214204,1122937.419999999925494,1104787.619999999878928,1176772.309999999823049,1230244.520000000018626,1208355.619999999878928,1177276.000000000000000,1158842.939999999944121,1171466.990000000223517,10445335.900000000372529
20171107,1096521.880000000121072,1133759.709999999962747,1101020.500000000000000,1181615.610000000102445,1227331.719999999972060,1189165.439999999944121,1179746.160000000149012,1160603.120000000111759,1174768.740000000223517,10444533.880000000819564
20171108,1091191.240000000223517,1128962.199999999953434,1103644.030000000027940,1176979.879999999888241,1231555.280000000027940,1202318.259999999776483,1177981.760000000242144,1164537.639999999897555,1192069.910000000149012,10469241.200000001117587
20171109,1096521.880000000121072,1145697.699999999953434,1098396.969999999972060,1155530.979999999981374,1224710.199999999953434,1210296.199999999953434,1186891.979999999981374,1161120.820000000065193,1192598.189999999944121,10471765.919999999925494
20171110,1095960.760000000242144,1169127.399999999906868,1104047.650000000139698,1145775.189999999944121,1221506.120000000111759,1209433.719999999972060,1195802.199999999953434,1158428.780000000027940,1200786.530000000027940,10500869.349999999627471
20171113,1096428.360000000102445,1168681.119999999878928,1112389.129999999888241,1158091.010000000009313,1222379.959999999962747,1205552.559999999823049,1176217.360000000102445,1153458.860000000102445,1201711.020000000018626,10494910.379999998956919
20171114,1093529.240000000223517,1151164.629999999888241,1130619.300000000046566,1163211.070000000065193,1224127.639999999897555,1207061.899999999906868,1180981.240000000223517,1159464.179999999934807,1203031.720000000204891,10513191.919999999925494
20171115,1089133.800000000279397,1156966.270000000018626,1113196.369999999878928,1157745.059999999823049,1208544.159999999916181,1221077.199999999953434,1179657.940000000176951,1141551.760000000009313,1186390.900000000139698,10454264.460000000894070
20171116,1071552.040000000037253,1155962.139999999897555,1126852.179999999934807,1163072.689999999944121,1211748.239999999990687,1234014.399999999906868,1154074.140000000130385,1149524.340000000083819,1315687.430000000167638,10582488.599999999627471
20171117,1072861.320000000065193,1154177.020000000018626,1128466.659999999916181,1153593.659999999916181,1200097.040000000037253,1276275.919999999925494,1146222.560000000055879,1137099.540000000037253,1287292.380000000121072,10556087.099999999627471
20171120,1072954.840000000083819,1146478.689999999944121,1146696.829999999841675,1155046.650000000139698,1201990.359999999869615,1277569.639999999897555,1144899.260000000242144,1138445.560000000055879,1287424.450000000186265,10571507.280000001192093
20171121,1077163.240000000223517,1149267.939999999944121,1162908.900000000139698,1164525.680000000167638,1219321.520000000018626,1280588.319999999832362,1152486.179999999934807,1153976.560000000055879,1274745.729999999981374,10634985.070000000298023
20171122,1084083.720000000204891,1146367.119999999878928,1157527.300000000046566,1169714.930000000167638,1210437.479999999981374,1273688.479999999981374,1147016.540000000037253,1147453.540000000037253,1273292.959999999962747,10609583.070000000298023
20171124,1089694.920000000158325,1145251.419999999925494,1159343.590000000083819,1170130.070000000065193,1212622.080000000074506,1279078.979999999981374,1145428.580000000074506,1159360.639999999897555,1276066.430000000167638,10636977.710000000894070
20171127,1081091.080000000074506,1146924.969999999972060,1171654.000000000000000,1169092.219999999972060,1221506.120000000111759,1285763.199999999953434,1151162.879999999888241,1163605.780000000027940,1276066.430000000167638,10666867.679999999701977
20171128,1089133.800000000279397,1153842.309999999823049,1187866.069999999832362,1185559.439999999944121,1236215.759999999776483,1284685.099999999860302,1173482.540000000037253,1173752.699999999953434,1278047.479999999981374,10762586.199999999254942
20171129,1095960.760000000242144,1174259.619999999878928,1192440.429999999934807,1179263.150000000139698,1213787.199999999953434,1301503.459999999962747,1186891.979999999981374,1137513.699999999953434,1288481.010000000009313,10770102.309999998658895
20171130,1112887.880000000121072,1169573.679999999934807,1209728.819999999832362,1189918.409999999916181,1225875.320000000065193,1302797.179999999934807,1196066.860000000102445,1165780.120000000111759,1284122.700000000186265,10856751.969999998807907
20171201,1117750.920000000158325,1174371.189999999944121,1213765.019999999785796,1196145.510000000009313,1227186.080000000074506,1291153.699999999953434,1201712.940000000176951,1146521.679999999934807,1285707.540000000037253,10854315.579999998211861
20171204,1130189.080000000074506,1229821.479999999981374,1243901.979999999981374,1180785.330000000074506,1180872.559999999823049,1295897.339999999850988,1203036.240000000223517,1112353.479999999981374,1281217.160000000149012,10858075.650000000372529
20171205,1125980.680000000167638,1196350.479999999981374,1230111.629999999888241,1196975.790000000037253,1188300.199999999953434,1302797.179999999934807,1193861.360000000102445,1124260.580000000074506,1292046.900000000139698,10850685.800000000745058
20171206,1118686.120000000111759,1176714.159999999916181,1216321.280000000027940,1200366.099999999860302,1205631.359999999869615,1287703.779999999795109,1194214.240000000223517,1136271.219999999972060,1284783.050000000046566,10820692.310000000521541
20171207,1118873.160000000149012,1174482.760000000009313,1224393.679999999934807,1196422.270000000018626,1201407.799999999813735,1306678.339999999850988,1184068.940000000176951,1153458.860000000102445,1278179.550000000046566,10837966.359999999403954
20171208,1121585.240000000223517,1162991.050000000046566,1233878.750000000000000,1198082.830000000074506,1225729.679999999934807,1321771.739999999757856,1180010.820000000065193,1165883.659999999916181,1275141.939999999944121,10885076.709999999031425
