訓練日期,20180308 - 20180608
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11389464.739999998360872
真實報酬,1389464.739999998360872

夏普值報酬,0.130246474000000
夏普值風險,0.038248467733622
夏普值,3.405272987851207

預期報酬,20413.159458175396139
風險,138049.960736423032358
趨勢值,0.147867912089812
找到最佳解世代,2184
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
CVX[5](3),NKE[19](1),
Stock#,CVX[5](3),NKE[19](1),
張數,43921,77918,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,33.359999999403954,1.939999999478459,
20180308,4978478.709999999031425,5073242.919999998994172,10051721.629999998956919
20180309,5148452.979999999515712,5165965.339999998919666,10314418.319999998435378
20180312,5129566.949999999254942,5206482.699999999254942,10336049.649999998509884
20180313,5115073.019999999552965,5155836.000000000000000,10270909.019999999552965
20180314,5056658.089999998919666,5158173.540000000037253,10214831.629999998956919
20180315,5076422.539999999105930,5172977.959999999962747,10249400.500000000000000
20180316,5068516.759999999776483,5135577.319999999366701,10204094.079999998211861
20180319,5002196.049999999813735,5119993.719999998807907,10122189.769999999552965
20180320,5028987.859999999403954,5204924.339999998919666,10233912.199999999254942
20180321,5140547.199999999254942,5169861.239999999292195,10310408.439999997615814
20180322,4993851.059999999590218,5019479.500000000000000,10013330.559999998658895
20180323,4962227.939999999478459,5035842.279999999329448,9998070.219999998807907
20180326,5066320.709999999031425,5134798.139999999664724,10201118.849999997764826
20180327,5036015.219999998807907,5155836.000000000000000,10191851.219999998807907
20180328,4923577.459999999031425,5098955.859999999403954,10022533.319999998435378
20180329,5008784.199999999254942,5176873.859999999403954,10185658.059999998658895
20180402,4929726.399999999441206,4996104.099999999627471,9925830.500000000000000
20180403,5043481.789999999105930,5197132.540000000037253,10240614.329999998211861
20180404,5028109.439999999478459,5331151.500000000000000,10359260.939999999478459
20180405,5151527.449999999254942,5422315.559999999590218,10573843.009999997913837
20180406,5040407.319999999366701,5263362.839999998919666,10303770.159999998286366
20180409,5093990.939999999478459,5234533.179999999701977,10328524.119999999180436
20180410,5220044.209999999031425,5220507.939999999478459,10440552.149999998509884
20180411,5237612.609999999403954,5207261.879999998956919,10444874.489999998360872
20180412,5236734.189999999478459,5280504.799999998882413,10517238.989999998360872
20180413,5267039.679999999701977,5239987.439999999478459,10507027.119999999180436
20180416,5301298.059999999590218,5225183.019999999552965,10526481.079999998211861
20180417,5301298.059999999590218,5260246.120000000111759,10561544.179999999701977
20180418,5438331.579999999143183,5158173.540000000037253,10596505.119999999180436
20180419,5433500.269999999552965,5121552.080000000074506,10555052.349999999627471
20180420,5372010.869999999180436,5149602.559999999590218,10521613.429999999701977
20180423,5427790.539999999105930,5211157.779999999329448,10638948.319999998435378
20180424,5382112.699999999254942,5218170.399999999441206,10600283.099999997764826
20180425,5390018.479999999515712,5194795.000000000000000,10584813.480000000447035
20180426,5455899.979999999515712,5302321.839999998919666,10758221.819999998435378
20180427,5561310.379999999888241,5419978.019999999552965,10981288.399999998509884
20180430,5494989.669999998994172,5328813.959999999962747,10823803.629999998956919
20180501,5484009.419999998994172,5306217.739999999292195,10790227.159999998286366
20180502,5511679.649999999441206,5318684.620000000111759,10830364.269999999552965
20180503,5534518.569999999366701,5212716.139999999664724,10747234.709999999031425
20180504,5513436.489999999292195,5306217.739999999292195,10819654.229999998584390
20180507,5487523.099999999627471,5402836.059999999590218,10890359.160000000149012
20180508,5559114.329999999143183,5334268.219999998807907,10893382.549999997019768
20180509,5653544.479999999515712,5294530.040000000037253,10948074.519999999552965
20180510,5657936.579999999143183,5292192.500000000000000,10950129.079999998211861
20180511,5702736.000000000000000,5331930.679999999701977,11034666.679999999701977
20180514,5726892.549999998882413,5363877.059999999590218,11090769.609999999403954
20180515,5698343.899999999441206,5415302.939999999478459,11113646.839999999850988
20180516,5690438.119999999180436,5558672.059999999590218,11249110.179999999701977
20180517,5686046.019999999552965,5527504.859999999403954,11213550.879999998956919
20180518,5615772.419999998994172,5557113.699999999254942,11172886.119999997317791
20180521,5682093.129999999888241,5561788.779999999329448,11243881.910000000149012
20180522,5632023.189999998547137,5556334.519999999552965,11188357.709999997168779
20180523,5652666.059999998658895,5558672.059999999590218,11211338.119999997317791
20180524,5560871.169999998994172,5624123.179999999701977,11184994.349999997764826
20180525,5366740.349999999627471,5629577.439999999478459,10996317.789999999105930
20180529,5331603.549999999813735,5525946.500000000000000,10857550.050000000745058
20180530,5497185.719999998807907,5628019.080000000074506,11125204.799999998882413
20180531,5459413.659999999217689,5594514.339999998919666,11053927.999999998137355
20180601,5439649.209999999031425,5669315.620000000111759,11108964.829999998211861
20180604,5369814.819999999366701,5752687.879999998956919,11122502.699999999254942
20180605,5390457.689999999478459,5769829.839999998919666,11160287.529999997466803
20180606,5419006.339999998919666,5824372.439999999478459,11243378.779999997466803
20180607,5576243.519999999552965,5825151.620000000111759,11401395.140000000596046
20180608,5553404.599999999627471,5836060.139999999664724,11389464.739999998360872
