訓練日期,20120613 - 20120913
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11465471.210000000894070
真實報酬,1465471.210000000894070

夏普值報酬,0.137847121000000
夏普值風險,0.034184623952638
夏普值,4.032430521716018

預期報酬,19699.192285165216163
風險,78680.960517151281238
趨勢值,0.250367969019279
找到最佳解世代,2972
找到最佳解實驗#,1
找到最佳解次數,16

stock[index](rank)
投資組合檔數,6
AAPL[0](5),HD[9](18),JPM[13](10),MRK[17](8),PFE[20](4),WMT[28](9),
Stock#,AAPL[0](5),HD[9](18),JPM[13](10),MRK[17](8),PFE[20](4),WMT[28](9),
張數,20248,31904,49353,42900,75108,24611,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,53.119999999878928,1.040000000037253,15.189999999944121,1.000000000000000,19.479999999981374,9.080000000074506,
20120613,1655124.639999999664724,1626147.919999999925494,1692823.089999999850988,1647361.000000000000000,1666666.000000000000000,1650668.849999999860302,9938795.500000000000000
20120614,1653302.320000000065193,1664113.679999999934807,1710096.639999999897555,1664092.000000000000000,1694455.959999999962747,1664451.010000000009313,10050515.609999999403954
20120615,1660794.079999999841675,1654861.520000000018626,1728850.780000000027940,1670527.000000000000000,1698211.359999999869615,1667404.330000000074506,10080653.070000000298023
20120618,1694405.760000000009313,1669218.320000000065193,1708616.049999999813735,1666666.000000000000000,1698962.439999999944121,1676510.400000000139698,10114382.970000000670552
20120619,1699265.280000000027940,1689955.919999999925494,1746124.330000000074506,1682967.999999999767169,1705722.160000000149012,1668880.990000000223517,10192920.680000001564622
20120620,1694405.760000000009313,1685489.359999999869615,1798932.040000000037253,1682110.000000000000000,1702717.840000000083819,1686354.800000000046566,10250013.800000000745058
20120621,1670918.079999999841675,1635400.080000000074506,1752540.219999999739230,1692406.000000000232831,1697460.280000000027940,1666173.780000000260770,10114902.440000001341105
20120622,1683876.799999999813735,1659647.120000000111759,1776229.660000000149012,1723723.000000000000000,1707224.320000000065193,1656329.379999999888241,10207034.280000001192093
20120625,1651075.040000000037253,1643695.120000000111759,1743163.149999999906868,1706563.000000000000000,1687696.239999999990687,1677987.060000000288710,10110183.610000001266599
20120626,1654719.679999999934807,1655180.560000000055879,1762410.820000000065193,1719004.000000000000000,1685443.000000000000000,1687831.459999999962747,10164593.519999999552965
20120627,1661806.479999999748543,1644652.239999999990687,1815218.530000000027940,1738738.000000000000000,1698211.359999999869615,1688077.570000000065193,10246708.179999999701977
