訓練日期,20190925 - 20191226
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12188509.959999999031425
真實報酬,2188509.959999999031425

夏普值報酬,0.210150996000000
夏普值風險,0.055079030041098
夏普值,3.815444749901975

預期報酬,31795.067514332975406
風險,92283.852211149991490
趨勢值,0.344535547146258
找到最佳解世代,2958
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
AAPL[0](1),INTC[11](5),MRK[17](14),NKE[19](10),UNH[23](2),
Stock#,AAPL[0](1),INTC[11](5),MRK[17](14),NKE[19](10),UNH[23](2),
張數,9187,40144,23923,22941,8888,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,173.839999999850988,25.919999999925494,37.200000000186265,3.619999999878928,200.000000000000000,
20190925,2030776.449999999953434,2048172.800000000046566,1988038.500000000000000,2083275.829999999841675,1974846.959999999962747,10125110.539999999105930
20190926,2020303.269999999785796,2044158.399999999906868,2006698.440000000176951,2114475.589999999850988,1915386.239999999990687,10101021.939999999478459
20190927,2010473.179999999701977,2038538.239999999990687,1983493.130000000121072,2117687.330000000074506,1913430.879999999888241,10063622.759999999776483
20190930,2057786.229999999748543,2068646.239999999990687,2013875.340000000316650,2154622.339999999850988,1931740.159999999916181,10226670.310000000521541
20191001,2063482.169999999925494,2037735.359999999869615,2000239.230000000214204,2116999.099999999627471,1930762.479999999981374,10149218.339999999850988
20191002,2011759.359999999869615,1982738.079999999841675,1952632.460000000195578,2098875.709999999962747,1926674.000000000000000,9972679.609999999403954
20191003,2028847.179999999701977,2008430.239999999990687,1979426.219999999972060,2115622.639999999664724,1914319.680000000167638,10046645.959999999031425
20191004,2085714.709999999729916,2044158.399999999906868,2033492.200000000186265,2135122.489999999292195,1953782.400000000139698,10252270.199999999254942
20191007,2086174.059999999823049,2032115.199999999720603,2018899.170000000158325,2137416.589999999850988,1966581.120000000111759,10241186.140000000596046
20191008,2061736.639999999897555,1996387.039999999804422,1992583.870000000344589,2104840.370000000111759,1956537.680000000167638,10112085.599999999627471
20191009,2085898.449999999953434,2026495.039999999804422,2013875.340000000316650,2122504.939999999478459,1974047.040000000037253,10222820.809999998658895
20191010,2114010.669999999925494,2051785.760000000009313,2003827.680000000400469,2133516.620000000111759,1988712.239999999990687,10291852.970000000670552
20191011,2170235.109999999869615,2091126.880000000121072,2017703.020000000251457,2153704.700000000186265,1973958.159999999916181,10406727.870000001043081
20191014,2167111.529999999795109,2073062.079999999841675,2026076.070000000065193,2176645.700000000186265,1960803.919999999925494,10403699.299999998882413
20191015,2162058.679999999701977,2113607.520000000018626,2034449.120000000344589,2174581.009999999776483,2120787.919999999925494,10605484.249999998137355
20191016,2153331.029999999795109,2105578.720000000204891,2020334.550000000279397,2176645.700000000186265,2106567.120000000111759,10562457.120000001043081
20191017,2161691.199999999720603,2081893.760000000009313,2004784.600000000093132,2192245.580000000074506,2165938.959999999962747,10606554.100000001490116
20191018,2172072.509999999776483,2061821.760000000009313,2025836.840000000316650,2204633.719999999739230,2180781.919999999925494,10645146.749999998137355
20191021,2209739.209999999962747,2092732.640000000130385,2022009.160000000149012,2207386.639999999664724,2168160.959999999962747,10700028.609999999403954
20191022,2204686.359999999869615,2087915.359999999869615,1944977.100000000093132,2193163.219999999739230,2217578.239999999757856,10648320.279999999329448
20191023,2234268.500000000000000,2076273.599999999860302,1982536.210000000195578,2117916.739999999292195,2202646.399999999906868,10613641.449999999254942
20191024,2237943.299999999813735,2096747.039999999804422,1975598.540000000037253,2099105.120000000111759,2173404.879999999888241,10582798.879999998956919
20191025,2265504.299999999813735,2266556.160000000149012,1967943.180000000400469,2085799.339999999850988,2176960.080000000074506,10762763.060000000521541
20191028,2288196.189999999944121,2278599.359999999869615,1966507.800000000279397,2084193.469999999739230,2195980.399999999906868,10813477.220000000670552
20191029,2235279.069999999832362,2261738.879999999888241,2035884.500000000000000,2048176.099999999860302,2242553.520000000018626,10823632.069999998435378
