訓練日期,20170707 - 20171006
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11060883.000000000000000
真實報酬,1060883.000000000000000

夏普值報酬,0.097388300000000
夏普值風險,0.026652467562038
夏普值,3.654006885978323

預期報酬,15651.154005978756686
風險,59615.830146704072831
趨勢值,0.262533524526355
找到最佳解世代,2085
找到最佳解實驗#,1
找到最佳解次數,49

stock[index](rank)
投資組合檔數,6
AXP[1](11),CAT[3](1),HD[9](18),PG[21](6),UNH[23](5),V[25](3),
Stock#,AXP[1](11),CAT[3](1),HD[9](18),PG[21](6),UNH[23](5),V[25](3),
張數,19902,15647,10961,19075,8915,17873,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,72.520000000018626,104.030000000027940,45.949999999953434,83.250000000000000,95.899999999906868,8.750000000000000,
20170707,1678408.179999999934807,1673081.270000000018626,1668638.979999999748543,1672007.000000000000000,1675759.300000000046566,1678640.909999999916181,10046539.639999998733401
20170710,1677811.119999999878928,1687476.510000000009313,1657129.929999999934807,1661325.000000000000000,1666755.149999999906868,1699552.320000000065193,10050054.029999999329448
20170711,1675024.839999999850988,1693735.310000000055879,1650772.549999999813735,1655221.000000000000000,1657840.149999999906868,1705271.679999999934807,10037869.529999999329448
20170712,1688160.159999999916181,1705001.149999999906868,1672584.939999999944121,1658845.249999999767169,1664437.250000000000000,1719033.890000000130385,10108066.640000000596046
20170713,1699106.260000000009313,1697334.120000000111759,1680257.639999999897555,1653885.750000000000000,1653650.099999999860302,1714744.369999999878928,10098982.239999998360872
20170714,1697315.080000000074506,1702028.219999999972060,1675763.629999999888241,1661515.750000000000000,1666309.399999999906868,1732438.640000000130385,10135374.720000000670552
20170717,1696120.959999999962747,1703123.510000000009313,1686834.239999999757856,1670099.500000000000000,1661406.149999999906868,1730651.340000000083819,10148239.699999999254942
