訓練日期,20190916 - 20191216
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11811831.490000000223517
真實報酬,1811831.490000000223517

夏普值報酬,0.172483149000000
夏普值風險,0.044931798071389
夏普值,3.838776910862828

預期報酬,24124.356921582242649
風險,99678.680007444665534
趨勢值,0.242021231819888
找到最佳解世代,2628
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
AAPL[0](1),MSFT[18](2),NKE[19](3),
Stock#,AAPL[0](1),MSFT[18](2),NKE[19](3),
張數,15238,24274,38173,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,20.500000000000000,27.320000000298023,66.640000000130385,
20190916,3350856.700000000186265,3309301.740000000689179,3331424.350000000093132,9991583.790000000968575
20190917,3363047.099999999627471,3335032.180000000167638,3343639.710000000428408,10041719.990000000223517
20190918,3394589.760000000242144,3362461.800000000745058,3362344.479999999981374,10119397.040000000968575
20190919,3367008.979999999981374,3424360.500000000000000,3347838.740000000223517,10139209.220000000670552
20190920,3317790.239999999757856,3384793.880000000353903,3308902.280000000260770,10011487.400000000372529
20190923,3332875.859999999869615,3377511.680000000167638,3347457.010000000242144,10057845.550000000745058
20190924,3317028.340000000316650,3334789.440000000409782,3327988.780000000260770,9979807.560000002384186
20190925,3368075.640000000130385,3382851.960000000428408,3466556.770000000018626,10217485.370000001043081
20190926,3350704.319999999832362,3387221.280000000260770,3518472.050000000279397,10256398.650000000372529
20190927,3334399.659999999683350,3343285.339999999850988,3523816.270000000018626,10201502.269999999552965
20190930,3412875.359999999869615,3374841.540000000502914,3585274.800000000279397,10372992.700000001117587
20191001,3422322.919999999925494,3327264.500000000000000,3522671.080000000074506,10272259.500000000000000
20191002,3336532.979999999981374,3268521.420000000391155,3492514.410000000149012,10097569.810000000521541
20191003,3364875.659999999683350,3308088.040000000502914,3520380.700000000186265,10193345.400000000372529
20191004,3459198.879999999888241,3352752.200000000186265,3552827.750000000000000,10364779.830000000074506
20191007,3459960.780000000260770,3328478.200000000186265,3556645.050000000279397,10345085.030000001192093
20191008,3419427.700000000186265,3293280.899999999906868,3502439.390000000130385,10215148.990000000223517
20191009,3459503.640000000130385,3355665.080000000540167,3531832.600000000093132,10347002.320000000298023
20191010,3506131.919999999925494,3376540.720000000204891,3550155.640000000130385,10432829.280000001192093
20191011,3599388.479999999981374,3390619.640000000596046,3583747.879999999888241,10573757.000000000000000
20191014,3594207.560000000055879,3387464.020000000484288,3621920.879999999888241,10603593.460000000894070
20191015,3585826.659999999683350,3436497.500000000000000,3618485.310000000521541,10640810.470000000670552
20191016,3571350.560000000055879,3408339.660000000149012,3621920.879999999888241,10601612.100000001490116
20191017,3585217.140000000130385,3390862.380000000353903,3647878.520000000018626,10623959.040000000968575
20191018,3602436.080000000074506,3335517.660000000149012,3668491.939999999944121,10606446.679999999701977
20191021,3664911.879999999888241,3360277.140000000596046,3673072.700000000186265,10698262.720000000670552
20191022,3656530.979999999981374,3310272.700000000186265,3649405.439999999944121,10616210.119999999180436
