訓練日期,20111005 - 20120106
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12468653.160000000149012
真實報酬,2468653.160000000149012

夏普值報酬,0.238165316000000
夏普值風險,0.055183935262697
夏普值,4.315845089086857

預期報酬,38273.408653392405540
風險,215250.815486761130160
趨勢值,0.177808425797794
找到最佳解世代,1694
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
HD[9](1),MCD[15](2),
Stock#,HD[9](1),MCD[15](2),
張數,153988,57816,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,9.640000000596046,72.319999999366701,
20111005,5055435.680000000633299,4962419.599999999627471,10017855.280000001192093
20111006,5140129.080000001005828,5036424.079999999143183,10176553.160000000149012
20111007,5223282.600000000558794,5041627.519999999552965,10264910.120000001043081
20111010,5337233.719999999739230,5117366.479999999515712,10454600.199999999254942
20111011,5344933.120000001043081,5165353.759999999776483,10510286.880000000819564
20111012,5346473.000000000000000,5108694.079999999143183,10455167.079999998211861
20111013,5298736.719999999739230,5163619.279999999329448,10462356.000000000000000
20111014,5397289.040000000037253,5200043.359999999403954,10597332.399999998509884
20111017,5335693.840000000782311,5126038.879999998956919,10461732.719999998807907
20111018,5535878.240000001154840,5182698.559999999590218,10718576.800000000745058
20111019,5451184.840000000782311,5181542.239999999292195,10632727.080000000074506
20111020,5502000.879999999888241,5146274.479999999515712,10648275.359999999403954
20111021,5676007.320000000298023,5337645.439999998547137,11013652.759999997913837
20111024,5651369.240000001154840,5319722.479999999515712,10971091.720000000670552
20111025,5549737.160000000149012,5305846.639999998733401,10855583.799999998882413
20111026,5628271.040000000037253,5306424.799999999813735,10934695.839999999850988
20111027,5754541.200000000186265,5406446.479999999515712,11160987.679999999701977
20111028,5562056.200000000186265,5393726.959999999962747,10955783.160000000149012
20111031,5512780.040000000037253,5368287.919999998994172,10881067.959999999031425
20111101,5472743.160000000149012,5313940.879999998956919,10786684.039999999105930
20111102,5542037.760000000707805,5349786.799999999813735,10891824.560000000521541
20111103,5612872.240000001154840,5376960.319999999366701,10989832.560000000521541
20111104,5603632.960000000894070,5423791.279999999329448,11027424.240000000223517
20111107,5749921.560000001452863,5470622.239999999292195,11220543.800000000745058
20111108,5842314.360000000335276,5469465.919999998994172,11311780.279999999329448
20111109,5722203.719999999739230,5356724.719999999739230,11078928.439999999478459
20111110,5728363.240000001154840,5391992.479999999515712,11120355.720000000670552
20111111,5860792.920000000856817,5478716.479999999515712,11339509.400000000372529
20111114,5890050.640000000596046,5438245.279999999329448,11328295.919999999925494
20111115,5862332.800000000745058,5461949.839999998919666,11324282.640000000596046
20111116,5826915.560000001452863,5385632.719999999739230,11212548.280000001192093
20111117,5793038.200000000186265,5335910.959999999962747,11128949.160000000149012
20111118,5833075.080000001005828,5361928.159999999217689,11195003.240000000223517
20111121,5706804.920000000856817,5335332.799999999813735,11042137.720000000670552
20111122,5712964.440000000409782,5356724.719999999739230,11069689.160000000149012
20111123,5623651.400000001303852,5311628.239999999292195,10935279.640000000596046
20111125,5615952.000000000000000,5324925.919999998994172,10940877.919999998062849
20111128,5743762.040000000037253,5420900.479999999515712,11164662.519999999552965
20111129,5999382.120000001043081,5403555.679999998770654,11402937.800000000745058
20111130,6039419.000000000000000,5522656.639999998733401,11562075.639999998733401
20111201,6057897.560000001452863,5521500.319999999366701,11579397.880000000819564
20111202,6150290.360000000335276,5533063.519999999552965,11683353.879999998956919
20111205,6194946.879999999888241,5512827.919999998994172,11707774.799999998882413
20111206,6208805.800000000745058,5550986.479999999515712,11759792.280000001192093
20111207,6271940.879999999888241,5576425.519999999552965,11848366.399999998509884
20111208,6145670.719999999739230,5603599.039999999105930,11749269.759999997913837
20111209,6194946.879999999888241,5667774.799999999813735,11862721.679999999701977
20111212,6167229.040000000037253,5693792.000000000000000,11861021.039999999105930
20111213,6084075.520000000484288,5666040.319999999366701,11750115.839999999850988
20111214,6027099.960000000894070,5643492.079999999143183,11670592.039999999105930
20111215,6070216.600000000558794,5674134.559999999590218,11744351.160000000149012
20111216,6224204.600000000558794,5636554.159999999217689,11860758.759999999776483
20111219,6190327.240000001154840,5622100.159999999217689,11812427.400000000372529
20111220,6459806.240000001154840,5713449.439999998547137,12173255.679999999701977
20111221,6467505.640000000596046,5735419.519999999552965,12202925.160000000149012
20111222,6455186.600000000558794,5700729.919999998994172,12155916.519999999552965
20111223,6481364.560000001452863,5790344.719999999739230,12271709.280000001192093
20111227,6501383.000000000000000,5813471.119999999180436,12314854.119999999180436
20111228,6395131.280000001192093,5757389.599999999627471,12152520.880000000819564
20111229,6469045.520000000484288,5828503.279999999329448,12297548.800000000745058
20111230,6473665.160000000149012,5800751.599999999627471,12274416.759999999776483
20120103,6489063.960000000894070,5714605.759999999776483,12203669.720000000670552
20120104,6581456.760000000707805,5746404.559999999590218,12327861.320000000298023
20120105,6635352.560000001452863,5771843.599999999627471,12407196.160000000149012
20120106,6652291.240000001154840,5816361.919999998994172,12468653.160000000149012
