訓練日期,20140210 - 20140513
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11008077.689999999478459
真實報酬,1008077.689999999478459

夏普值報酬,0.092107769000000
夏普值風險,0.025761467061572
夏普值,3.575408527001040

預期報酬,15010.216773821592142
風險,50419.948007852071896
趨勢值,0.297703932012861
找到最佳解世代,2245
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,7
CVX[5](3),JNJ[12](1),KO[14](13),MCD[15](14),PG[21](2),TRV[22](8),UNH[23](17),
Stock#,CVX[5](3),JNJ[12](1),KO[14](13),MCD[15](14),PG[21](2),TRV[22](8),UNH[23](17),
張數,12749,15865,37643,14893,18478,17662,20019,
分配資金,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,
剩餘資金,45.550000000046566,86.399999999906868,19.149999999906868,34.439999999944121,36.820000000065193,68.440000000176951,15.159999999916181,
20140210,1423981.360000000102445,1444911.949999999720603,1451909.659999999916181,1412784.419999999925494,1441875.160000000149012,1454534.140000000130385,1396140.219999999739230,10026139.910000000149012
20140211,1448076.969999999972060,1475055.449999999953434,1454544.669999999925494,1419933.060000000055879,1456842.340000000083819,1469723.459999999962747,1413756.939999999944121,10137935.889999998733401
20140212,1428316.020000000018626,1466329.699999999953434,1449651.079999999841675,1413231.209999999962747,1431897.040000000037253,1452944.560000000288710,1406149.719999999739230,10048522.329999998211861
20140213,1434435.540000000037253,1468550.800000000046566,1454921.099999999860302,1421720.219999999739230,1437625.219999999972060,1463895.000000000000000,1425568.149999999906868,10106719.029999999329448
20140214,1446802.070000000065193,1471723.800000000046566,1465461.139999999897555,1426485.979999999981374,1467190.020000000251457,1484029.680000000167638,1471812.039999999804422,10233507.730000000447035
20140218,1436985.339999999850988,1462363.449999999953434,1410502.359999999869615,1430060.299999999813735,1440766.479999999981374,1490211.380000000353903,1478017.929999999934807,10148910.240000000223517
20140219,1448331.949999999953434,1453955.000000000000000,1396574.449999999953434,1423060.589999999850988,1443907.739999999990687,1483853.060000000288710,1472412.609999999869615,10122098.400000000372529
20140220,1461080.949999999953434,1465695.099999999860302,1404103.049999999813735,1426039.189999999944121,1439842.580000000074506,1480320.660000000149012,1471011.280000000027940,10148095.809999998658895
20140221,1436602.870000000111759,1452051.199999999953434,1399585.889999999897555,1436464.290000000037253,1440766.479999999981374,1479967.420000000391155,1477617.550000000046566,10123058.700000001117587
20140224,1455343.900000000139698,1445546.549999999813735,1411631.649999999906868,1437208.939999999944121,1438733.900000000139698,1473785.720000000204891,1521659.350000000093132,10183913.009999999776483
20140225,1465798.080000000074506,1445546.549999999813735,1421795.260000000009313,1438996.100000000093132,1443538.180000000167638,1472019.520000000251457,1507846.239999999757856,10195542.929999999701977
20140226,1472682.540000000037253,1445546.549999999813735,1425559.559999999823049,1428124.209999999962747,1438733.900000000139698,1473609.100000000325963,1522660.300000000046566,10206919.160000000149012
20140227,1474977.360000000102445,1449512.799999999813735,1433088.159999999916181,1416060.879999999888241,1444831.640000000130385,1481027.140000000130385,1521859.539999999804422,10221360.519999999552965
20140228,1470387.719999999972060,1461570.199999999953434,1437981.750000000000000,1417103.390000000130385,1453516.300000000046566,1480850.520000000251457,1546883.289999999804422,10268296.169999999925494
20140303,1464140.710000000195578,1452685.800000000046566,1434970.309999999823049,1404742.199999999953434,1431712.260000000242144,1469193.600000000325963,1543480.059999999823049,10200927.940000001341105
20140304,1470260.229999999981374,1480925.500000000000000,1442122.479999999981374,1414571.580000000074506,1449635.920000000158325,1485619.260000000242144,1564099.629999999888241,10307237.600000001490116
20140305,1458913.620000000111759,1469026.750000000000000,1443628.199999999953434,1415167.299999999813735,1437994.780000000027940,1490211.380000000353903,1561296.969999999739230,10276242.000000000000000
20140306,1464268.199999999953434,1473786.250000000000000,1448145.359999999869615,1423507.379999999888241,1442429.500000000000000,1490741.240000000223517,1554290.319999999832362,10297171.250000000000000
20140307,1467200.469999999972060,1480608.199999999720603,1451156.799999999813735,1422315.939999999944121,1448342.459999999962747,1482440.100000000325963,1549485.760000000009313,10301552.730000000447035
20140310,1476889.710000000195578,1482670.649999999906868,1454921.099999999860302,1417848.040000000037253,1451114.160000000149012,1479790.800000000279397,1559094.879999999888241,10322332.339999999850988
20140311,1459933.540000000037253,1483305.249999999767169,1460567.549999999813735,1471164.979999999981374,1458874.920000000158325,1476258.400000000139698,1557092.979999999981374,10367200.620000001043081
20140312,1474467.400000000139698,1485050.399999999906868,1448145.359999999869615,1470122.469999999739230,1464233.540000000037253,1473609.100000000325963,1553489.559999999823049,10369120.830000000074506
20140313,1459168.600000000093132,1475531.399999999906868,1429323.859999999869615,1450165.850000000093132,1463309.640000000130385,1458773.020000000251457,1541678.350000000093132,10277953.719999998807907
20140314,1454706.449999999953434,1472517.050000000046566,1436852.459999999962747,1453293.379999999888241,1459429.260000000242144,1460009.360000000102445,1515453.459999999962747,10252264.419999998062849
20140317,1467072.979999999981374,1490285.850000000093132,1440616.760000000009313,1453591.239999999757856,1475320.340000000083819,1475551.920000000391155,1536673.600000000093132,10339115.689999999478459
20140318,1481989.310000000055879,1490444.499999999767169,1445510.349999999860302,1449272.270000000018626,1474026.879999999888241,1482793.340000000316650,1561497.159999999916181,10385536.810000000521541
20140319,1468730.350000000093132,1484891.750000000000000,1435723.169999999925494,1431251.739999999757856,1455733.660000000149012,1469546.840000000316650,1600734.399999999906868,10346614.910000000149012
20140320,1472682.540000000037253,1493300.199999999953434,1447392.500000000000000,1438698.239999999757856,1447233.780000000027940,1470076.700000000186265,1632164.229999999981374,10401551.190000001341105
20140321,1474212.419999999925494,1522015.850000000093132,1447016.069999999832362,1421869.149999999906868,1439103.459999999962747,1479790.800000000279397,1628360.619999999878928,10412371.369999999180436
20140324,1477017.199999999953434,1510434.399999999906868,1445510.349999999860302,1432443.179999999934807,1465342.219999999972060,1481203.760000000242144,1627159.479999999981374,10439113.589999999850988
20140325,1492825.960000000195578,1545020.099999999860302,1453791.809999999823049,1428422.069999999832362,1474766.000000000000000,1484206.300000000279397,1623556.059999999823049,10502591.300000000745058
20140326,1500730.339999999850988,1539784.649999999906868,1453415.379999999888241,1427379.560000000055879,1469037.820000000065193,1473609.100000000325963,1632364.419999999925494,10496324.269999999552965
20140327,1500220.380000000121072,1543433.599999999860302,1461320.409999999916181,1432145.319999999832362,1471809.520000000251457,1474668.820000000065193,1621954.539999999804422,10505555.589999997988343
20140328,1510802.050000000046566,1545971.999999999767169,1466214.000000000000000,1448229.759999999776483,1473842.100000000093132,1483499.820000000065193,1633965.939999999944121,10562528.669999999925494
20140331,1516029.139999999897555,1558505.349999999860302,1455297.529999999795109,1459995.229999999981374,1489363.619999999878928,1503104.640000000130385,1641372.969999999739230,10623671.480000000447035
20140401,1517176.550000000046566,1553904.499999999767169,1445886.779999999795109,1458059.140000000130385,1484559.340000000083819,1490564.620000000111759,1638370.119999999878928,10588524.049999998882413
20140402,1521638.699999999953434,1558505.349999999860302,1442875.339999999850988,1453442.310000000055879,1480678.959999999962747,1495156.740000000223517,1633765.750000000000000,10586066.149999998509884
20140403,1517686.510000000242144,1558981.300000000046566,1433088.159999999916181,1454484.819999999832362,1480124.619999999878928,1500985.200000000186265,1646577.909999999916181,10591931.520000001415610
20140404,1514626.750000000000000,1561519.699999999953434,1438734.609999999869615,1457612.350000000093132,1474026.879999999888241,1504870.840000000316650,1632164.229999999981374,10583558.360000001266599
20140407,1496013.210000000195578,1553111.250000000000000,1453791.809999999823049,1444804.370000000111759,1487331.040000000037253,1501338.440000000176951,1623155.679999999934807,10559548.799999998882413
20140408,1501877.750000000000000,1555808.300000000046566,1464331.849999999860302,1460739.879999999888241,1503222.119999999878928,1496569.700000000186265,1614747.699999999953434,10597300.299999998882413
20140409,1518451.449999999953434,1569928.149999999906868,1467719.719999999972060,1464760.989999999757856,1505809.040000000037253,1515821.280000000027940,1629361.569999999832362,10671855.199999999254942
20140410,1487726.360000000102445,1531693.500000000000000,1463955.419999999925494,1480845.429999999934807,1498417.840000000083819,1501161.820000000065193,1601334.969999999739230,10565138.339999999850988
20140411,1492061.020000000018626,1536928.949999999953434,1454168.239999999990687,1478760.410000000149012,1492320.100000000093132,1506637.040000000037253,1580515.209999999962747,10541393.970000002533197
20140414,1513351.850000000093132,1541212.500000000000000,1457932.539999999804422,1490972.669999999925494,1493244.000000000000000,1510169.440000000176951,1585119.580000000074506,10592005.580000000074506
20140415,1533750.250000000000000,1573894.399999999906868,1512514.889999999897555,1501695.629999999888241,1493798.340000000083819,1517057.620000000111759,1591725.850000000093132,10724439.979999998584390
20140416,1553256.219999999972060,1566755.149999999906868,1527948.520000000018626,1501695.629999999888241,1508765.520000000251457,1532776.800000000279397,1565300.769999999785796,10756501.610000001266599
20140417,1576841.870000000111759,1570086.799999999813735,1532842.109999999869615,1493057.689999999944121,1510798.100000000093132,1531010.600000000325963,1517054.979999999981374,10731695.149999998509884
20140421,1583981.310000000055879,1586586.399999999906868,1533971.399999999906868,1484419.750000000000000,1507102.500000000000000,1526065.240000000223517,1500439.209999999962747,10722568.809999998658895
20140422,1580921.550000000046566,1589442.100000000093132,1532465.679999999934807,1479207.199999999953434,1501374.320000000065193,1534719.620000000111759,1516654.600000000093132,10734788.070000000298023
20140423,1589718.360000000102445,1590076.699999999953434,1533218.539999999804422,1476377.529999999795109,1484928.900000000139698,1556620.500000000000000,1508046.429999999934807,10738989.959999999031425
20140424,1584746.250000000000000,1585951.799999999813735,1532089.250000000000000,1486951.560000000055879,1499526.520000000251457,1564745.020000000251457,1533270.369999999878928,10787283.769999999552965
20140425,1580794.060000000055879,1583254.750000000000000,1543758.579999999841675,1500206.330000000074506,1504330.800000000046566,1559799.660000000149012,1514652.699999999953434,10786799.879999998956919
20140428,1602977.320000000065193,1607845.500000000000000,1544511.439999999944121,1493951.270000000018626,1532602.140000000130385,1583290.120000000111759,1516254.219999999739230,10881435.009999997913837
20140429,1606037.080000000074506,1602927.349999999860302,1527195.659999999916181,1511673.939999999944121,1523363.140000000130385,1605544.240000000223517,1505443.959999999962747,10882188.370000001043081
20140430,1600300.030000000027940,1607052.250000000000000,1535477.119999999878928,1509886.779999999795109,1525395.719999999972060,1599892.400000000139698,1502240.919999999925494,10880248.219999998807907
20140501,1592905.610000000102445,1594994.849999999860302,1535100.689999999944121,1503631.719999999739230,1521515.340000000083819,1604307.900000000139698,1500439.209999999962747,10852898.320000000298023
20140502,1590100.830000000074506,1575639.550000000046566,1541500.000000000000000,1510631.429999999934807,1513754.580000000074506,1607310.440000000176951,1502040.729999999981374,10840980.560000000521541
20140505,1598260.189999999944121,1586586.399999999906868,1534347.829999999841675,1506312.459999999962747,1509689.420000000158325,1601128.740000000223517,1506044.530000000027940,10842372.569999998435378
20140506,1593288.080000000074506,1578812.550000000046566,1524184.219999999972060,1503482.790000000037253,1499156.959999999962747,1587529.000000000000000,1506645.100000000093132,10793101.699999999254942
20140507,1609351.820000000065193,1601023.549999999813735,1539994.279999999795109,1518524.719999999739230,1516895.840000000083819,1608546.780000000027940,1559695.449999999953434,10954035.439999999478459
20140508,1594817.960000000195578,1594518.899999999906868,1533218.539999999804422,1518375.790000000037253,1518189.300000000046566,1611549.320000000065193,1539276.069999999832362,10909948.880000000819564
20140509,1594053.020000000018626,1601023.549999999813735,1538488.559999999823049,1532970.929999999934807,1522439.239999999990687,1612609.040000000037253,1540477.209999999962747,10942064.550000000745058
20140512,1596730.310000000055879,1594836.199999999953434,1536606.409999999916181,1531928.419999999925494,1510243.760000000242144,1625678.920000000391155,1556292.219999999739230,10952319.239999998360872
20140513,1604507.199999999953434,1602768.699999999953434,1547522.879999999888241,1541906.729999999981374,1508026.400000000139698,1641044.860000000102445,1562297.919999999925494,11008077.689999999478459
