訓練日期,20170808 - 20171107
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10962741.880000000819564
真實報酬,962741.880000000819564

夏普值報酬,0.087574188000000
夏普值風險,0.028663340840641
夏普值,3.055267998482282

預期報酬,14328.665150376342353
風險,71157.073328956437763
趨勢值,0.201366701580537
找到最佳解世代,2345
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
CAT[3](1),DD[7](3),MCD[15](7),PG[21](25),V[25](2),
Stock#,CAT[3](1),DD[7](3),MCD[15](7),PG[21](25),V[25](2),
張數,17435,21985,12905,21872,19706,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,31.150000000139698,24.550000000046566,112.149999999906868,24.320000000065193,38.060000000055879,
20170808,1994769.500000000000000,1985270.050000000046566,1999354.749999999767169,2003062.080000000074506,1995861.739999999990687,9978318.119999999180436
20170809,1993549.050000000279397,1988128.100000000093132,1999354.749999999767169,2010498.560000000055879,1989752.880000000121072,9981283.340000001713634
20170810,1972801.400000000139698,1975816.500000000232831,2021293.250000000000000,2006561.599999999860302,1960588.000000000000000,9937060.750000000000000
20170811,1967570.900000000139698,1980653.200000000186265,2030068.650000000139698,1997812.800000000046566,1972411.600000000093132,9948517.150000000372529
20170814,1982565.000000000000000,1985270.050000000046566,2029552.449999999720603,2004593.120000000111759,2007488.280000000260770,10009468.900000000372529
20170815,1981518.900000000139698,1993404.500000000000000,2034198.250000000000000,2016622.720000000204891,2022464.839999999850988,10048209.210000000894070
20170816,1989713.350000000325963,2001978.650000000139698,2050716.649999999906868,2021872.000000000000000,2036061.979999999981374,10100342.630000000819564
20170817,1972627.050000000046566,1978015.000000000000000,2037682.599999999627471,2013779.359999999869615,2013203.020000000018626,10015307.029999999329448
20170818,1986226.350000000093132,1985050.200000000186265,2036004.949999999720603,2022528.160000000149012,2020100.120000000111759,10049909.780000001192093
20170821,1980647.150000000139698,1999340.449999999953434,2043747.950000000186265,2031058.239999999990687,2034091.380000000121072,10088885.170000001788139
20170822,2019352.850000000093132,2028140.800000000046566,2060266.349999999627471,2029527.200000000186265,2050841.479999999981374,10188128.679999999701977
20170823,2000697.400000000139698,2021985.000000000000000,2049555.199999999953434,2021872.000000000000000,2033303.140000000130385,10127412.740000000223517
20170824,2001220.450000000186265,2014729.949999999953434,2044393.199999999953434,2018153.760000000009313,2034091.380000000121072,10112588.740000000223517
20170825,2011158.400000000139698,2020665.899999999906868,2049684.249999999767169,2023403.040000000270084,2036653.159999999916181,10141564.750000000000000
20170828,2006276.600000000093132,2024843.049999999813735,2060653.499999999767169,2022528.160000000149012,2045126.739999999990687,10159428.049999998882413
20170829,2022665.500000000232831,2010772.649999999906868,2056911.049999999813735,2019247.359999999869615,2044929.679999999934807,10154526.240000000223517
20170830,2049515.400000000139698,2031878.250000000000000,2058846.799999999813735,2009404.960000000195578,2044141.440000000176951,10193786.849999999627471
20170831,2048469.300000000046566,2086840.750000000000000,2064525.000000000000000,2018153.760000000009313,2040003.179999999934807,10257991.990000000223517
20170901,2062242.950000000186265,2103329.500000000000000,2062460.199999999953434,2023840.479999999981374,2047491.460000000195578,10299364.590000001713634
20170905,2062591.650000000139698,2034516.450000000186265,2053297.649999999906868,2027996.160000000149012,2029953.120000000111759,10208355.030000001192093
20170906,2039577.450000000186265,2030998.849999999860302,2041941.250000000000000,2027996.160000000149012,2033303.140000000130385,10173816.849999999627471
20170907,2053351.100000000093132,2025062.900000000139698,2063621.649999999906868,2033464.160000000149012,2060497.420000000158325,10235997.230000000447035
20170908,2054222.850000000093132,2030339.299999999813735,2061169.699999999953434,2030620.800000000046566,2057935.640000000130385,10234288.289999999105930
