訓練日期,20180516 - 20180816
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11237381.160000000149012
真實報酬,1237381.160000000149012

夏普值報酬,0.115038116000000
夏普值風險,0.032193211831427
夏普值,3.573365608948012

預期報酬,18131.875754657561629
風險,74392.302163439104334
趨勢值,0.243733225446122
找到最佳解世代,3415
找到最佳解實驗#,3
找到最佳解次數,40

stock[index](rank)
投資組合檔數,6
HD[9](12),KO[14](2),NKE[19](3),PFE[20](9),PG[21](1),VZ[26](4),
20180626,1740963.080000000074506,1730982.279999999795109,1740044.800000000046566,1698887.620000000344589,1782038.300000000046566,1719325.739999999990687,10412245.820000000298023
20180627,1729082.640000000130385,1720595.800000000046566,1711028.999999999767169,1690948.960000000195578,1774956.040000000037253,1719674.480000000214204,10346290.920000001788139
20180628,1730767.180000000167638,1736575.000000000000000,1719422.000000000000000,1697953.660000000149012,1783180.600000000093132,1773729.179999999934807,10441631.619999999180436
20180629,1729791.919999999925494,1752154.719999999972060,1910782.400000000139698,1694217.820000000065193,1783409.060000000055879,1754548.480000000214204,10624908.400000000372529
20180702,1720216.640000000130385,1747760.439999999944121,1878888.999999999767169,1696552.719999999972060,1785008.280000000027940,1758384.620000000111759,10586815.699999999254942
20180703,1716670.239999999990687,1757347.959999999962747,1829250.400000000139698,1697486.680000000167638,1779753.700000000186265,1768149.340000000083819,10548662.320000000298023
20180705,1723674.380000000121072,1784113.119999999878928,1835725.000000000000000,1721769.639999999897555,1809681.959999999962747,1788376.260000000009313,10663344.359999999403954
20180706,1724295.000000000000000,1783314.159999999916181,1834046.400000000139698,1732977.160000000149012,1811966.560000000055879,1795351.059999999823049,10681954.340000001713634
20180709,1738480.600000000093132,1773726.639999999897555,1853230.400000000139698,1735312.060000000055879,1778839.860000000102445,1769544.300000000046566,10649137.860000001266599
20180710,1752045.580000000074506,1796497.000000000000000,1860184.599999999860302,1747920.520000000018626,1823618.019999999785796,1790468.700000000186265,10770738.419999998062849
20180711,1746194.020000000018626,1789306.359999999869615,1855148.800000000046566,1737646.960000000195578,1808539.659999999916181,1790468.700000000186265,10727308.500000000000000
20180712,1755060.020000000018626,1784512.600000000093132,1855388.600000000093132,1752123.340000000316650,1802371.239999999990687,1786981.300000000046566,10736441.100000001490116
20180713,1761620.860000000102445,1787308.959999999962747,1855628.399999999906868,1752590.320000000065193,1811966.560000000055879,1792909.879999999888241,10762028.980000000447035
20180716,1763305.400000000139698,1786909.479999999748543,1864501.000000000000000,1745585.620000000344589,1816992.680000000167638,1799187.200000000186265,10776485.379999998956919
20180717,1782987.919999999925494,1807682.439999999944121,1857786.599999999860302,1758194.080000000074506,1828415.680000000167638,1793607.360000000102445,10828678.080000000074506
20180718,1781835.340000000083819,1802489.199999999953434,1836684.200000000186265,1758661.060000000055879,1821333.419999999925494,1783493.900000000139698,10784501.120000001043081
20180719,1796552.900000000139698,1802089.719999999972060,1845317.000000000000000,1744651.660000000149012,1798715.880000000121072,1769893.040000000037253,10757224.199999999254942
20180720,1794957.020000000018626,1808880.879999999888241,1845556.799999999813735,1743250.719999999972060,1797573.580000000307336,1765359.419999999925494,10755582.419999999925494
20180723,1793006.500000000000000,1795698.040000000037253,1836684.200000000186265,1737646.960000000195578,1793689.760000000242144,1769893.040000000037253,10726622.500000000000000
20180724,1790878.660000000149012,1808081.919999999925494,1811265.400000000139698,1760528.980000000214204,1804655.839999999850988,1796397.280000000027940,10771812.080000000074506
20180725,1782101.320000000065193,1841238.760000000009313,1850352.799999999813735,1774071.400000000139698,1815621.919999999925494,1775472.879999999888241,10838863.079999998211861
20180726,1767915.720000000204891,1847230.959999999962747,1874093.000000000232831,1782010.060000000055879,1829786.440000000176951,1784888.860000000102445,10885929.039999999105930
20180727,1747878.560000000055879,1846032.520000000018626,1843878.199999999953434,1793684.560000000055879,1840980.979999999981374,1813834.280000000027940,10886293.099999999627471
20180730,1749119.800000000046566,1846831.479999999748543,1821576.799999999813735,1802090.200000000186265,1832299.500000000000000,1830573.800000000046566,10882495.580000001937151
20180731,1751247.640000000130385,1862810.679999999934807,1844357.799999999813735,1864665.520000000018626,1847834.780000000027940,1800930.900000000139698,10971851.320000000298023
20180801,1740431.120000000111759,1853223.159999999916181,1859465.200000000186265,1880542.840000000316650,1842580.200000000186265,1804069.559999999823049,10980316.080000000074506
20180802,1734756.880000000121072,1844834.079999999841675,1886083.000000000232831,1851590.080000000074506,1873422.300000000046566,1812788.059999999823049,11003478.400000000372529
20180803,1734579.560000000055879,1862411.199999999953434,1888241.199999999953434,1893151.300000000046566,1880961.479999999981374,1822901.520000000251457,11082250.259999999776483
20180806,1735022.860000000102445,1863609.639999999897555,1906705.800000000046566,1916500.300000000046566,1885302.219999999972060,1830225.059999999823049,11137369.880000000819564
20180807,1747080.620000000111759,1857617.439999999944121,1931165.400000000139698,1907160.700000000186265,1888043.739999999990687,1829527.580000000074506,11160599.480000000447035
20180808,1755680.640000000130385,1843635.639999999897555,1930446.000000000000000,1933778.560000000055879,1881418.399999999906868,1837897.340000000083819,11182860.580000000074506
20180809,1756212.600000000093132,1851625.239999999990687,1948670.800000000046566,1914632.380000000121072,1859714.700000000186265,1848708.280000000027940,11179567.999999998137355
20180810,1740431.120000000111759,1840839.279999999795109,1935961.400000000139698,1911363.520000000018626,1860400.080000000307336,1829876.320000000065193,11118875.720000000670552
20180813,1721280.560000000055879,1830852.279999999795109,1922053.000000000232831,1905759.760000000242144,1862456.219999999972060,1821157.820000000065193,11063563.640000000596046
20180814,1712059.919999999925494,1833249.159999999916181,1921813.199999999953434,1901089.960000000195578,1857658.560000000055879,1843825.919999999925494,11069700.720000000670552
20180815,1719950.660000000149012,1840839.279999999795109,1908144.599999999860302,1922104.060000000055879,1880276.100000000093132,1856729.300000000046566,11128048.000000000000000
20180816,1732363.060000000055879,1846432.000000000000000,1919655.000000000000000,1934245.540000000270084,1912032.040000000037253,1892649.520000000251457,11237381.160000000149012
