訓練日期,20121205 - 20130311
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11593910.769999997690320
真實報酬,1593910.769999997690320

夏普值報酬,0.150691077000000
夏普值風險,0.041644883305161
夏普值,3.618477590530877

預期報酬,24512.296129397309414
風險,73630.020063935895450
趨勢值,0.332911713294554
找到最佳解世代,3128
找到最佳解實驗#,2
找到最佳解次數,49

stock[index](rank)
投資組合檔數,6
AXP[1](8),GS[8](2),JNJ[12](7),MCD[15](6),NKE[19](13),VZ[26](26),
Stock#,AXP[1](8),GS[8](2),JNJ[12](7),MCD[15](6),NKE[19](13),VZ[26](26),
張數,29847,14296,23857,19113,68250,38165,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,9.519999999785796,38.320000000065193,15.979999999981374,12.399999999906868,1.000000000000000,0.449999999953434,
20121205,1683380.319999999832362,1674528.800000000046566,1669290.270000000018626,1662270.009999999776483,1666666.000000000000000,1683076.949999999953434,10039216.349999999627471
20121206,1675023.159999999683350,1675529.520000000018626,1671198.829999999841675,1683676.570000000065193,1679633.500000000000000,1696434.699999999953434,10081500.279999999329448
20121207,1689648.189999999711290,1666523.040000000037253,1680741.630000000121072,1691130.639999999897555,1682363.500000000000000,1694908.099999999860302,10105319.099999999627471
20121210,1693826.769999999785796,1672813.280000000027940,1684320.179999999934807,1708905.729999999748543,1673491.000000000000000,1680405.399999999906868,10113766.359999999403954
20121211,1703079.339999999850988,1699260.880000000121072,1696248.679999999934807,1712919.459999999962747,1696013.500000000000000,1696053.049999999813735,10203578.910000000149012
20121212,1721286.009999999776483,1688252.960000000195578,1692908.699999999720603,1706994.429999999934807,1692601.000000000000000,1709410.799999999813735,10211457.899999998509884
20121213,1722778.359999999636784,1694114.320000000065193,1687898.729999999981374,1704318.609999999869615,1660523.500000000000000,1699106.250000000000000,10168743.769999999552965
20121214,1690842.069999999832362,1706408.880000000121072,1686467.309999999823049,1698775.839999999850988,1653698.500000000000000,1687275.100000000093132,10123471.699999999254942
20121217,1709347.209999999962747,1765451.360000000102445,1692431.559999999823049,1718462.229999999748543,1672126.000000000000000,1683840.249999999767169,10241662.609999999403954
20121218,1725763.059999999823049,1826638.239999999990687,1692670.130000000121072,1730121.159999999916181,1687823.500000000000000,1674298.999999999767169,10337319.089999999850988
20121219,1695020.649999999674037,1819204.320000000065193,1685035.889999999897555,1714639.629999999888241,1668713.500000000000000,1655598.150000000139698,10238216.139999998733401
20121220,1713227.319999999832362,1854515.439999999944121,1687898.729999999981374,1720946.919999999925494,1689188.500000000000000,1672009.100000000093132,10337790.009999999776483
20121221,1720689.069999999832362,1836216.560000000055879,1676447.369999999878928,1723622.739999999990687,1793611.000000000000000,1662849.500000000000000,10413440.240000000223517
20121224,1717107.429999999934807,1823350.160000000149012,1670483.119999999878928,1706612.169999999925494,1801801.000000000000000,1661704.549999999813735,10381062.429999999701977
20121226,1705168.629999999888241,1817917.679999999934807,1674061.669999999925494,1696100.019999999785796,1751978.500000000000000,1658269.699999999953434,10303500.199999999254942
20121227,1692035.949999999720603,1810912.640000000130385,1672153.110000000102445,1695717.759999999776483,1766311.000000000000000,1659414.649999999906868,10296549.110000001266599
20121228,1691439.009999999776483,1794472.239999999990687,1657600.340000000083819,1673928.939999999944121,1740376.000000000000000,1637278.949999999953434,10195099.479999998584390
20121231,1715615.079999999608845,1823636.080000000074506,1672391.679999999934807,1685970.129999999888241,1760851.000000000000000,1651400.000000000000000,10309867.969999998807907
20130102,1753520.769999999785796,1882249.679999999934807,1690045.860000000102445,1722475.959999999962747,1769041.000000000000000,1689565.000000000000000,10506902.269999999552965
20130103,1760982.519999999785796,1871956.560000000055879,1687660.159999999916181,1732223.589999999850988,1787468.500000000000000,1681550.350000000093132,10521845.679999999701977
20130104,1779189.189999999711290,1922993.280000000027940,1706984.329999999841675,1717315.449999999720603,1804531.000000000000000,1690709.949999999953434,10621727.199999999254942
20130107,1786650.939999999711290,1919419.280000000027940,1703405.780000000027940,1737575.229999999748543,1807261.000000000000000,1705594.299999999813735,10659910.530000001192093
20130108,1796798.919999999925494,1902121.120000000111759,1703644.349999999860302,1738148.619999999878928,1788151.000000000000000,1644911.949999999953434,10573779.959999999031425
20130109,1798589.739999999757856,1920277.040000000037253,1711278.590000000083819,1735663.929999999934807,1790198.500000000000000,1641095.449999999953434,10597107.250000000000000
20130110,1814408.649999999674037,1963879.840000000083819,1722252.809999999823049,1746940.600000000093132,1793611.000000000000000,1663612.800000000046566,10704709.700000001117587
20130111,1827839.799999999813735,1960448.800000000046566,1726069.929999999934807,1753247.889999999897555,1812038.500000000000000,1652544.949999999953434,10732193.869999997317791
20130114,1826944.389999999897555,1946152.800000000046566,1731079.900000000139698,1749425.290000000037253,1815451.000000000000000,1625447.800000000046566,10694505.179999999701977
20130115,1813513.239999999757856,1938432.960000000195578,1726547.070000000065193,1749043.030000000027940,1830466.000000000000000,1601785.500000000000000,10659791.800000000745058
20130116,1809334.659999999683350,2017060.960000000195578,1731557.040000000037253,1741206.699999999720603,1833878.500000000000000,1584229.599999999860302,10717271.459999999031425
20130117,1812916.299999999813735,2015917.280000000027940,1739191.280000000027940,1753821.280000000027940,1825006.000000000000000,1607891.900000000139698,10754748.040000000968575
20130118,1784263.179999999934807,2065095.520000000018626,1747064.090000000083819,1763377.780000000027940,1818863.500000000000000,1623539.549999999813735,10802207.620000001043081
20130122,1772921.319999999832362,2086539.520000000018626,1734181.309999999823049,1776565.750000000000000,1825006.000000000000000,1638805.549999999813735,10834023.449999999254942
20130123,1758893.229999999748543,2080964.080000000074506,1737998.429999999934807,1786695.639999999897555,1812038.500000000000000,1633080.799999999813735,10809674.679999999701977
20130124,1769936.619999999646097,2072386.480000000214204,1743962.679999999934807,1783446.429999999934807,1837973.500000000000000,1625447.800000000046566,10833157.509999999776483
20130125,1775906.019999999785796,2065238.480000000214204,1763525.419999999925494,1791282.759999999776483,1895986.000000000000000,1628501.000000000000000,10920443.679999999701977
20130128,1763071.809999999823049,2060806.720000000204891,1756368.320000000065193,1803515.079999999841675,1859813.500000000000000,1632317.500000000000000,10875896.929999999701977
20130129,1774413.669999999925494,2102979.919999999925494,1775215.349999999860302,1814218.359999999869615,1840021.000000000000000,1660177.949999999953434,10967030.249999998137355
20130130,1770832.029999999795109,2103694.719999999739230,1767581.110000000102445,1809440.109999999869615,1829783.500000000000000,1664376.099999999860302,10945711.569999998435378
20130131,1755311.589999999850988,2113844.879999999888241,1763525.419999999925494,1821290.169999999925494,1844798.500000000000000,1664376.099999999860302,10963150.659999998286366
20130201,1788143.289999999571592,2143008.719999999739230,1769728.240000000223517,1833904.750000000000000,1832513.500000000000000,1700632.850000000093132,11067935.349999999627471
20130204,1773219.789999999571592,2108984.240000000223517,1768058.250000000000000,1808102.199999999720603,1831148.500000000000000,1699106.250000000000000,10988623.229999998584390
