訓練日期,20150717 - 20151016
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11156441.849999999627471
真實報酬,1156441.849999999627471

夏普值報酬,0.106944185000000
夏普值風險,0.033568144255130
夏普值,3.185883145257741

預期報酬,8546.453097208133840
風險,278009.841085472609848
趨勢值,0.030741548802154
找到最佳解世代,2144
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
HD[9](2),NKE[19](1),
Stock#,HD[9](2),NKE[19](1),
張數,43580,89015,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,66.599999999627471,27.450000000186265,
20150717,4988669.199999999254942,5020473.450000000186265,10009142.649999998509884
20150720,4942474.399999999441206,5035606.000000000000000,9978080.399999998509884
20150721,4962085.399999999441206,5029374.950000000186265,9991460.349999999627471
20150722,5007408.599999999627471,5078333.200000000186265,10085741.800000000745058
20150723,4993898.799999999813735,5073882.450000000186265,10067781.250000000000000
20150724,4950318.799999999813735,5029374.950000000186265,9979693.750000000000000
20150727,4927657.199999999254942,4973295.500000000000000,9900952.699999999254942
20150728,5004793.799999999813735,5050738.550000000745058,10055532.350000001490116
20150729,5071471.200000000186265,5114829.350000000558794,10186300.550000000745058
20150730,5075393.399999999441206,5119280.099999999627471,10194673.500000000000000
20150731,5100234.000000000000000,5128181.600000000558794,10228415.600000001490116
20150803,5094132.799999999813735,5111268.750000000000000,10205401.550000000745058
20150804,5122024.000000000000000,5153105.799999999813735,10275129.800000000745058
20150805,5142506.599999999627471,5196723.150000000372529,10339229.750000000000000
20150806,5079751.399999999441206,5123730.850000000558794,10203482.250000000000000
20150807,5095876.000000000000000,5097026.349999999627471,10192902.349999999627471
20150810,5125074.599999999627471,5134412.650000000372529,10259487.250000000000000
20150811,5128996.799999999813735,5094355.900000000372529,10223352.699999999254942
20150812,5128996.799999999813735,5032045.400000000372529,10161042.199999999254942
20150813,5186958.199999999254942,5056079.450000000186265,10243037.649999998509884
20150814,5218771.599999999627471,5089905.150000000372529,10308676.750000000000000
20150817,5216592.599999999627471,5117499.800000000745058,10334092.400000000372529
20150818,5351690.599999999627471,5110378.599999999627471,10462069.199999999254942
20150819,5349947.399999999441206,5116609.650000000372529,10466557.050000000745058
20150820,5253199.799999999813735,4998219.700000000186265,10251419.500000000000000
20150821,5062319.399999999441206,4756989.049999999813735,9819308.449999999254942
20150824,4904559.799999999813735,4623466.549999999813735,9528026.349999999627471
20150825,4836139.199999999254942,4608334.000000000000000,9444473.199999999254942
20150826,5052296.000000000000000,4840663.150000000372529,9892959.150000000372529
20150827,5127689.399999999441206,5012462.100000000558794,10140151.500000000000000
20150828,5121588.199999999254942,5007121.200000000186265,10128709.399999998509884
20150831,5075393.399999999441206,4974185.650000000372529,10049579.050000000745058
20150901,4927657.199999999254942,4835322.250000000000000,9762979.449999999254942
20150902,5076265.000000000000000,4927007.700000000186265,10003272.699999999254942
20150903,5081494.599999999627471,4934128.900000000372529,10015623.500000000000000
20150904,4986490.199999999254942,4882500.200000000186265,9868990.399999998509884
20150908,5074086.000000000000000,4974185.650000000372529,10048271.650000000372529
20150909,4966879.199999999254942,4889621.400000000372529,9856500.599999999627471
20150910,4989540.799999999813735,4912765.299999999813735,9902306.099999999627471
20150911,5030941.799999999813735,4976856.099999999627471,10007797.899999998509884
20150914,5000000.000000000000000,4980416.700000000186265,9980416.699999999254942
20150915,5063191.000000000000000,5066761.250000000000000,10129952.250000000000000
20150916,5134662.199999999254942,5144204.299999999813735,10278866.500000000000000
20150917,5138584.399999999441206,5130852.049999999813735,10269436.449999999254942
20150918,5016996.200000000186265,5121060.400000000372529,10138056.600000001490116
20150921,5080623.000000000000000,5187821.650000000372529,10268444.650000000372529
20150922,5046630.599999999627471,5162007.300000000745058,10208637.900000000372529
20150923,5062755.199999999254942,5137973.250000000000000,10200728.449999999254942
20150924,5070163.799999999813735,5109488.450000000186265,10179652.250000000000000
20150925,5087595.799999999813735,5563464.950000000186265,10651060.750000000000000
20150928,4972544.599999999627471,5436173.500000000000000,10408718.099999999627471
20150929,4920684.399999999441206,5326685.050000000745058,10247369.449999999254942
20150930,5033120.799999999813735,5473559.800000000745058,10506680.600000001490116
20151001,5100234.000000000000000,5511836.250000000000000,10612070.250000000000000
20151002,5134226.399999999441206,5573256.600000000558794,10707483.000000000000000
20151005,5194802.599999999627471,5531419.549999999813735,10726222.149999998509884
20151006,5172141.000000000000000,5483351.450000000186265,10655492.449999999254942
20151007,5214413.599999999627471,5434393.200000000186265,10648806.800000000745058
20151008,5275861.399999999441206,5559904.350000000558794,10835765.750000000000000
20151009,5287628.000000000000000,5560794.500000000000000,10848422.500000000000000
20151012,5312468.599999999627471,5627555.750000000000000,10940024.349999999627471
20151013,5299830.399999999441206,5599961.099999999627471,10899791.500000000000000
20151014,5241433.199999999254942,5600851.250000000000000,10842284.449999999254942
20151015,5308546.399999999441206,5732593.450000001117587,11041139.850000001490116
20151016,5349075.799999999813735,5807366.049999999813735,11156441.849999999627471
