訓練日期,20160331 - 20160630
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11044425.240000000223517
真實報酬,1044425.240000000223517

夏普值報酬,0.095742524000000
夏普值風險,0.023935215485378
夏普值,4.000069439879901

預期報酬,12424.773045641388308
風險,77360.474896344472654
趨勢值,0.160608800066046
找到最佳解世代,2560
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
PFE[20](3),VZ[26](26),XOM[29](2),
20160601,3852120.359999999869615,3110660.979999999981374,3519480.359999999869615,10482262.699999999254942
20160602,3865422.599999999627471,3131632.860000000335276,3491479.380000000353903,10488535.839999999850988
20160603,3845469.239999999757856,3140885.160000000149012,3485169.300000000279397,10471524.700000001117587
20160606,3872073.719999999739230,3127931.940000000409782,3523424.160000000149012,10523430.820000000298023
20160607,3862097.040000000037253,3192081.220000000204891,3577454.220000000204891,10631633.480000000447035
20160608,3907546.359999999869615,3177894.360000000335276,3580609.260000000242144,10666050.980000000447035
20160609,3914197.479999999981374,3204417.620000000577420,3575876.700000000186265,10694492.800000000745058
20160610,3911980.439999999944121,3248828.660000000149012,3548664.480000000447035,10709474.580000000074506
20160613,3851011.840000000316650,3242660.460000000428408,3572721.660000000149012,10666394.960000000894070
20160614,3878724.840000000316650,3268566.900000000372529,3566411.580000000540167,10713704.320000000298023
20160615,3856554.439999999944121,3259314.600000000558794,3555763.320000000298023,10671633.360000001266599
20160616,3852120.359999999869615,3297557.440000000409782,3597567.600000000093132,10747246.400000000372529
20160617,3793368.799999999813735,3317295.680000000167638,3577848.600000000093132,10688514.080000000074506
20160620,3824407.359999999869615,3316062.040000000037253,3593623.800000000279397,10734094.200000001117587
20160621,3852120.359999999869615,3337033.920000000391155,3609793.380000000353903,10798948.660000000149012
20160622,3821081.799999999813735,3332716.180000000167638,3595595.700000000186265,10749394.679999999701977
20160623,3834384.040000000037253,3372192.660000000149012,3620441.640000000130385,10827019.339999999850988
20160624,3765655.799999999813735,3357388.979999999981374,3525396.060000000055879,10648441.839999999850988
20160627,3746810.959999999497086,3376510.400000000372529,3504493.920000000391155,10627816.279999999329448
20160628,3817756.239999999757856,3381444.960000000428408,3585341.820000000298023,10784544.019999999552965
20160629,3880941.879999999422580,3396248.640000000130385,3646470.720000000204891,10923662.240000000223517
20160630,3903112.279999999795109,3444360.600000000558794,3696951.359999999869615,11044425.240000000223517
