訓練日期,20140806 - 20141105
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11645455.780000001192093
真實報酬,1645455.780000001192093

夏普值報酬,0.155845578000000
夏普值風險,0.038196440456216
夏普值,4.080107364419026

預期報酬,22589.201945550637902
風險,136562.072370374546153
趨勢值,0.165413438398077
找到最佳解世代,1598
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
KO[14](9),NKE[19](1),UNH[23](5),
Stock#,KO[14](9),NKE[19](1),UNH[23](5),
張數,85077,86670,41157,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,16.140000000130385,4.799999999813735,27.570000000298023,
20140806,3396289.980000000447035,3342866.699999999720603,3354323.070000000298023,10093480.750000000000000
20140807,3347796.090000000316650,3308198.700000000186265,3262131.390000000596046,9918127.180000001564622
20140808,3356303.790000000502914,3339399.899999999906868,3297526.410000000614673,9993231.100000001490116
20140811,3366513.030000000260770,3339399.899999999906868,3287237.160000000614673,9993151.089999999850988
20140812,3375871.500000000000000,3325532.699999999720603,3301642.110000000335276,10003047.309999998658895
20140813,3397991.520000000018626,3348066.899999999906868,3354734.640000000596046,10100794.060000000521541
20140814,3418410.000000000000000,3349800.299999999813735,3367493.310000000055879,10135704.609999999403954
20140815,3477963.900000000372529,3342866.699999999720603,3353088.360000000335276,10173919.960000000894070
20140818,3517950.090000000316650,3404402.399999999906868,3388894.950000000651926,10311248.440000001341105
20140819,3510293.160000000149012,3402668.999999999534339,3435402.360000000335276,10348365.519999999552965
20140820,3509442.390000000130385,3420003.000000000000000,3433756.080000000540167,10363202.470000000670552
20140821,3523054.709999999962747,3420869.699999999720603,3447749.459999999962747,10391674.870000001043081
20140822,3498382.379999999888241,3436470.299999999813735,3448161.030000000260770,10383014.710000000894070
20140825,3523054.709999999962747,3467671.499999999534339,3467093.250000000000000,10457820.459999999031425
20140826,3539219.340000000316650,3444270.600000000093132,3503311.410000000614673,10486802.350000001490116
20140827,3539219.340000000316650,3454670.999999999534339,3555169.229999999981374,10549060.570000000298023
20140828,3541771.650000000372529,3415669.499999999534339,3553522.950000000651926,10510965.100000001490116
20140829,3549428.580000000074506,3404402.399999999906868,3567516.330000000540167,10521348.310000000521541
