訓練日期,20131230 - 20140402
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11214189.109999999403954
真實報酬,1214189.109999999403954

夏普值報酬,0.112718911000000
夏普值風險,0.037879501317138
夏普值,2.975723203330613

預期報酬,16199.401812096301001
風險,144493.907499786088010
趨勢值,0.112111313842906
找到最佳解世代,3370
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
MRK[17](1),MSFT[18](8),
Stock#,MRK[17](1),MSFT[18](8),
張數,100421,134084,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,38.410000000149012,7.639999999664724,
20131230,5015063.150000000372529,5000000.000000000000000,10015063.150000000372529
20131231,5026109.459999999962747,5016090.079999999143183,10042199.539999999105930
20140102,4969873.700000000186265,4982569.079999999143183,9952442.779999999329448
20140103,4993974.740000000223517,4949048.079999999143183,9943022.820000000298023
20140106,4994978.950000000186265,4844462.559999999590218,9839441.509999999776483
20140107,5032134.719999999739230,4882006.079999999143183,9914140.799999998882413
20140108,5000000.000000000000000,4794851.479999999515712,9794851.480000000447035
20140109,4972886.330000000074506,4764012.160000000149012,9736898.490000000223517
20140110,5009037.890000000596046,4832395.000000000000000,9841432.890000000596046
20140113,5334401.929999999701977,4690265.959999999031425,10024667.889999998733401
20140114,5322351.410000000149012,4797533.160000000149012,10119884.570000000298023
20140115,5274149.330000000074506,4928935.479999999515712,10203084.809999998658895
20140116,5272140.910000000149012,4946366.399999999441206,10218507.309999998658895
20140117,5216909.360000000335276,4877983.559999999590218,10094892.919999999925494
20140121,5204858.839999999850988,4849825.919999999925494,10054684.759999999776483
20140122,5156656.760000000707805,4817645.759999999776483,9974302.519999999552965
20140123,5181762.010000000707805,4835076.679999999701977,10016838.690000001341105
20140124,5219921.990000000223517,4935639.679999999701977,10155561.669999999925494
20140127,5275153.540000000037253,4831054.160000000149012,10106207.699999999254942
20140128,5309296.679999999701977,4863234.320000000298023,10172531.000000000000000
20140129,5243018.820000000298023,4915527.079999999143183,10158545.899999998509884
20140130,5373566.120000000111759,4942343.879999999888241,10315910.000000000000000
20140131,5319338.780000000260770,5073746.200000000186265,10393084.980000000447035
20140203,5229964.089999999850988,4891391.959999999031425,10121356.049999998882413
20140204,5373566.120000000111759,4873961.040000000037253,10247527.160000000149012
20140205,5375574.540000000037253,4802896.519999999552965,10178471.059999998658895
20140206,5399675.580000000074506,4851166.759999999776483,10250842.339999999850988
20140207,5500096.580000000074506,4902118.679999999701977,10402215.259999999776483
20140210,5512147.100000000558794,4934298.839999998919666,10446445.939999999478459
20140211,5593488.110000000335276,4983909.919999999925494,10577398.030000001192093
20140212,5523193.410000000149012,5024135.119999999180436,10547328.529999999329448
20140213,5533235.510000000707805,5042906.879999999888241,10576142.390000000596046
20140214,5567378.650000000372529,5044247.719999999739230,10611626.370000001043081
20140218,5592483.900000000372529,5017430.919999999925494,10609914.820000000298023
20140219,5527210.250000000000000,5029498.479999999515712,10556708.730000000447035
20140220,5604534.419999999925494,5061678.639999999664724,10666213.059999998658895
20140221,5626627.040000000037253,5092517.959999999031425,10719145.000000000000000
20140224,5641690.190000000409782,5053633.599999999627471,10695323.789999999105930
20140225,5614576.519999999552965,5033521.000000000000000,10648097.519999999552965
20140226,5650728.080000000074506,5024135.119999999180436,10674863.199999999254942
20140227,5689892.269999999552965,5076427.879999999888241,10766320.149999998509884
20140228,5723031.200000000186265,5136765.679999999701977,10859796.879999998956919
20140303,5665791.230000000447035,5065701.160000000149012,10731492.390000000596046
20140304,5730060.669999999925494,5150174.079999999143183,10880234.750000000000000
20140305,5711984.890000000596046,5109948.879999999888241,10821933.769999999552965
20140306,5750144.870000000111759,5115312.239999999292195,10865457.109999999403954
20140307,5771233.280000000260770,5081791.239999999292195,10853024.519999999552965
20140310,5756170.129999999888241,5071064.519999999552965,10827234.649999998509884
20140311,5692904.900000000372529,5097881.320000000298023,10790786.220000000670552
20140312,5704955.419999999925494,5131402.320000000298023,10836357.740000000223517
20140313,5602526.000000000000000,5080450.399999999441206,10682976.399999998509884
20140314,5593488.110000000335276,5054974.440000000409782,10648462.550000000745058
20140317,5649723.870000000111759,5101903.839999998919666,10751627.709999999031425
20140318,5659765.969999999739230,5303029.839999998919666,10962795.809999998658895
20140319,5622610.200000000186265,5265486.320000000298023,10888096.519999999552965
20140320,5582441.800000000745058,5407615.359999999403954,10990057.160000000149012
20140321,5489050.269999999552965,5384821.079999999143183,10873871.349999997764826
20140324,5400679.790000000037253,5430409.639999999664724,10831089.429999999701977
20140325,5542273.400000000372529,5408956.200000000186265,10951229.600000001490116
20140326,5625622.830000000074506,5335210.000000000000000,10960832.830000000074506
20140327,5596500.740000000223517,5277553.879999999888241,10874054.620000001043081
20140328,5621605.990000000223517,5403592.839999998919666,11025198.829999998211861
20140331,5700938.580000000074506,5496110.799999999813735,11197049.379999998956919
20140401,5660770.179999999701977,5553766.919999999925494,11214537.099999999627471
20140402,5669808.070000000298023,5544381.040000000037253,11214189.109999999403954
