訓練日期,20110812 - 20111111
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11589332.450000001117587
真實報酬,1589332.450000001117587

夏普值報酬,0.150233245000000
夏普值風險,0.041025556002014
夏普值,3.661942936071993

預期報酬,22815.934051353222458
風險,177261.829015761904884
趨勢值,0.128713181952582
找到最佳解世代,2033
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
HD[9](3),INTC[11](12),PG[21](5),VZ[26](2),WMT[28](1),
Stock#,HD[9](3),INTC[11](12),PG[21](5),VZ[26](2),WMT[28](1),
張數,66555,96339,33085,57770,40217,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,22.250000000000000,2.359999999869615,11.750000000000000,2.600000000093132,8.590000000083819,
20110812,2035274.149999999906868,1989402.709999999729916,2022828.649999999906868,1981513.599999999860302,2000804.340000000083819,10029823.449999999254942
20110815,2093842.550000000046566,2012524.069999999832362,2047311.550000000046566,2024841.099999999860302,2010054.250000000000000,10188573.519999999552965
20110816,2204323.849999999627471,2002890.169999999692664,2038709.449999999953434,2015020.200000000186265,2088075.230000000214204,10349018.900000000372529
20110817,2223624.799999999813735,1991329.489999999990687,2040363.699999999953434,2057192.300000000046566,2073194.939999999944121,10385705.230000000447035
20110818,2140431.049999999813735,1904624.389999999897555,2013564.850000000093132,2025996.500000000000000,2082847.020000000018626,10167463.809999998658895
20110819,2121795.649999999906868,1848747.770000000018626,2016873.350000000093132,2005199.300000000046566,2103357.690000000409782,10095973.759999999776483
20110822,2148417.649999999906868,1867052.179999999701977,2041687.100000000093132,2011554.000000000000000,2098933.820000000298023,10167644.750000000000000
20110823,2203658.299999999813735,1898844.050000000046566,2085028.450000000186265,2077411.800000000046566,2139955.160000000149012,10404897.759999999776483
20110824,2287517.599999999627471,1907514.559999999823049,2094623.100000000093132,2106874.500000000000000,2146389.879999999888241,10542919.640000000596046
20110825,2252243.450000000186265,1870905.739999999990687,2068816.800000000046566,2066435.500000000232831,2119444.490000000223517,10377845.980000000447035
20110826,2262892.250000000000000,1904624.389999999897555,2070140.199999999953434,2065857.800000000046566,2127487.889999999664724,10431002.529999999329448
20110829,2262226.700000000186265,1955684.059999999823049,2087344.400000000139698,2087810.400000000139698,2139150.820000000298023,10532216.380000000819564
20110830,2234273.600000000093132,1949903.719999999739230,2100909.250000000000000,2097631.300000000279397,2124270.530000000260770,10506988.400000002235174
20110831,2221628.150000000372529,1939306.429999999701977,2106864.549999999813735,2089543.500000000232831,2139150.820000000298023,10496493.449999999254942
20110901,2191678.399999999906868,1925818.969999999739230,2092968.849999999860302,2072790.200000000186265,2117433.639999999664724,10400690.059999998658895
20110902,2141762.149999999906868,1892100.319999999832362,2069478.500000000000000,2054303.800000000279397,2092499.100000000093132,10250143.869999999180436
20110906,2133110.000000000000000,1882466.419999999692664,2063854.050000000046566,2034662.000000000000000,2078423.150000000139698,10192515.619999999180436
20110907,2187685.099999999627471,1934489.479999999748543,2075102.949999999953434,2057770.000000000000000,2108183.730000000447035,10363231.259999999776483
20110908,2160397.550000000279397,1917148.459999999729916,2081389.099999999860302,2043905.200000000186265,2099738.160000000149012,10302578.469999998807907
