訓練日期,20161118 - 20170223
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11352792.000000000000000
真實報酬,1352792.000000000000000

夏普值報酬,0.126579200000000
夏普值風險,0.036196252449693
夏普值,3.497025007655866

預期報酬,20469.171545828205126
風險,79314.954953661101172
趨勢值,0.258074552999332
找到最佳解世代,2617
找到最佳解實驗#,2
找到最佳解次數,39

stock[index](rank)
投資組合檔數,5
AAPL[0](7),AXP[1](1),DIS[6](3),IBM[10](4),UNH[23](14),
Stock#,AAPL[0](7),AXP[1](1),DIS[6](3),IBM[10](4),UNH[23](14),
張數,18190,27862,20126,12515,13265,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,9.500000000000000,65.639999999897555,79.379999999888241,102.999999999767169,35.949999999953434,
20161118,2002000.900000000139698,1978267.639999999897555,1977257.619999999878928,2007383.849999999627471,1982490.199999999720603,9947400.209999999031425
20161121,2032378.200000000186265,1993313.120000000111759,1964980.759999999776483,2037169.549999999813735,1995224.599999999860302,10023066.230000000447035
20161122,2033651.500000000000000,1998328.279999999795109,1966590.839999999850988,2035918.049999999580905,2019764.849999999860302,10054253.519999999552965
20161123,2023283.200000000186265,2030648.199999999720603,1977660.139999999897555,2027282.699999999720603,2036744.049999999813735,10095618.289999999105930
20161125,2033469.600000000093132,2030090.959999999962747,1988930.699999999720603,2041800.099999999627471,2027060.600000000093132,10121351.959999999031425
20161128,2029467.799999999813735,2009751.699999999720603,1991949.599999999860302,2059070.799999999813735,2017775.100000000093132,10108015.000000000000000
20161129,2027466.899999999906868,1991920.019999999785796,2006037.799999999813735,2046680.949999999720603,2090467.300000000046566,10162572.970000000670552
20161130,2010368.299999999813735,2007244.120000000111759,1994968.500000000000000,2030286.299999999813735,2100150.750000000000000,10143017.969999998807907
20161201,1991632.599999999860302,2020896.500000000000000,1991345.819999999832362,2000250.299999999580905,2134905.049999999813735,10139030.269999999552965
20161202,1999090.500000000000000,2002228.959999999962747,1982490.379999999888241,2002753.299999999813735,2132119.399999999441206,10118682.539999999105930
20161205,1984720.399999999906868,2006965.500000000000000,2011874.339999999850988,2000500.599999999860302,2090997.899999999906868,10095058.740000000223517
20161206,2000000.000000000000000,2014766.859999999869615,2025962.539999999804422,2006883.249999999767169,2086885.749999999767169,10134498.399999998509884
20161207,2019645.199999999953434,2069933.620000000111759,2052730.119999999878928,2062449.849999999627471,2114476.950000000186265,10319235.740000000223517
20161208,2039472.300000000046566,2087208.059999999823049,2080705.259999999776483,2069583.399999999906868,2113415.750000000000000,10390384.769999999552965
20161209,2072760.000000000000000,2083307.379999999888241,2110491.739999999757856,2084100.799999999813735,2124027.750000000000000,10474687.669999998062849
20161212,2060936.500000000000000,2050151.599999999860302,2094390.939999999944121,2071335.499999999767169,2115670.799999999813735,10392485.339999999850988
20161213,2095315.599999999860302,2057395.719999999972060,2090164.479999999748543,2106252.349999999627471,2129599.049999999813735,10478727.199999999254942
20161214,2095315.599999999860302,2063803.979999999748543,2094189.679999999934807,2109005.649999999441206,2120578.850000000558794,10482893.759999999776483
20161215,2106775.299999999813735,2088043.919999999925494,2101032.520000000018626,2102873.299999999813735,2130660.250000000000000,10529385.289999999105930
20161216,2109503.799999999813735,2089715.639999999897555,2091372.039999999804422,2086728.949999999720603,2174700.049999999813735,10552020.480000000447035
20161219,2121691.100000000093132,2077177.739999999757856,2119347.179999999701977,2086103.199999999953434,2142864.049999999813735,10547183.269999999552965
20161220,2127330.000000000000000,2091387.359999999869615,2122567.339999999850988,2097617.000000000000000,2143527.299999999813735,10582429.000000000000000
20161221,2129330.899999999906868,2098631.479999999515712,2124579.939999999944121,2094237.949999999953434,2140078.400000000372529,10586858.669999998062849
20161222,2115324.600000000093132,2078013.599999999860302,2121762.299999999813735,2090858.899999999906868,2143394.650000000372529,10549354.050000000745058
