訓練日期,20130123 - 20130425
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11403875.480000000447035
真實報酬,1403875.480000000447035

夏普值報酬,0.131687548000000
夏普值風險,0.037966917404928
夏普值,3.468481430702250

預期報酬,21638.631285752413532
風險,50794.328027258910879
趨勢值,0.426004873499655
找到最佳解世代,2473
找到最佳解實驗#,3
找到最佳解次數,17

stock[index](rank)
投資組合檔數,4
JNJ[12](1),MMM[16](8),TRV[22](3),VZ[26](2),
Stock#,JNJ[12](1),MMM[16](8),TRV[22](3),VZ[26](2),
張數,34392,25168,32071,58220,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,45.520000000018626,62.560000000055879,65.549999999813735,33.200000000186265,
20130123,2505502.719999999739230,2504026.879999999888241,2490057.989999999757856,2491267.000000000000000,9990854.589999999850988
20130124,2514100.719999999739230,2508557.120000000111759,2504489.939999999944121,2479623.000000000465661,10006770.779999999329448
20130125,2542302.160000000149012,2531711.680000000167638,2512828.399999999441206,2484280.600000000093132,10071122.839999999850988
20130128,2531984.560000000055879,2533221.760000000242144,2480757.399999999441206,2490102.600000000558794,10036066.320000000298023
20130129,2559154.239999999757856,2562416.640000000130385,2495510.060000000055879,2532603.200000000186265,10149684.140000000596046
20130130,2548148.800000000279397,2536996.959999999962747,2488133.729999999981374,2539007.400000000372529,10112286.890000000596046
20130131,2542302.160000000149012,2530704.959999999962747,2516356.209999999497086,2539007.400000000372529,10128370.730000000447035
20130201,2551244.080000000074506,2556124.640000000130385,2562217.739999999757856,2594316.400000000372529,10263902.860000001266599
20130204,2548836.640000000130385,2536241.919999999925494,2501603.549999999813735,2591987.600000000558794,10178669.710000000894070
20130205,2567752.239999999757856,2554362.879999999888241,2522449.700000000186265,2594316.400000000372529,10238881.219999998807907
20130206,2592858.399999999906868,2584564.479999999981374,2532391.709999999497086,2605378.200000000186265,10315192.789999999105930
20130207,2581509.040000000037253,2572735.520000000018626,2537523.069999999832362,2588494.400000000372529,10280262.030000001192093
20130208,2595953.680000000167638,2583809.439999999944121,2529184.609999999869615,2582090.200000000186265,10291037.929999999701977
20130211,2593546.239999999757856,2582802.720000000204891,2540409.459999999497086,2580343.600000000093132,10297102.019999999552965
20130212,2606959.120000000111759,2603943.839999999850988,2562538.450000000186265,2587330.000000000000000,10360771.410000000149012
20130213,2602144.239999999757856,2588843.040000000037253,2565424.839999999850988,2591987.600000000558794,10348399.719999998807907
20130214,2607303.040000000037253,2586829.600000000093132,2576649.689999999944121,2580925.800000000279397,10351708.130000000819564
20130215,2619340.239999999757856,2598155.200000000186265,2578253.239999999757856,2585001.200000000186265,10380749.879999998956919
20130219,2646853.839999999850988,2622064.800000000279397,2584988.149999999441206,2590823.200000000186265,10444729.990000000223517
20130220,2636192.320000000298023,2596141.760000000242144,2569273.359999999869615,2615275.600000000093132,10416883.039999999105930
20130221,2643758.560000000055879,2585319.520000000018626,2577932.529999999795109,2626919.600000000093132,10433930.209999999031425
20130222,2622435.520000000018626,2605957.280000000260770,2598137.259999999776483,2643221.200000000186265,10469751.260000001639128
20130225,2599048.959999999962747,2560906.560000000055879,2541692.299999999813735,2661851.600000000093132,10363499.419999999925494
20130226,2605239.520000000018626,2575000.640000000130385,2567028.390000000130385,2685139.600000000093132,10432408.150000000372529
20130227,2624842.959999999962747,2606712.319999999832362,2590760.929999999701977,2698530.200000000186265,10520846.410000000149012
20130228,2617620.640000000130385,2617534.560000000055879,2579215.369999999646097,2709009.800000000279397,10523380.370000001043081
20130301,2637911.919999999925494,2611745.919999999925494,2587874.539999999571592,2720071.600000000093132,10557603.979999998584390
20130304,2655107.919999999925494,2599413.600000000093132,2582422.469999999739230,2742777.400000000372529,10579721.390000000596046
20130305,2670928.239999999757856,2628860.160000000149012,2612569.209999999497086,2776545.000000000000000,10688902.609999999403954
20130306,2661642.399999999906868,2634145.439999999944121,2600061.519999999552965,2752674.800000000279397,10648524.160000000149012
20130307,2674023.520000000018626,2631125.280000000260770,2604230.750000000000000,2764318.799999999813735,10673698.350000001490116
20130308,2689156.000000000000000,2660571.839999999850988,2618662.700000000186265,2792264.400000000372529,10760654.940000001341105
20130311,2697754.000000000000000,2663088.640000000130385,2621869.799999999813735,2783531.400000000372529,10766243.839999999850988
20130312,2701881.040000000037253,2645974.399999999906868,2621549.089999999850988,2815552.400000000372529,10784956.929999999701977
20130313,2701537.120000000111759,2644967.680000000167638,2633736.069999999832362,2791100.000000000000000,10771340.870000001043081
20130314,2720452.719999999739230,2668373.919999999925494,2641433.109999999869615,2822538.799999999813735,10852798.550000000745058
20130315,2723548.000000000000000,2677937.760000000242144,2638867.429999999701977,2795757.600000000558794,10836110.789999999105930
20130318,2710479.040000000037253,2653021.439999999944121,2646885.179999999701977,2838258.200000000186265,10848643.859999999403954
20130319,2712198.640000000130385,2647232.800000000279397,2668052.039999999571592,2849902.200000000186265,10877385.679999999701977
20130320,2732489.919999999925494,2659313.439999999944121,2688898.189999999944121,2829525.200000000186265,10910226.750000000000000
20130321,2717357.440000000409782,2641192.479999999981374,2686011.799999999813735,2841169.200000000186265,10885730.919999999925494
20130322,2742463.599999999627471,2678441.120000000111759,2684087.539999999571592,2853977.600000000558794,10958969.859999999403954
20130325,2740400.080000000074506,2646981.120000000111759,2673824.819999999832362,2862128.399999999906868,10923334.419999999925494
20130326,2780638.719999999739230,2669632.319999999832362,2673504.109999999869615,2880758.799999999813735,11004533.949999999254942
20130327,2795083.359999999869615,2650001.280000000260770,2673824.819999999832362,2849320.000000000000000,10968229.460000000894070
20130328,2804025.280000000260770,2675672.640000000130385,2700123.039999999571592,2861546.200000000186265,11041367.160000000149012
20130401,2817782.080000000074506,2659061.760000000242144,2692426.000000000000000,2865621.600000000093132,11034891.439999999478459
20130402,2843920.000000000000000,2680957.919999999925494,2707178.659999999683350,2881923.200000000186265,11113979.780000001192093
20130403,2822596.959999999962747,2659816.800000000279397,2685049.669999999925494,2852231.000000000465661,11019694.429999999701977
20130404,2834290.239999999757856,2663340.319999999832362,2704933.689999999944121,2870279.200000000186265,11072843.449999999254942
20130405,2821565.200000000186265,2662333.600000000093132,2707178.659999999683350,2885416.400000000372529,11076493.860000001266599
20130408,2789580.640000000130385,2661578.560000000055879,2717441.379999999888241,2877847.800000000279397,11046448.380000000819564
20130409,2803681.359999999869615,2666612.160000000149012,2734759.719999999739230,2873772.400000000372529,11078825.640000000596046
