訓練日期,20171023 - 20180125
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11708044.389999998733401
真實報酬,1708044.389999998733401

夏普值報酬,0.162104439000000
夏普值風險,0.045058970411489
夏普值,3.597606370487958

預期報酬,26325.342918272563111
風險,49957.890800829482032
趨勢值,0.526950647761043
找到最佳解世代,2635
找到最佳解實驗#,1
找到最佳解次數,49

stock[index](rank)
投資組合檔數,9
AAPL[0](15),AXP[1](9),CAT[3](6),DIS[6](5),HD[9](2),MCD[15](8),NKE[19](1),WBA[27](11),WMT[28](3),
Stock#,AAPL[0](15),AXP[1](9),CAT[3](6),DIS[6](5),HD[9](2),MCD[15](8),NKE[19](1),WBA[27](11),WMT[28](3),
張數,7111,12065,8458,11178,6798,6681,20940,16325,12707,
分配資金,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,
剩餘資金,17.250000000000000,45.149999999906868,68.119999999878928,17.800000000046566,113.859999999869615,60.699999999953434,34.599999999860302,31.500000000000000,10.919999999925494,
20171023,1110542.119999999878928,1114609.849999999860302,1113817.559999999823049,1103286.400000000139698,1120016.379999999888241,1091335.239999999990687,1123674.999999999767169,1102132.250000000000000,1126486.469999999972060,10005902.270000001415610
20171024,1117155.349999999860302,1132466.049999999813735,1169302.040000000037253,1098703.420000000158325,1128785.799999999813735,1094942.979999999981374,1118649.399999999906868,1098540.750000000000000,1117972.780000000027940,10076519.569999998435378
20171025,1112248.760000000009313,1128484.599999999860302,1157460.839999999850988,1093226.199999999953434,1129057.719999999739230,1092938.679999999934807,1150478.199999999720603,1132333.500000000000000,1124326.280000000027940,10120555.779999997466803
20171026,1119359.760000000009313,1154544.999999999767169,1158306.639999999897555,1101721.479999999981374,1139798.559999999823049,1095811.509999999776483,1189636.000000000000000,1095602.250000000000000,1126105.260000000009313,10180887.459999999031425
20171027,1159465.800000000046566,1155751.500000000000000,1165665.099999999860302,1098926.979999999981374,1137691.179999999934807,1105031.289999999804422,1171836.999999999767169,1052667.500000000000000,1120387.109999999869615,10167424.459999997168779
20171030,1185563.169999999925494,1147064.699999999720603,1154500.540000000037253,1095908.920000000158325,1123891.239999999990687,1110643.329999999841675,1157388.399999999906868,1081726.000000000000000,1104884.570000000065193,10161571.870000001043081
20171031,1202060.689999999944121,1152493.949999999953434,1148664.520000000018626,1093337.979999999981374,1127086.299999999813735,1115186.409999999916181,1151525.199999999953434,1081889.250000000000000,1109459.089999999850988,10181704.390000000596046
20171101,1186772.039999999804422,1155751.500000000000000,1152808.939999999711290,1106975.140000000130385,1124367.099999999860302,1111578.669999999925494,1153200.399999999906868,1093969.750000000000000,1117464.500000000000000,10202889.039999999105930
20171102,1195447.460000000195578,1158043.849999999860302,1154331.379999999888241,1099374.100000000093132,1106216.439999999944121,1123136.799999999813735,1154247.399999999906868,1090215.000000000000000,1128392.519999999785796,10209405.949999999254942
20171103,1226664.750000000000000,1163473.100000000093132,1155684.659999999916181,1102615.719999999972060,1117637.079999999841675,1126811.350000000093132,1166601.999999999767169,1091684.250000000000000,1139574.679999999934807,10290748.589999999850988
20171106,1239109.000000000000000,1161784.000000000000000,1164819.300000000046566,1124971.719999999972060,1116481.419999999925494,1136298.369999999878928,1173512.199999999953434,1076502.000000000000000,1127121.820000000065193,10320600.830000000074506
