訓練日期,20190124 - 20190426
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11771228.839999999850988
真實報酬,1771228.839999999850988

夏普值報酬,0.168422884000000
夏普值風險,0.048574092553124
夏普值,3.467339792622990

預期報酬,28127.049145999048051
風險,68330.726804050558712
趨勢值,0.411631054747272
找到最佳解世代,4118
找到最佳解實驗#,1
找到最佳解次數,38

stock[index](rank)
投資組合檔數,6
AAPL[0](3),CSCO[4](1),MCD[15](24),PG[21](5),TRV[22](4),V[25](2),
Stock#,AAPL[0](3),CSCO[4](1),MCD[15](24),PG[21](5),TRV[22](4),V[25](2),
張數,10828,36662,8956,17573,13547,12164,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,20.240000000223517,11.479999999981374,43.959999999962747,42.679999999934807,114.060000000055879,76.360000000102445,
20190124,1653455.840000000083819,1672165.300000000046566,1678129.679999999934807,1657176.579999999841675,1685089.919999999925494,1675059.159999999916181,10021080.480000000447035
20190125,1708245.520000000018626,1691229.540000000037253,1647947.959999999962747,1644875.479999999748543,1693218.120000000111759,1686858.239999999990687,10072378.859999999403954
20190128,1692436.640000000363216,1677297.979999999981374,1644365.559999999823049,1643469.639999999897555,1693895.469999999972060,1654258.720000000204891,10005728.009999999776483
20190129,1674895.280000000260770,1684997.000000000000000,1631558.479999999748543,1643821.100000000093132,1691050.599999999860302,1642216.360000000102445,9968542.819999998435378
20190130,1789347.240000000223517,1712493.500000000000000,1627976.080000000074506,1661042.639999999897555,1705410.419999999925494,1673842.760000000009313,10170116.639999998733401
20190131,1802232.560000000288710,1733757.459999999962747,1601197.639999999897555,1695309.989999999990687,1700804.440000000176951,1642338.000000000000000,10175644.089999999850988
20190201,1803098.800000000279397,1735590.560000000055879,1582748.280000000027940,1712882.989999999990687,1713674.090000000083819,1704860.960000000195578,10252859.680000001564622
20190204,1854315.240000000223517,1735957.179999999934807,1590181.760000000009313,1722723.869999999878928,1707577.940000000176951,1721282.360000000102445,10332042.349999999627471
20190205,1886041.280000000260770,1732657.599999999860302,1590360.879999999888241,1712355.799999999813735,1709474.520000000251457,1733811.280000000027940,10364705.359999999403954
20190206,1886690.960000000428408,1740723.239999999757856,1577912.040000000037253,1720790.839999999850988,1700939.909999999916181,1721160.720000000204891,10348221.710000000894070
20190207,1850958.560000000288710,1712126.880000000121072,1569851.639999999897555,1707083.899999999906868,1717331.780000000027940,1705104.239999999990687,10262461.000000000000000
