訓練日期,20170501 - 20170801
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10872862.089999999850988
真實報酬,872862.089999999850988

夏普值報酬,0.078586209000000
夏普值風險,0.024981273313278
夏普值,3.145804780024124

預期報酬,14368.516603640631729
風險,46485.974791139691661
趨勢值,0.309093585069433
找到最佳解世代,2947
找到最佳解實驗#,3
找到最佳解次數,5

stock[index](rank)
投資組合檔數,4
JNJ[12](2),JPM[13](15),MCD[15](1),V[25](3),
Stock#,JNJ[12](2),JPM[13](15),MCD[15](1),V[25](3),
張數,20247,28735,17866,27406,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,102.910000000149012,55.000000000000000,10.619999999646097,24.680000000167638,
20170501,2497367.890000000130385,2501724.100000000093132,2521796.519999999552965,2501096.240000000223517,10021984.750000000000000
20170502,2504656.810000000055879,2485632.500000000000000,2523225.799999999348074,2536175.920000000391155,10049691.029999999329448
20170503,2497165.419999999925494,2500000.000000000000000,2548059.539999999571592,2533435.320000000298023,10078660.279999999329448
20170504,2509718.560000000055879,2502873.500000000000000,2562888.319999999366701,2538368.400000000372529,10113848.780000001192093
20170505,2500809.880000000353903,2500000.000000000000000,2571999.979999999981374,2523843.220000000204891,10096653.080000001937151
20170508,2495545.660000000149012,2502873.500000000000000,2577002.459999999962747,2519184.200000000186265,10094605.820000000298023
20170509,2494735.779999999795109,2492816.250000000000000,2579146.379999999888241,2521376.680000000167638,10088075.089999999850988
20170510,2486636.979999999981374,2512356.050000000279397,2582004.939999999944121,2528228.180000000167638,10109226.150000000372529
20170511,2494533.310000000055879,2504597.600000000093132,2576466.479999999981374,2524117.279999999795109,10099714.669999999925494
20170512,2503441.990000000223517,2497701.200000000186265,2597012.379999999888241,2541383.060000000055879,10139538.630000000819564
20170515,2571269.439999999944121,2509769.899999999906868,2613449.099999999627471,2555086.060000000055879,10249574.500000000000000
20170516,2587062.100000000093132,2517528.350000000093132,2631493.759999999310821,2552893.580000000540167,10288977.789999999105930
20170517,2564790.400000000372529,2421553.449999999720603,2615771.679999999701977,2514799.240000000223517,10116914.769999999552965
20170518,2570864.500000000000000,2412645.599999999627471,2626491.279999999329448,2513428.939999999944121,10123430.319999998435378
20170519,2571471.910000000149012,2436208.299999999813735,2646858.519999999552965,2534531.560000000055879,10189070.289999999105930
20170522,2576736.130000000353903,2433909.500000000000000,2647573.159999999683350,2557278.540000000037253,10215497.330000001937151
20170523,2582000.350000000093132,2464368.600000000093132,2640962.739999999292195,2572351.840000000316650,10259683.529999999329448
20170524,2581797.880000000353903,2462931.849999999627471,2670977.619999999646097,2598387.540000000037253,10314094.890000000596046
20170525,2582202.820000000298023,2452587.250000000000000,2675980.099999999627471,2604690.920000000391155,10315461.089999999850988
20170526,2569852.150000000372529,2452874.600000000093132,2677409.379999999888241,2594550.700000000186265,10294686.830000000074506
20170530,2573699.080000000074506,2410921.500000000000000,2678660.000000000000000,2595921.000000000000000,10259201.580000000074506
20170531,2596780.660000000149012,2360635.250000000000000,2695811.359999999403954,2609898.060000000055879,10263125.330000000074506
20170601,2607511.570000000298023,2386784.100000000093132,2722610.359999999403954,2614557.080000000540167,10331463.109999999403954
20170602,2633832.670000000391155,2374715.399999999906868,2746729.459999999962747,2635111.580000000540167,10390389.110000001266599
20170605,2639501.830000000540167,2379025.650000000372529,2729756.759999999310821,2646073.979999999981374,10394358.220000000670552
