訓練日期,20190917 - 20191217
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11365937.050000000745058
真實報酬,1365937.050000000745058

夏普值報酬,0.127893705000000
夏普值風險,0.035054510118569
夏普值,3.648423685494634

預期報酬,19372.588631292368518
風險,69553.628111460158834
趨勢值,0.278527363090933
找到最佳解世代,3022
找到最佳解實驗#,3
找到最佳解次數,27

stock[index](rank)
投資組合檔數,3
AAPL[0](1),MRK[17](3),WMT[28](4),
Stock#,AAPL[0](1),MRK[17](3),WMT[28](4),
張數,15158,40635,28842,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,88.799999999813735,43.950000000186265,63.060000000055879,
20190917,3345459.399999999441206,3352837.800000000279397,3360444.479999999981374,10058742.679999999701977
20190918,3376836.459999999962747,3373561.649999999906868,3379191.779999999795109,10129590.889999998733401
20190919,3349400.479999999981374,3412164.900000000372529,3377749.680000000167638,10139316.060000000521541
20190920,3300440.139999999664724,3460520.550000000279397,3374000.220000000204891,10134961.910000000149012
20190923,3315446.559999999590218,3428012.550000000279397,3392459.100000000093132,10135919.209999999031425
20190924,3299682.239999999757856,3397129.950000000186265,3414955.860000000335276,10111769.050000000745058
20190925,3350461.540000000037253,3376812.450000000186265,3416974.799999999813735,10144249.789999999105930
20190926,3333181.419999999459833,3408507.750000000000000,3412071.660000000149012,10153761.830000000074506
20190927,3316962.359999999869615,3369091.800000000279397,3416397.959999999962747,10102453.120000001043081
20190930,3395026.059999999590218,3420698.250000000465661,3423031.620000000111759,10238756.929999999701977
20191001,3404424.020000000018626,3397536.300000000279397,3399092.759999999776483,10201054.080000000074506
20191002,3319084.479999999981374,3316672.650000000372529,3349196.100000000093132,9984954.230000000447035
20191003,3347278.359999999869615,3362183.850000000093132,3354676.080000000074506,10064139.289999999105930
20191004,3441106.379999999888241,3454018.950000000186265,3408033.779999999795109,10303160.109999999403954
20191007,3441864.279999999795109,3429231.600000000093132,3381210.720000000204891,10252307.599999999627471
