訓練日期,20120314 - 20120614
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10891060.189999999478459
真實報酬,891060.189999999478459

夏普值報酬,0.080406019000000
夏普值風險,0.025054205165082
夏普值,3.209282372767586

預期報酬,12281.017867399772513
風險,102711.183937203430105
趨勢值,0.119568457850785
找到最佳解世代,1992
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
KO[14](1),TRV[22](2),WMT[28](8),
Stock#,KO[14](1),TRV[22](2),WMT[28](8),
張數,94885,57067,54644,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,22.949999999720603,49.530000000260770,49.000000000000000,
20120314,3331435.299999999813735,3364149.180000000633299,3337704.520000000018626,10033290.000000000000000
20120315,3337128.399999999906868,3371567.890000000130385,3345901.119999999646097,10054598.410000000149012
20120316,3328588.749999999534339,3378415.930000000633299,3324589.959999999962747,10031595.640000000596046
20120319,3339974.950000000186265,3373850.570000000298023,3319125.560000000055879,10032952.080000000074506
20120320,3349463.449999999254942,3376133.250000000000000,3311475.399999999906868,10037073.099999999627471
20120321,3374133.549999999813735,3339039.700000000186265,3309289.640000000130385,10022463.890000000596046
20120322,3388366.299999999813735,3308223.520000000018626,3314207.600000000093132,10010798.419999999925494
20120323,3391212.850000000093132,3321348.930000000633299,3319672.000000000000000,10032234.780000001192093
20120326,3411138.700000000186265,3358442.480000000447035,3344261.800000000279397,10113843.980000000447035
20120327,3410189.849999999627471,3337327.689999999944121,3338250.959999999962747,10085769.500000000000000
20120328,3447194.999999999534339,3353877.120000000577420,3343715.359999999869615,10144788.480000000447035
20120329,3502228.299999999348074,3347029.080000000074506,3323497.080000000074506,10172755.459999999031425
20120330,3511716.799999999348074,3378415.930000000633299,3344261.800000000279397,10234395.530000001192093
20120402,3517409.899999999906868,3385834.640000000130385,3353004.839999999850988,10256250.379999998956919
20120403,3499381.750000000000000,3382981.290000000502914,3314207.600000000093132,10196571.640000000596046
20120404,3485148.999999999534339,3379557.270000000018626,3292896.439999999944121,10157603.709999999031425
20120405,3486097.850000000093132,3360154.490000000223517,3315300.479999999981374,10161553.820000000298023
20120409,3457632.349999999627471,3312788.879999999888241,3285792.720000000204891,10056214.949999999254942
20120410,3416831.799999999348074,3295668.780000000260770,3274863.919999999925494,9987365.500000000000000
20120411,3421576.049999999813735,3319636.920000000391155,3267760.199999999720603,10008974.169999999925494
20120412,3426320.299999999813735,3372709.230000000447035,3286339.160000000149012,10085369.690000001341105
20120413,3413036.399999999441206,3316783.570000000298023,3266120.880000000353903,9995941.849999999627471
20120416,3436757.649999999441206,3376133.250000000000000,3310382.520000000018626,10123274.419999999925494
20120417,3508870.249999999534339,3423498.860000000335276,3380873.279999999795109,10313243.389999998733401
20120418,3519307.600000000093132,3393824.020000000018626,3391255.640000000130385,10304388.259999999776483
20120419,3502228.299999999348074,3521083.430000000633299,3374316.000000000000000,10397628.730000000447035
20120420,3517409.899999999906868,3581003.780000000260770,3412566.800000000279397,10510981.480000000447035
20120423,3496535.199999999720603,3590134.500000000000000,3253552.759999999776483,10340223.459999999031425
20120424,3516461.049999999813735,3616385.320000000298023,3156832.880000000353903,10289680.250000000000000
20120425,3555363.899999999441206,3639782.790000000502914,3134428.839999999850988,10329576.529999999329448
20120426,3591420.199999999720603,3696279.120000000111759,3221312.800000000279397,10509013.120000001043081
20120427,3636016.149999999906868,3652908.200000000651926,3225684.319999999832362,10514609.669999999925494
