訓練日期,20160621 - 20160921
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11216646.580000000074506
真實報酬,1216646.580000000074506

夏普值報酬,0.112964658000000
夏普值風險,0.035837368982003
夏普值,3.152147080237107

預期報酬,19033.192095660069754
風險,126036.869942842124146
趨勢值,0.151012890944464
找到最佳解世代,2307
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
AAPL[0](2),INTC[11](3),MRK[17](6),PG[21](1),V[25](10),
Stock#,AAPL[0](2),INTC[11](3),MRK[17](6),PG[21](1),V[25](10),
張數,21030,62169,35625,24084,25859,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,47.000000000232831,23.269999999785796,12.500000000000000,64.639999999897555,64.939999999944121,
20160621,2017034.300000000046566,2009325.349999999860302,2003918.750000000000000,2008911.079999999841675,1999741.409999999916181,10038930.890000000596046
20160622,2009463.500000000232831,2007460.279999999795109,2032062.500000000000000,2012764.519999999785796,1979054.209999999962747,10040805.009999999776483
20160623,2021030.000000000000000,2050978.579999999841675,2054862.500000000000000,2028178.279999999795109,2023014.510000000009313,10178063.869999999180436
20160624,1964249.000000000465661,1961455.219999999739230,1990737.500000000000000,1981214.479999999981374,1940782.889999999897555,9838439.090000001713634
20160627,1935648.200000000419095,1909854.949999999720603,1970431.250000000000000,1956407.959999999962747,1896564.000000000000000,9668906.359999999403954
20160628,1968244.700000000419095,1939074.379999999888241,1980050.000000000000000,1986031.279999999795109,1943627.379999999888241,9817027.739999998360872
20160629,1985279.000000000465661,1985079.439999999711290,2032418.750000000000000,2020953.079999999841675,1984484.599999999860302,10008214.870000001043081
20160630,2010515.000000000000000,2039166.469999999506399,2052368.750000000000000,2039256.919999999925494,1918026.969999999972060,10059334.109999999403954
20160701,2016613.700000000186265,2036058.019999999785796,2064125.000000000000000,2041906.159999999916181,1926043.260000000009313,10084746.140000000596046
20160705,1997686.700000000186265,2031706.189999999711290,2066262.500000000000000,2057801.599999999860302,1930956.469999999972060,10084413.459999999031425
20160706,2009042.900000000372529,2049735.199999999720603,2107587.500000000000000,2047927.159999999916181,1915182.479999999981374,10129475.240000000223517
20160707,2017665.200000000186265,2064034.070000000065193,2094050.000000000000000,2043110.359999999869615,1915182.479999999981374,10134042.110000001266599
20160708,2033227.400000000372529,2113769.269999999552965,2114356.250000000000000,2065749.319999999832362,1976209.719999999972060,10303311.960000000894070
20160711,2039536.400000000372529,2137393.490000000223517,2114000.000000000000000,2065267.639999999897555,1978795.619999999878928,10334993.150000000372529
20160712,2048789.600000000325963,2172208.129999999888241,2123262.500000000000000,2065267.639999999897555,2003620.260000000009313,10413148.130000000819564
20160713,2037223.100000000325963,2176559.959999999962747,2121481.250000000000000,2068639.399999999906868,2003103.079999999841675,10407006.790000000968575
20160714,2077600.700000000419095,2188372.070000000298023,2125043.750000000000000,2068157.719999999972060,2020687.199999999953434,10479861.439999999478459
20160715,2077390.400000000372529,2180290.099999999627471,2124331.250000000000000,2071529.479999999981374,2024824.639999999897555,10478365.870000001043081
20160718,2099471.900000000372529,2179046.719999999739230,2102600.000000000000000,2069602.760000000009313,2025083.229999999981374,10475804.610000001266599
20160719,2100313.100000000558794,2185263.620000000111759,2089774.999999999767169,2075382.919999999925494,2035685.419999999925494,10486420.060000000521541
20160720,2102205.799999999813735,2218834.879999999888241,2094406.250000000000000,2054911.519999999785796,2052235.179999999934807,10522593.629999998956919
20160721,2091059.900000000372529,2130554.900000000372529,2094406.250000000000000,2053466.479999999981374,2037495.550000000046566,10406983.080000001937151
20160722,2074866.800000000046566,2154800.809999999590218,2095475.000000000000000,2064545.119999999878928,2066457.629999999888241,10456145.359999999403954
20160725,2047107.200000000419095,2156665.879999999888241,2086212.500000000000000,2066471.839999999850988,2041374.399999999906868,10397831.820000000298023
20160726,2033017.100000000325963,2181533.480000000447035,2079087.500000000000000,2053707.319999999832362,2029737.849999999860302,10377083.250000000000000
20160727,2165085.500000000000000,2165369.540000000037253,2087637.500000000000000,2034199.279999999795109,2030772.209999999962747,10483064.030000001192093
20160728,2194317.200000000186265,2161639.400000000372529,2081581.250000000000000,2042628.679999999934807,2047839.149999999906868,10528005.680000001564622
20160729,2191583.299999999813735,2167234.609999999403954,2089774.999999999767169,2061414.199999999953434,2018359.889999999897555,10528367.000000000000000
20160801,2230278.500000000000000,2166612.919999999925494,2089774.999999999767169,2081163.079999999841675,2023790.280000000027940,10591619.779999999329448
20160802,2197261.400000000372529,2148583.910000000149012,2078018.750000000000000,2089592.479999999981374,2024307.459999999962747,10537764.000000000000000
20160803,2224810.700000000186265,2129311.519999999552965,2053793.750000000000000,2070566.119999999878928,2035426.829999999841675,10513908.919999999925494
20160804,2226493.100000000558794,2149827.290000000037253,2060562.500000000232831,2072492.839999999850988,2055338.260000000009313,10564713.990000000223517
20160805,2260351.400000000372529,2174694.889999999664724,2275025.000000000000000,2065990.159999999916181,2072405.199999999953434,10848466.649999998509884
20160808,2279068.100000000558794,2178425.029999999329448,2239400.000000000000000,2065508.479999999981374,2067491.989999999990687,10829893.599999999627471
20160809,2288321.300000000745058,2170964.750000000000000,2226218.750000000000000,2071047.799999999813735,2070336.479999999981374,10826889.080000001937151
20160810,2271287.000000000000000,2146718.839999999850988,2231562.500000000000000,2078754.679999999934807,2060510.060000000055879,10788833.080000000074506
20160811,2269814.900000000372529,2156044.189999999478459,2266831.250000000000000,2088869.959999999962747,2071888.020000000018626,10853448.320000000298023
20160812,2275072.400000000372529,2149205.599999999627471,2256856.250000000000000,2096336.000000000000000,2069302.119999999878928,10846772.369999999180436
20160815,2302411.400000000372529,2170343.059999999590218,2255787.500000000000000,2095854.319999999832362,2092316.629999999888241,10916712.910000000149012
20160816,2300308.400000000372529,2188993.759999999776483,2245812.500000000000000,2085257.359999999869615,2089730.729999999981374,10910102.750000000000000
20160817,2296943.600000000558794,2177181.650000000372529,2254718.750000000000000,2094409.279999999795109,2090506.500000000000000,10913759.780000001192093
20160818,2293999.400000000372529,2174073.199999999254942,2266831.250000000000000,2105969.599999999627471,2075766.869999999878928,10916640.319999998435378
20160819,2299887.799999999813735,2190858.830000000074506,2257212.500000000000000,2102838.679999999701977,2080938.669999999925494,10931736.479999998584390
20160822,2282012.300000000745058,2198319.109999999403954,2263981.250000000000000,2091760.039999999804422,2096195.479999999981374,10932268.179999999701977
20160823,2289162.500000000000000,2200805.870000000111759,2265050.000000000000000,2105006.240000000223517,2089472.139999999897555,10949496.750000000000000
20160824,2271917.900000000372529,2185263.620000000111759,2234768.750000000000000,2102838.679999999701977,2076284.050000000046566,10871073.000000000000000
20160825,2262244.099999999627471,2181533.480000000447035,2220162.500000000000000,2117048.240000000223517,2077059.819999999832362,10858048.140000000596046
20160826,2248995.200000000186265,2192102.209999999962747,2239043.750000000000000,2109341.359999999403954,2083524.569999999832362,10873007.089999999850988
20160829,2246471.599999999627471,2210131.219999999739230,2244743.750000000000000,2126681.839999999850988,2091282.270000000018626,10919310.679999999701977
20160830,2229227.000000000000000,2219456.570000000298023,2234056.250000000000000,2108378.000000000000000,2099039.970000000204891,10890157.790000000968575
20160831,2231330.000000000000000,2231268.679999999701977,2236906.250000000000000,2102838.679999999701977,2092058.040000000037253,10894401.649999998509884
20160901,2244578.900000000372529,2239350.650000000372529,2240825.000000000000000,2126922.679999999701977,2102401.639999999664724,10954078.870000001043081
20160902,2265608.900000000372529,2243080.790000000037253,2243675.000000000000000,2124273.440000000409782,2120502.939999999944121,10997141.070000000298023
20160906,2264978.000000000000000,2273543.599999999627471,2252937.500000000000000,2134870.400000000372529,2134208.209999999962747,11060537.710000000894070
20160907,2278857.799999999813735,2266705.009999999776483,2239756.250000000000000,2118252.440000000409782,2152568.099999999627471,11056139.599999999627471
20160908,2219132.600000000558794,2265461.629999999888241,2252937.500000000000000,2114158.160000000149012,2145586.169999999925494,10997276.060000000521541
20160909,2168870.900000000372529,2203292.629999999888241,2226218.750000000000000,2077068.799999999813735,2103177.409999999683350,10778628.490000000223517
20160912,2217450.200000000186265,2243080.790000000037253,2251156.250000000000000,2125477.639999999664724,2145586.169999999925494,10982751.049999998882413
20160913,2270235.500000000000000,2213861.359999999403954,2201993.750000000000000,2096576.839999999850988,2117658.450000000186265,10900325.899999998509884
20160914,2350570.100000000558794,2214483.049999999813735,2185606.250000000000000,2095613.479999999981374,2107314.849999999627471,10953587.730000000447035
20160915,2430484.099999999627471,2272921.910000000149012,2222300.000000000000000,2120901.679999999701977,2120761.530000000260770,11167369.219999998807907
20160916,2416814.600000000558794,2341929.500000000000000,2218737.500000000000000,2120660.839999999850988,2122313.069999999832362,11220455.510000001639128
20160919,2388634.400000000372529,2310223.309999999590218,2184893.750000000000000,2128367.719999999739230,2133691.030000000260770,11145810.210000000894070
20160920,2388424.099999999627471,2308979.929999999701977,2206625.000000000000000,2133425.359999999403954,2132915.260000000242144,11170369.649999998509884
20160921,2388003.500000000000000,2328252.320000000298023,2233700.000000000000000,2114639.839999999850988,2152050.919999999925494,11216646.580000000074506
