訓練日期,20131227 - 20140401
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11005176.509999999776483
真實報酬,1005176.509999999776483

夏普值報酬,0.091817651000000
夏普值風險,0.030761751401818
夏普值,2.984799200821010

預期報酬,14465.204978914220192
風險,131529.248690585838631
趨勢值,0.109977097283834
找到最佳解世代,1724
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
CSCO[4](10),DD[7](5),MRK[17](1),
Stock#,CSCO[4](10),DD[7](5),MRK[17](1),
張數,152905,52181,67042,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,4.000000000000000,10.719999999739230,4.760000000242144,
20131227,3366972.100000000093132,3314026.029999999795109,3338025.940000000409782,10019025.070000000298023
20131230,3402140.250000000000000,3314026.029999999795109,3348082.240000000223517,10064249.519999999552965
20131231,3429663.149999999906868,3299415.349999999627471,3355456.859999999869615,10084536.359999999403954
20140102,3363914.000000000000000,3259757.789999999571592,3317913.340000000316650,9941586.129999998956919
20140103,3360855.899999999906868,3245147.109999999403954,3334003.419999999925494,9940007.429999999701977
20140106,3365443.050000000279397,3239407.199999999720603,3334673.840000000316650,9939525.089999999850988
20140107,3411314.549999999813735,3203402.309999999590218,3359479.380000000353903,9974197.240000000223517
20140108,3408256.449999999720603,3207054.979999999981374,3338025.940000000409782,9953338.370000001043081
20140109,3377675.450000000186265,3165831.989999999757856,3319924.600000000558794,9863433.039999999105930
20140110,3397553.099999999627471,3173659.139999999664724,3344059.720000000204891,9915272.959999999031425
20140113,3392965.950000000186265,3113129.179999999701977,3561275.800000000279397,10067371.929999999701977
20140114,3426605.049999999813735,3169484.659999999683350,3553230.760000000242144,10149321.469999998807907
20140115,3483179.900000000372529,3199227.830000000074506,3521050.600000000558794,10203459.330000001937151
20140116,3483179.900000000372529,3201836.879999999888241,3519709.760000000242144,10204727.540000000968575
20140117,3477063.699999999720603,3200793.259999999776483,3482836.660000000614673,10160694.619999999180436
20140121,3490825.149999999906868,3413169.929999999701977,3474791.620000000111759,10378787.699999999254942
20140122,3492354.200000000186265,3394384.769999999552965,3442611.460000000428408,10329351.429999999701977
20140123,3449540.799999999813735,3323418.609999999403954,3459371.960000000428408,10232332.369999999180436
20140124,3394495.000000000000000,3225840.139999999664724,3484847.919999999925494,10105184.059999998658895
20140127,3363914.000000000000000,3202880.500000000000000,3521721.020000000484288,10088516.519999999552965
20140128,3325687.750000000000000,3199749.639999999664724,3544515.300000000279397,10069953.689999999478459
20140129,3310397.250000000000000,3323940.419999999925494,3500267.580000000074506,10134606.250000000000000
20140130,3360855.899999999906868,3367250.649999999906868,3587422.180000000167638,10315529.730000000447035
20140131,3350152.549999999813735,3381861.330000000074506,3551219.500000000000000,10283234.379999998956919
20140203,3295106.750000000000000,3320809.559999999590218,3491552.120000000111759,10107469.429999999701977
20140204,3333333.000000000000000,3341160.149999999906868,3587422.180000000167638,10261916.330000000074506
20140205,3360855.899999999906868,3332811.189999999478459,3588763.020000000484288,10282431.109999999403954
20140206,3438837.449999999720603,3387601.239999999757856,3604853.100000000558794,10431292.789999999105930
20140207,3466360.350000000093132,3388644.859999999403954,3671895.100000000558794,10526901.309999998658895
20140210,3490825.149999999906868,3406386.399999999906868,3679940.140000000130385,10577152.689999999478459
20140211,3472476.550000000279397,3480483.419999999925494,3734244.160000000614673,10687205.130000000819564
20140212,3493883.250000000000000,3446043.959999999962747,3687314.760000000242144,10627242.970000000670552
20140213,3405198.350000000093132,3440825.859999999403954,3694018.960000000428408,10540044.169999999925494
20140214,3449540.799999999813735,3471090.839999999385327,3716813.240000000223517,10637445.879999998956919
20140218,3426605.049999999813735,3476308.939999999944121,3733573.740000000223517,10636488.730000000447035
20140219,3406727.400000000372529,3450740.249999999534339,3689996.440000000409782,10547465.089999999850988
20140220,3409785.500000000000000,3502921.249999999534339,3741618.780000000260770,10654326.530000001192093
20140221,3383791.649999999906868,3489875.999999999534339,3756368.020000000484288,10630036.669999999925494
20140224,3382262.600000000093132,3488832.379999999888241,3766424.320000000298023,10637520.300000000745058
20140225,3339449.200000000186265,3509182.969999999739230,3748322.979999999981374,10596956.150000000372529
20140226,3353210.649999999906868,3554058.629999999888241,3772458.100000000558794,10679728.379999998956919
20140227,3351681.600000000093132,3604674.199999999720603,3798604.479999999981374,10754961.279999999329448
20140228,3333333.000000000000000,3619806.689999999944121,3820728.340000000316650,10773869.029999999329448
20140303,3298164.850000000093132,3599456.100000000093132,3782514.400000000372529,10680136.350000001490116
20140304,3336391.100000000093132,3675640.359999999403954,3825421.280000000260770,10837453.739999998360872
20140305,3344036.350000000093132,3709036.199999999720603,3813353.720000000204891,10866427.269999999552965
20140306,3336391.100000000093132,3699121.809999999590218,3838829.680000000167638,10874343.589999999850988
20140307,3322629.649999999906868,3679293.029999999795109,3852908.500000000000000,10854832.179999999701977
20140310,3316513.450000000186265,3702774.479999999515712,3842852.200000000186265,10862141.129999998956919
20140311,3304281.049999999813735,3660507.870000000111759,3800615.740000000223517,10765405.660000000149012
