訓練日期,20120620 - 20120920
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11259890.169999999925494
真實報酬,1259890.169999999925494

夏普值報酬,0.117289017000000
夏普值風險,0.033682952153707
夏普值,3.482147778044173

預期報酬,18199.522914322315046
風險,77158.720971738861408
趨勢值,0.235871236395796
找到最佳解世代,1725
找到最佳解實驗#,1
找到最佳解次數,29

stock[index](rank)
投資組合檔數,5
AAPL[0](4),HD[9](15),MRK[17](10),PFE[20](3),WMT[28](9),
Stock#,AAPL[0](4),HD[9](15),MRK[17](10),PFE[20](3),WMT[28](9),
張數,23832,37757,50981,88066,29494,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,18.560000000055879,11.709999999962747,15.370000000111759,21.139999999897555,11.859999999869615,
20120620,1994280.320000000298023,1994714.019999999785796,1998980.380000000121072,1996477.360000000102445,2020940.739999999757856,10005392.820000000298023
20120621,1966635.199999999953434,1935435.529999999795109,2011215.820000000298023,1990312.739999999990687,1996755.659999999916181,9900354.949999999254942
20120622,1981887.679999999934807,1964130.850000000093132,2048431.950000000186265,2001761.319999999832362,1984958.059999999823049,9981169.860000001266599
20120625,1943279.840000000316650,1945252.350000000093132,2028039.550000000279397,1978864.159999999683350,2010912.780000000027940,9906348.679999999701977
20120626,1947569.600000000093132,1958844.870000000111759,2042824.040000000037253,1976222.179999999934807,2022710.379999999888241,9948171.070000000298023
20120627,1955910.799999999813735,1946385.059999999823049,2066275.300000000279397,1991193.399999999906868,2023005.320000000065193,9982769.880000000819564
20120628,1937321.840000000316650,1951671.039999999804422,2073922.450000000186265,1984148.120000000111759,2014452.059999999823049,9961515.509999999776483
20120629,1988322.320000000298023,2000755.140000000130385,2128472.120000000111759,2025539.139999999897555,2056333.539999999804422,10199422.259999999776483
