訓練日期,20180608 - 20180910
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10972889.970000000670552
真實報酬,972889.970000000670552

夏普值報酬,0.088588997000000
夏普值風險,0.029551569940838
夏普值,2.997776333959738

預期報酬,15368.705266428236428
風險,73367.011242984139244
趨勢值,0.209477052507000
找到最佳解世代,2054
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
DIS[6](5),HD[9](16),PG[21](1),VZ[26](2),WMT[28](8),
Stock#,DIS[6](5),HD[9](16),PG[21](1),VZ[26](2),WMT[28](8),
張數,19517,10195,26399,40807,23543,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,93.010000000009313,46.850000000093132,11.759999999776483,48.930000000167638,22.149999999906868,
20180608,2029470.670000000158325,2022021.200000000186265,2037486.579999999841675,2006937.190000000176951,1986109.629999999888241,10082025.269999999552965
20180611,2036691.959999999962747,2035376.649999999906868,2046726.229999999748543,2011834.030000000027940,1984697.049999999813735,10115325.919999999925494
20180612,2036301.619999999878928,2052402.300000000046566,2039070.519999999552965,1991838.600000000325963,1979988.449999999720603,10099601.490000000223517
20180613,2074945.280000000027940,2042207.300000000046566,2018743.289999999804422,1934300.730000000214204,1979753.020000000018626,10049949.620000001043081
20180614,2122566.759999999776483,2035682.500000000000000,2006071.769999999552965,1951439.670000000158325,1972690.120000000111759,10088450.820000000298023
20180615,2124518.459999999962747,2044552.149999999906868,2042766.379999999655411,1961233.350000000325963,1970571.250000000000000,10143641.589999999850988
20180618,2089583.030000000027940,2046081.400000000139698,2002111.919999999925494,1936749.150000000139698,1954091.149999999906868,10028616.650000000372529
20180619,2070846.709999999962747,2030992.800000000279397,2015047.429999999701977,1979188.430000000167638,1968452.379999999888241,10064527.750000000000000
20180620,2091339.560000000055879,2029667.450000000186265,2002375.909999999683350,1962457.560000000288710,1968452.379999999888241,10054292.859999999403954
20180621,2066748.140000000130385,2042207.300000000046566,2017951.319999999832362,1984493.340000000316650,1982578.179999999701977,10093978.279999999329448
20180622,2075530.790000000037253,2012641.800000000046566,2044086.329999999841675,2030605.250000000000000,1996939.409999999683350,10159803.580000000074506
20180625,2038643.660000000149012,2002140.949999999953434,2053589.969999999972060,2024076.130000000121072,2035785.359999999869615,10154236.070000000298023
20180626,2034935.430000000167638,2001937.050000000279397,2059133.759999999776483,2011834.030000000027940,2024249.290000000037253,10132089.560000000521541
20180627,2029080.329999999841675,1988275.750000000232831,2050950.069999999832362,2012242.100000000325963,2045673.419999999925494,10126221.670000001788139
20180628,2044889.099999999860302,1990212.800000000279397,2060453.709999999729916,2075492.950000000186265,2021424.129999999888241,10192472.690000001341105
20180629,2045669.780000000027940,1989091.350000000093132,2060717.699999999720603,2053049.100000000325963,2016480.100000000093132,10165008.030000001192093
20180702,2055818.619999999878928,1978080.750000000232831,2062565.629999999655411,2057537.870000000344589,1977634.149999999906868,10131637.019999999552965
20180703,2030641.690000000176951,1974002.750000000232831,2056493.859999999869615,2068963.830000000307336,1987993.069999999832362,10118095.200000001117587
20180705,2056013.790000000037253,1982056.800000000046566,2091076.549999999580905,2092631.890000000130385,1991053.659999999683350,10212832.689999999478459
20180706,2045084.270000000018626,1982770.449999999953434,2093716.449999999720603,2100793.290000000037253,1989641.080000000074506,10212005.539999999105930
20180709,2069285.349999999860302,1999082.450000000186265,2055437.899999999674037,2070596.110000000335276,2023072.140000000130385,10217473.949999999254942
20180710,2069480.520000000018626,2014680.800000000279397,2107179.939999999478459,2095080.310000000288710,2053207.179999999701977,10339628.750000000000000
20180711,2108709.690000000409782,2007952.100000000093132,2089756.599999999627471,2095080.310000000288710,2037197.939999999944121,10338696.640000000596046
20180712,2112808.259999999776483,2018147.100000000093132,2082628.869999999878928,2090999.610000000335276,2036962.509999999776483,10341546.349999999627471
20180713,2146963.009999999776483,2025691.400000000139698,2093716.449999999720603,2097936.799999999813735,2064743.250000000000000,10429050.910000000149012
20180716,2150866.410000000149012,2027628.449999999953434,2099524.229999999981374,2105282.060000000521541,2063330.669999999925494,10446631.820000000298023
20180717,2152818.110000000335276,2050261.350000000093132,2112723.729999999981374,2098752.939999999944121,2076279.319999999832362,10490835.450000001117587
20180718,2160429.740000000223517,2048936.000000000000000,2104540.039999999571592,2086918.910000000149012,2073454.159999999683350,10474278.849999999627471
20180719,2188534.219999999739230,2065859.699999999953434,2078405.029999999795109,2071004.180000000167638,2065214.109999999869615,10469017.239999998360872
20180720,2175848.169999999925494,2064024.600000000093132,2077085.079999999841675,2065699.270000000018626,2073218.729999999981374,10455875.849999999627471
20180723,2168236.540000000037253,2061781.699999999953434,2072597.250000000000000,2071004.180000000167638,2063095.239999999757856,10436714.910000000149012
20180724,2160624.910000000149012,2059334.900000000139698,2085268.769999999552965,2102017.500000000000000,2070864.429999999701977,10478110.509999999776483
20180725,2169993.070000000298023,2049241.850000000093132,2097940.289999999571592,2077533.300000000046566,2069451.850000000093132,10464160.359999999403954
20180726,2215467.679999999701977,2032929.850000000093132,2114307.669999999925494,2088551.190000000176951,2077221.040000000037253,10528477.429999999701977
20180727,2198097.549999999813735,2009889.149999999906868,2127243.179999999701977,2122421.000000000000000,2074866.739999999757856,10532517.619999999180436
20180730,2198292.719999999739230,2011316.450000000186265,2117211.560000000055879,2142008.360000000335276,2092523.989999999757856,10561353.080000000074506
20180731,2216443.530000000260770,2013763.250000000232831,2135162.879999999888241,2107322.410000000149012,2100764.040000000037253,10573456.109999999403954
20180801,2204928.500000000000000,2001325.350000000093132,2129091.109999999869615,2110995.040000000037253,2077456.469999999739230,10523796.469999998807907
20180802,2200634.759999999776483,1994800.550000000046566,2164729.759999999776483,2121196.790000000037253,2089698.830000000074506,10571060.689999999478459
20180803,2226787.540000000037253,1994596.649999999906868,2173441.429999999701977,2133030.820000000298023,2109474.949999999720603,10637331.389999998733401
20180806,2262893.990000000223517,1995106.400000000139698,2178457.239999999757856,2141600.290000000037253,2111122.959999999962747,10689180.880000002682209
20180807,2274994.530000000260770,2008971.600000000093132,2181625.119999999646097,2140784.150000000372529,2113477.259999999776483,10719852.660000000149012
20180808,2224640.669999999925494,2018860.750000000232831,2173969.409999999683350,2150577.830000000074506,2120069.299999999813735,10688117.960000000894070
20180809,2228153.729999999515712,2019472.450000000186265,2148890.359999999869615,2163228.000000000000000,2095584.580000000074506,10655329.119999999180436
20180810,2199268.570000000298023,2001325.350000000093132,2149682.330000000074506,2141192.220000000204891,2123129.890000000130385,10614598.360000001266599
20180813,2188339.049999999813735,1979304.149999999906868,2152058.239999999757856,2130990.470000000204891,2110416.669999999925494,10561108.580000000074506
20180814,2200634.759999999776483,1968701.350000000093132,2146514.449999999720603,2157515.020000000018626,2138903.699999999720603,10612269.279999999329448
20180815,2202586.459999999962747,1977774.900000000139698,2172649.459999999497086,2172613.610000000335276,2124071.609999999869615,10649696.039999999105930
20180816,2195365.169999999925494,1992047.899999999906868,2209344.069999999832362,2214644.820000000298023,2322303.669999999925494,10933705.630000000819564
20180817,2195365.169999999925494,1993781.050000000046566,2209344.069999999832362,2235864.459999999962747,2303704.699999999720603,10938059.449999999254942
20180820,2185801.839999999850988,2017943.200000000186265,2208024.119999999646097,2230151.479999999981374,2260150.149999999906868,10902070.790000000968575
20180821,2193608.639999999664724,2041391.699999999953434,2214887.859999999869615,2240761.299999999813735,2262033.589999999850988,10952683.089999999850988
20180822,2184825.990000000223517,2028546.000000000000000,2201424.369999999646097,2209339.910000000149012,2252380.959999999962747,10876517.230000000447035
20180823,2185997.009999999776483,2040678.050000000046566,2197464.519999999552965,2215052.890000000130385,2240844.890000000130385,10880037.359999999403954
20180824,2184630.820000000298023,2052300.350000000093132,2200632.399999999906868,2235456.390000000130385,2235430.000000000000000,10908449.960000000894070
20180827,2192437.620000000111759,2059232.949999999953434,2202744.319999999832362,2238312.880000000353903,2225777.370000000111759,10918505.140000000596046
20180828,2197316.870000000111759,2059131.000000000000000,2203800.279999999795109,2230151.479999999981374,2261798.159999999683350,10952197.790000000968575
20180829,2194779.660000000149012,2056174.450000000186265,2204064.269999999552965,2226886.920000000391155,2251674.669999999925494,10933579.970000000670552
20180830,2184435.650000000372529,2031502.550000000046566,2201952.349999999627471,2234232.180000000167638,2262504.449999999720603,10914627.179999999701977
20180831,2186387.349999999627471,2046897.000000000232831,2189808.810000000055879,2218725.520000000018626,2256854.129999999888241,10898672.809999998658895
20180904,2163552.459999999962747,2090837.450000000186265,2183209.060000000055879,2170573.260000000242144,2245082.629999999888241,10853254.859999999403954
20180905,2144425.799999999813735,2081356.100000000093132,2198784.469999999739230,2196281.670000000391155,2274746.810000000055879,10895594.850000001490116
