訓練日期,20111214 - 20120319
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12646689.580000000074506
真實報酬,2646689.580000000074506

夏普值報酬,0.255968958000000
夏普值風險,0.066436784415129
夏普值,3.852819793332915

預期報酬,39646.368213420144457
風險,85979.427071634752792
趨勢值,0.461114589428333
找到最佳解世代,3590
找到最佳解實驗#,8
找到最佳解次數,9

stock[index](rank)
投資組合檔數,4
AAPL[0](6),MRK[17](19),MSFT[18](2),NKE[19](1),
Stock#,AAPL[0](6),MRK[17](19),MSFT[18](2),NKE[19](1),
張數,45012,71448,97049,105218,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,33.520000000018626,34.479999999981374,17.759999999776483,20.319999999832362,
20111214,2444635.240000000223517,2540725.360000000335276,2483501.669999999925494,2483165.120000000111759,9952027.390000000596046
20111215,2436533.080000000074506,2597883.759999999776483,2480590.199999999720603,2474747.679999999701977,9989754.719999998807907
20111216,2450036.680000000167638,2590024.479999999981374,2523291.759999999776483,2464225.879999999888241,10027578.800000000745058
20111219,2457688.720000000204891,2605743.040000000037253,2477678.729999999981374,2456860.620000000111759,9997971.109999999403954
20111220,2545912.240000000223517,2648611.839999999850988,2526203.229999999981374,2463173.699999999720603,10183901.009999999776483
20111221,2549513.200000000186265,2667188.319999999832362,2500000.000000000000000,2534721.939999999944121,10251423.459999999031425
20111222,2563016.799999999813735,2683621.360000000335276,2504852.449999999720603,2494739.100000000093132,10246229.709999999031425
20111223,2593624.959999999962747,2707913.679999999701977,2526203.229999999981374,2549452.459999999962747,10377194.329999998211861
20111227,2614330.479999999981374,2697196.479999999981374,2527173.719999999739230,2571548.239999999757856,10410248.919999999925494
20111228,2589123.760000000242144,2674333.120000000111759,2505822.939999999944121,2536826.299999999813735,10306106.120000001043081
20111229,2604877.959999999962747,2695767.519999999552965,2525232.739999999757856,2564182.979999999981374,10390061.199999999254942
20111230,2604427.839999999850988,2693624.080000000074506,2519409.799999999813735,2534721.939999999944121,10352183.660000000149012
20120103,2644488.520000000018626,2736492.879999999888241,2598019.489999999757856,2546295.919999999925494,10525296.810000000521541
20120104,2658442.240000000223517,2739350.800000000279397,2659160.359999999869615,2584174.399999999906868,10641127.800000000745058
20120105,2688150.160000000149012,2767930.000000000000000,2686334.079999999608845,2582070.039999999571592,10724484.279999999329448
20120106,2716057.600000000093132,2748639.040000000037253,2728065.149999999906868,2577861.319999999832362,10770623.110000001266599
20120109,2712006.520000000018626,2742923.200000000186265,2692157.019999999552965,2587330.939999999944121,10734417.679999999701977
20120110,2721459.040000000037253,2752211.440000000409782,2701861.919999999925494,2590487.479999999981374,10766019.880000000819564
20120111,2716957.839999999850988,2744352.159999999683350,2690216.039999999571592,2582070.039999999571592,10733596.079999998211861
20120112,2709755.919999999925494,2758641.759999999776483,2717389.759999999776483,2607322.359999999869615,10793109.799999998882413
20120113,2699403.160000000149012,2737921.839999999850988,2741652.009999999776483,2586278.759999999776483,10765255.769999999552965
20120117,2730911.560000000055879,2773645.839999999850988,2742622.500000000000000,2610478.899999999906868,10857658.800000000745058
20120118,2759269.120000000111759,2777218.239999999757856,2739711.029999999795109,2653618.279999999795109,10929816.669999998062849
20120119,2750716.839999999850988,2805082.959999999962747,2729035.639999999664724,2672557.519999999552965,10957392.959999999031425
20120120,2702554.000000000000000,2800796.080000000074506,2883343.549999999813735,2676766.239999999757856,11063459.869999999180436
20120123,2748466.240000000223517,2770073.440000000409782,2885284.529999999795109,2671505.339999999850988,11075329.550000000745058
20120124,2703454.240000000223517,2770787.919999999925494,2847435.419999999925494,2688340.219999999739230,11010017.800000000745058
20120125,2872249.240000000223517,2763643.120000000111759,2868786.199999999720603,2714644.719999999739230,11219323.280000001192093
20120126,2859195.760000000242144,2770787.919999999925494,2862963.259999999776483,2691496.759999999776483,11184443.699999999254942
20120127,2876300.319999999832362,2752211.440000000409782,2836760.029999999795109,2686235.859999999869615,11151507.649999998509884
20120130,2913210.160000000149012,2778647.200000000186265,2873638.649999999906868,2719905.620000000111759,11285401.629999998956919
20120131,2935266.039999999571592,2734349.440000000409782,2865874.729999999981374,2735688.319999999832362,11271178.530000001192093
20120201,2933465.560000000055879,2760070.720000000204891,2900812.369999999646097,2729375.239999999757856,11323723.890000000596046
20120202,2926713.759999999776483,2746495.599999999627471,2906635.309999999590218,2705175.100000000093132,11285019.769999997690320
20120203,2955971.560000000055879,2741494.239999999757856,2934779.519999999552965,2723062.159999999683350,11355307.480000000447035
20120206,2983428.879999999888241,2743637.679999999701977,2930897.559999999590218,2722009.979999999981374,11379974.099999999627471
20120207,3014937.280000000260770,2760070.720000000204891,2945454.909999999683350,2742001.399999999906868,11462464.310000000521541
20120208,3065350.719999999739230,2745066.640000000130385,2975540.099999999627471,2786192.959999999962747,11572150.419999998062849
20120209,3171128.919999999925494,2725775.679999999701977,2986215.489999999757856,2781984.239999999757856,11665104.330000000074506
20120210,3172929.399999999906868,2708628.159999999683350,2960012.259999999776483,2772514.620000000111759,11614084.440000001341105
20120213,3231895.120000000111759,2722917.759999999776483,2967776.179999999701977,2768305.899999999906868,11690894.959999999031425
