訓練日期,20121002 - 20130107
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11210920.519999999552965
真實報酬,1210920.519999999552965

夏普值報酬,0.112392052000000
夏普值風險,0.031850746930089
夏普值,3.528710087920210

預期報酬,16310.475878076098525
風險,129576.852464650597540
趨勢值,0.125874919538779
找到最佳解世代,2336
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
BA[2](2),V[25](1),
Stock#,BA[2](2),V[25](1),
張數,71418,146284,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,25.819999999366701,12.879999999888241,
20121002,4965719.359999999403954,4973668.879999999888241,9939388.239999998360872
20121003,4989287.299999998882413,5065827.799999999813735,10055115.099999997764826
20121004,4995000.739999999292195,5108250.160000000149012,10103250.899999998509884
20121005,5062847.839999999850988,5130192.759999999776483,10193040.599999999627471
20121008,5039994.079999999143183,5073142.000000000000000,10113136.079999998211861
20121009,5044993.339999999850988,5001462.839999999850988,10046456.179999999701977
20121010,5023567.939999999478459,5024868.280000000260770,10048436.219999998807907
20121011,5058562.759999998845160,5084844.719999999739230,10143407.479999998584390
20121012,5131409.119999999180436,5087770.400000000372529,10219179.519999999552965
20121015,5159976.319999999366701,5115564.359999999403954,10275540.679999999701977
20121016,5247820.459999999962747,5162375.240000000223517,10410195.699999999254942
20121017,5258533.159999999217689,5213574.639999999664724,10472107.799999998882413
20121018,5303526.500000000000000,5188706.359999999403954,10492232.859999999403954
20121019,5285672.000000000000000,5118490.040000000037253,10404162.039999999105930
20121022,5263532.419999999925494,5083381.879999999888241,10346914.300000000745058
20121023,5200684.579999999143183,4997074.319999999366701,10197758.899999998509884
20121024,5192828.599999998696148,4991222.959999999962747,10184051.559999998658895
20121025,5109269.540000000037253,5030719.639999999664724,10139989.179999999701977
20121026,5078559.799999998882413,5058513.599999999627471,10137073.399999998509884
20121031,5030709.739999999292195,5074604.839999999850988,10105314.579999998211861
20121101,5055706.040000000037253,5261848.359999999403954,10317554.399999998509884
20121102,5002856.719999998807907,5244294.280000000260770,10247151.000000000000000
20121105,5028567.199999999254942,5175540.799999999813735,10204108.000000000000000
20121106,5143550.179999998770654,5261848.359999999403954,10405398.539999999105930
20121107,5007141.799999998882413,5213574.639999999664724,10220716.439999997615814
20121108,5069275.459999999962747,5196020.560000000521541,10265296.019999999552965
20121109,5231394.319999999366701,5226740.199999999254942,10458134.519999999552965
20121112,5262818.239999999292195,5238442.919999999925494,10501261.160000000149012
20121113,5239250.299999998882413,5209186.120000000111759,10448436.419999998062849
20121114,5091415.040000000037253,5118490.040000000037253,10209905.080000000074506
20121115,5073560.540000000037253,5119952.879999999888241,10193513.419999999925494
20121116,5054277.679999998770654,5219426.000000000000000,10273703.679999999701977
20121119,5139265.099999998696148,5326213.319999999366701,10465478.419999998062849
20121120,5180687.540000000037253,5352544.440000000409782,10533231.980000000447035
20121121,5224252.519999999552965,5364247.160000000149012,10588499.679999999701977
20121123,5266389.139999998733401,5416909.400000000372529,10683298.539999999105930
20121126,5304240.679999998770654,5384726.919999999925494,10688967.599999997764826
20121127,5319952.639999998733401,5368635.680000000633299,10688588.320000000298023
20121128,5291385.439999999478459,5386189.759999999776483,10677575.199999999254942
20121129,5293527.979999999515712,5419835.079999999143183,10713363.059999998658895
20121130,5304954.859999999403954,5475423.000000000000000,10780377.859999999403954
20121203,5286386.179999998770654,5435926.319999999366701,10722312.499999998137355
20121204,5288528.719999998807907,5397892.479999999515712,10686421.199999999254942
20121205,5275673.479999999515712,5415446.560000000521541,10691120.039999999105930
20121206,5283529.459999999962747,5430074.959999999962747,10713604.419999999925494
20121207,5330665.339999999850988,5433000.639999999664724,10763665.980000000447035
20121210,5394227.359999999403954,5437389.160000000149012,10831616.519999999552965
20121211,5414938.579999999143183,5446166.199999999254942,10861104.779999997466803
20121212,5389942.279999999329448,5408132.359999999403954,10798074.639999998733401
20121213,5307811.579999999143183,5383264.079999999143183,10691075.659999998286366
20121214,5286386.179999998770654,5370098.519999999552965,10656484.699999999254942
20121217,5331379.519999999552965,5453480.400000000372529,10784859.919999999925494
20121218,5393513.179999998770654,5511994.000000000000000,10905507.179999999701977
20121219,5392799.000000000000000,5454943.240000000223517,10847742.240000000223517
20121220,5442077.419999999925494,5576358.959999999962747,11018436.379999998956919
20121221,5439934.879999999888241,5513456.839999999850988,10953391.719999998807907
20121224,5425651.279999999329448,5529548.079999999143183,10955199.359999999403954
20121226,5429222.179999998770654,5476885.839999999850988,10906108.019999999552965
20121227,5415652.759999998845160,5463720.280000000260770,10879373.039999999105930
20121228,5334236.239999999292195,5435926.319999999366701,10770162.559999998658895
20121231,5382086.299999998882413,5544176.479999999515712,10926262.779999997466803
20130102,5504211.079999999143183,5683146.280000000260770,11187357.359999999403954
20130103,5532778.279999999329448,5687534.799999999813735,11220313.079999998211861
20130104,5548490.239999999292195,5732882.839999999850988,11281373.079999998211861
20130107,5437078.159999999217689,5773842.359999999403954,11210920.519999999552965
