訓練日期,20161121 - 20170224
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11751119.900000000372529
真實報酬,1751119.900000000372529

夏普值報酬,0.166411990000000
夏普值風險,0.043764827771262
夏普值,3.802413912600201

預期報酬,25322.014309293786937
風險,92462.192578085465357
趨勢值,0.273863441945842
找到最佳解世代,1754
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AAPL[0](7),AXP[1](1),BA[2](2),DIS[6](3),
Stock#,AAPL[0](7),AXP[1](1),BA[2](2),DIS[6](3),
張數,22714,35211,17082,25447,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,97.160000000149012,19.000000000000000,49.300000000279397,86.720000000204891,
20161121,2537932.380000000353903,2519013.940000000409782,2511444.940000000409782,2484477.330000000074506,10052868.589999999850988
20161122,2539522.359999999869615,2525351.919999999925494,2554149.940000000409782,2486513.089999999850988,10105537.309999998658895
20161123,2526575.380000000353903,2566196.679999999701977,2557907.980000000447035,2500508.940000000409782,10151188.980000000447035
20161125,2539295.220000000204891,2565492.459999999962747,2563032.580000000074506,2514759.260000000242144,10182579.519999999552965
20161128,2534298.140000000130385,2539788.429999999701977,2558420.440000000409782,2518576.310000000055879,10151083.320000000298023
20161129,2531799.600000000093132,2517253.389999999664724,2590363.780000000260770,2536389.210000000428408,10175805.980000000447035
20161130,2510448.439999999944121,2536619.440000000409782,2571915.220000000204891,2522393.360000000335276,10141376.460000000894070
20161201,2487053.020000000018626,2553872.830000000074506,2603175.280000000260770,2517812.900000000372529,10161914.030000001192093
20161202,2496365.760000000242144,2530281.459999999962747,2600783.800000000279397,2506616.220000000204891,10134047.240000002086163
20161205,2478421.700000000186265,2536267.330000000074506,2599246.420000000391155,2543768.839999999850988,10157704.290000000968575
20161206,2497501.460000000428408,2546126.410000000149012,2600612.980000000447035,2561581.740000000223517,10205822.590000001713634
20161207,2522032.580000000074506,2615844.190000000409782,2633068.780000000260770,2595426.250000000000000,10366371.800000000745058
20161208,2546790.840000000316650,2637675.009999999776483,2654421.280000000260770,2630797.580000000074506,10469684.710000000894070
20161209,2588357.460000000428408,2632745.469999999739230,2673211.480000000447035,2668459.140000000130385,10562773.550000000745058
20161212,2573593.359999999869615,2590844.379999999888241,2684656.420000000391155,2648101.540000000037253,10497195.699999999254942
20161213,2616522.820000000298023,2599999.240000000223517,2676115.420000000391155,2642757.669999999925494,10535395.150000000372529
20161214,2616522.820000000298023,2608097.769999999552965,2638705.840000000316650,2647847.070000000298023,10511173.500000000000000
20161215,2630832.640000000130385,2638731.339999999850988,2626748.440000000409782,2656499.050000000279397,10552811.470000000670552
20161216,2634239.740000000223517,2640844.000000000000000,2639218.300000000279397,2644284.490000000223517,10558586.530000001192093
20161219,2649458.120000000111759,2624999.049999999813735,2667916.060000000521541,2679655.820000000298023,10622029.050000000745058
20161220,2656499.460000000428408,2642956.660000000149012,2671503.280000000260770,2683727.339999999850988,10654686.740000002086163
