訓練日期,20160405 - 20160706
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11319184.300000000745058
真實報酬,1319184.300000000745058

夏普值報酬,0.123218430000000
夏普值風險,0.028517783413682
夏普值,4.320757620344427

預期報酬,18266.019077136606938
風險,125672.498808496369747
趨勢值,0.145346191492308
找到最佳解世代,2039
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
JNJ[12](2),PFE[20](3),UNH[23](5),XOM[29](1),
Stock#,JNJ[12](2),PFE[20](3),UNH[23](5),XOM[29](1),
張數,23022,81380,19306,30062,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,41.020000000018626,6.399999999906868,66.060000000055879,44.080000000074506,
20160405,2508287.919999999925494,2552083.199999999720603,2452700.300000000279397,2471441.100000000093132,9984512.519999999552965
20160406,2519108.260000000242144,2679849.799999999813735,2471813.240000000223517,2504509.300000000279397,10175280.600000001490116
20160407,2515654.959999999962747,2666015.199999999720603,2449418.280000000260770,2476251.020000000018626,10107339.460000000894070
20160408,2511741.219999999739230,2644856.399999999906868,2426444.140000000130385,2501503.100000000093132,10084544.859999999403954
20160411,2508748.359999999869615,2595214.600000000093132,2438993.040000000037253,2504809.919999999925494,10047765.919999999925494
20160412,2523252.219999999739230,2600911.200000000186265,2448066.859999999869615,2535773.779999999795109,10108004.059999998658895
20160413,2529468.160000000149012,2648111.599999999627471,2466600.620000000111759,2550203.540000000037253,10194383.919999999925494
20160414,2528777.500000000000000,2657063.399999999906868,2470847.939999999944121,2568240.740000000223517,10224929.580000000074506
20160415,2536604.979999999981374,2644856.399999999906868,2458299.040000000037253,2554412.220000000204891,10194172.640000000596046
20160418,2553871.479999999981374,2653808.199999999720603,2467565.919999999925494,2578762.439999999944121,10254008.039999999105930
20160419,2594159.979999999981374,2676594.600000000093132,2519499.060000000055879,2591689.100000000093132,10381942.740000000223517
20160420,2614879.779999999795109,2704263.799999999813735,2585718.640000000130385,2609425.680000000167638,10514287.900000000372529
20160421,2614649.560000000055879,2705077.600000000093132,2566991.820000000298023,2609125.060000000055879,10495844.040000000968575
20160422,2608894.060000000055879,2707519.000000000000000,2589579.839999999850988,2631370.939999999944121,10537363.839999999850988
20160425,2613268.240000000223517,2702636.200000000186265,2582822.740000000223517,2625358.540000000037253,10524085.720000000670552
20160426,2599455.040000000037253,2689615.399999999906868,2591703.500000000000000,2634377.140000000130385,10515151.080000000074506
20160427,2596231.959999999962747,2685546.399999999906868,2563902.860000000335276,2659328.600000000093132,10505009.820000000298023
20160428,2589555.580000000074506,2678222.199999999720603,2549809.479999999981374,2646401.939999999944121,10463989.199999999254942
20160429,2580346.779999999795109,2661946.200000000186265,2542280.140000000130385,2657524.880000000353903,10442098.000000001862645
20160502,2595771.520000000018626,2669270.399999999906868,2550388.660000000149012,2679470.140000000130385,10494900.720000000670552
20160503,2594390.200000000186265,2742512.399999999906868,2557338.820000000298023,2648806.899999999906868,10543048.320000000298023
20160504,2583569.859999999869615,2718098.399999999906868,2549037.240000000223517,2643696.359999999869615,10494401.859999999403954
20160505,2598764.379999999888241,2731933.000000000000000,2554442.919999999925494,2646702.560000000055879,10531842.859999999403954
20160506,2595541.299999999813735,2732746.799999999813735,2549230.299999999813735,2660831.700000000186265,10538350.099999999627471
20160509,2618102.859999999869615,2752278.000000000000000,2561393.079999999608845,2662635.419999999925494,10594409.359999999403954
20160510,2639973.760000000242144,2750650.399999999906868,2578768.479999999981374,2705323.459999999962747,10674716.100000001490116
20160511,2633067.160000000149012,2698567.199999999720603,2523167.200000000186265,2669850.300000000279397,10524651.859999999403954
20160512,2629844.080000000074506,2701008.599999999627471,2504826.500000000000000,2695703.620000000111759,10531382.800000000745058
20160513,2614419.339999999850988,2701008.599999999627471,2490540.060000000055879,2665341.000000000000000,10471309.000000000000000
20160516,2634678.700000000186265,2716470.800000000279397,2522201.899999999906868,2692697.419999999925494,10566048.820000000298023
20160517,2620635.279999999795109,2687987.799999999813735,2501351.419999999925494,2691494.939999999944121,10501469.439999999478459
20160518,2615110.000000000000000,2699381.000000000000000,2519692.120000000111759,2686083.779999999795109,10520266.900000000372529
20160519,2598073.719999999739230,2716470.800000000279397,2509846.060000000055879,2708930.899999999906868,10533321.480000000447035
20160520,2593239.100000000093132,2745767.600000000093132,2527993.700000000186265,2697807.959999999962747,10564808.359999999403954
20160523,2582188.540000000037253,2740071.000000000000000,2517954.579999999608845,2693599.279999999795109,10533813.399999998509884
20160524,2594390.200000000186265,2775064.399999999906868,2559848.600000000093132,2695703.620000000111759,10625006.820000000298023
20160525,2609584.719999999739230,2795409.399999999906868,2575872.579999999608845,2713440.200000000186265,10694306.899999998509884
20160526,2599224.820000000298023,2801919.799999999813735,2567377.939999999944121,2699611.680000000167638,10668134.240000000223517
20160527,2602908.339999999850988,2816568.199999999720603,2587070.060000000055879,2705924.700000000186265,10712471.300000000745058
