訓練日期,20130816 - 20131115
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12113201.700000001117587
真實報酬,2113201.700000001117587

夏普值報酬,0.202620170000000
夏普值風險,0.055807841108660
夏普值,3.630675653722044

預期報酬,30578.854595419834368
風險,132660.767211174592376
趨勢值,0.230504128976906
找到最佳解世代,2802
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
BA[2](2),DD[7](10),MSFT[18](8),NKE[19](1),
Stock#,BA[2](2),DD[7](10),MSFT[18](8),NKE[19](1),
張數,24335,47250,78641,78740,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,65.449999999720603,2.500000000000000,2.609999999869615,5.000000000000000,
20130816,2518007.899999999906868,2482045.000000000000000,2500786.410000000149012,2506299.199999999720603,10007138.509999999776483
20130819,2548426.649999999906868,2464562.500000000000000,2468543.600000000093132,2547244.000000000000000,10028776.750000000000000
20130820,2546236.499999999534339,2486297.500000000000000,2486631.029999999795109,2544881.799999999813735,10064046.829999998211861
20130821,2528715.299999999813735,2499055.000000000000000,2485844.619999999646097,2525196.799999999813735,10038811.719999998807907
20130822,2558647.349999999627471,2502362.500000000000000,2547184.600000000093132,2553543.200000000186265,10161737.649999998509884
20130823,2566921.250000000000000,2606785.000000000000000,2732777.359999999869615,2527559.000000000000000,10434042.609999999403954
20130826,2568137.999999999534339,2600642.500000000000000,2685592.759999999776483,2516535.399999999906868,10370908.660000000149012
20130827,2511680.799999999348074,2527405.000000000000000,2615602.269999999552965,2473228.399999999906868,10127916.469999998807907
20130828,2513140.899999999441206,2519845.000000000000000,2596728.430000000167638,2495275.600000000093132,10124989.929999999701977
20130829,2553537.000000000000000,2524570.000000000000000,2638408.159999999683350,2499212.600000000093132,10215727.759999999776483
20130830,2528958.649999999906868,2516537.500000000000000,2626612.009999999776483,2473228.399999999906868,10145336.560000000521541
