訓練日期,20180914 - 20181217
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10973398.399999998509884
真實報酬,973398.399999998509884

夏普值報酬,0.088639840000000
夏普值風險,0.054376368754098
夏普值,1.630116942910432

預期報酬,27910.647702984024363
風險,236667.994586602406343
趨勢值,0.117931652531795
找到最佳解世代,2107
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
MCD[15](2),WBA[27](1),
Stock#,MCD[15](2),WBA[27](1),
張數,30788,70942,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,28.799999999813735,7.839999999850988,
20180914,4951970.719999999739230,4985811.599999999627471,9937782.320000000298023
20180917,4868843.119999999180436,4997871.740000000223517,9866714.859999999403954
20180918,4857451.560000000521541,5028376.799999999813735,9885828.359999999403954
20180919,4900862.639999999664724,5056753.599999999627471,9957616.239999998360872
20180920,4950431.319999999366701,5170970.219999999739230,10121401.539999999105930
20180921,5089285.200000000186265,5178773.839999999850988,10268059.039999999105930
20180924,5028017.080000000074506,5122020.240000000223517,10150037.320000000298023
20180925,5123459.879999999888241,5122729.659999999217689,10246189.539999999105930
20180926,5103447.679999999701977,5175936.159999999217689,10279383.839999999850988
20180927,5127154.439999999478459,5236236.860000000335276,10363391.300000000745058
20180928,5150553.319999999366701,5171679.640000000596046,10322232.960000000894070
20181001,5131464.759999999776483,5140465.159999999217689,10271929.919999998062849
20181002,5085590.639999999664724,5213535.419999999925494,10299126.059999998658895
20181003,5069580.879999999888241,5235527.439999999478459,10305108.320000000298023
20181004,5104679.200000000186265,5202894.120000000111759,10307573.320000000298023
20181005,5128385.959999999962747,5144012.259999999776483,10272398.219999998807907
20181008,5165331.560000000521541,5260357.140000000596046,10425688.700000001117587
20181009,5228754.839999999850988,5218501.360000000335276,10447256.199999999254942
20181010,5183804.360000000335276,5129823.860000000335276,10313628.220000000670552
20181011,5017549.160000000149012,5029795.640000000596046,10047344.800000000745058
20181012,5043718.959999999962747,5214244.839999999850988,10257963.800000000745058
20181015,5039100.759999999776483,5300794.080000000074506,10339894.839999999850988
20181016,5051415.959999999962747,5411463.599999999627471,10462879.559999998658895
20181017,5134543.560000000521541,5461123.000000000000000,10595666.560000000521541
20181018,5135775.080000000074506,5432746.200000000186265,10568521.280000001192093
20181019,5156710.919999999925494,5487371.539999999105930,10644082.459999999031425
20181022,5130233.239999999292195,5508654.140000000596046,10638887.379999998956919
20181023,5454123.000000000000000,5480986.759999999776483,10935109.759999999776483
20181024,5460280.599999999627471,5263904.240000000223517,10724184.839999999850988
20181025,5397473.080000000074506,5373154.919999999925494,10770628.000000000000000
20181026,5336820.719999999739230,5407916.500000000000000,10744737.219999998807907
20181029,5333434.039999999105930,5449772.279999999329448,10783206.319999998435378
20181030,5495378.919999999925494,5590237.439999999478459,11085616.359999999403954
20181031,5446426.000000000000000,5659051.179999999701977,11105477.179999999701977
20181101,5384234.239999999292195,5668273.640000000596046,11052507.879999998956919
20181102,5441807.799999999813735,5625708.439999999478459,11067516.239999998360872
20181105,5553876.119999999180436,5673239.580000000074506,11227115.699999999254942
20181106,5625304.280000000260770,5717933.039999999105930,11343237.320000000298023
20181107,5672717.799999999813735,5810867.059999999590218,11483584.859999999403954
20181108,5710587.039999999105930,5848466.319999999366701,11559053.359999999403954
20181109,5724749.519999999552965,5844919.219999999739230,11569668.739999998360872
20181112,5676412.360000000335276,5803772.860000000335276,11480185.220000000670552
20181113,5665328.679999999701977,5811576.479999999515712,11476905.160000000149012
20181114,5660402.599999999627471,5783199.679999999701977,11443602.279999999329448
20181115,5651474.080000000074506,5837825.020000000484288,11489299.100000001490116
20181116,5775549.719999999739230,5854141.679999999701977,11629691.399999998509884
20181119,5748764.160000000149012,5811576.479999999515712,11560340.640000000596046
20181120,5656092.280000000260770,5660470.020000000484288,11316562.300000000745058
20181121,5625612.160000000149012,5658341.759999999776483,11283953.919999999925494
20181123,5601289.639999999664724,5732830.860000000335276,11334120.500000000000000
20181126,5661634.119999999180436,5795969.240000000223517,11457603.359999999403954
20181127,5684417.239999999292195,5925083.679999999701977,11609500.919999998062849
20181128,5783554.599999999627471,6004538.719999999739230,11788093.320000000298023
20181129,5826965.679999999701977,6019436.539999999105930,11846402.219999998807907
20181130,5803874.679999999701977,6006666.979999999515712,11810541.660000000149012
20181203,5707200.360000000335276,6079027.819999999366701,11786228.179999999701977
20181204,5697040.319999999366701,5875424.279999999329448,11572464.599999997764826
20181206,5709663.399999999441206,5883937.319999999366701,11593600.719999998807907
20181207,5633001.280000000260770,5759788.819999999366701,11392790.099999999627471
20181210,5685033.000000000000000,5757660.559999999590218,11442693.559999998658895
20181211,5652397.719999999739230,5803772.860000000335276,11456170.580000000074506
20181212,5649011.039999999105930,5848466.319999999366701,11497477.359999999403954
20181213,5739835.639999999664724,5839953.279999999329448,11579788.919999998062849
20181214,5643161.319999999366701,5585980.919999999925494,11229142.239999998360872
20181217,5566191.319999999366701,5407207.080000000074506,10973398.399999998509884
