訓練日期,20121227 - 20130402
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11575376.220000000670552
真實報酬,1575376.220000000670552

夏普值報酬,0.148837622000000
夏普值風險,0.042279515952723
夏普值,3.520324645306490

預期報酬,23568.939640100357792
風險,52759.624528582142375
趨勢值,0.446723035857317
找到最佳解世代,2468
找到最佳解實驗#,1
找到最佳解次數,27

stock[index](rank)
投資組合檔數,4
JNJ[12](1),MMM[16](4),TRV[22](2),VZ[26](22),
Stock#,JNJ[12](1),MMM[16](4),TRV[22](2),VZ[26](22),
張數,35627,26861,34592,57537,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,53.410000000149012,46.729999999981374,36.160000000149012,17.349999999627471,
20121227,2497149.840000000316650,2488449.770000000018626,2484433.600000000093132,2501726.109999999403954,9971759.320000000298023
20121228,2475417.370000000111759,2465349.310000000055879,2464370.239999999757856,2468354.649999999441206,9873491.570000000298023
20121231,2497506.109999999869615,2494090.579999999608845,2484433.600000000093132,2489643.339999999850988,9965673.629999998956919
20130102,2523870.090000000316650,2545932.310000000055879,2520409.280000000260770,2547180.339999999850988,10137392.019999999552965
20130103,2520307.390000000130385,2542977.600000000093132,2539780.800000000279397,2535097.569999999832362,10138163.360000001266599
20130104,2549165.260000000242144,2561780.300000000279397,2561919.680000000167638,2548906.449999999254942,10221771.689999999478459
20130107,2543821.210000000428408,2565003.619999999646097,2527327.680000000167638,2571345.879999999422580,10207498.389999998733401
20130108,2544177.479999999981374,2565272.229999999981374,2531824.640000000130385,2479862.049999999813735,10121136.399999998509884
20130109,2555578.120000000111759,2589715.739999999757856,2557768.640000000130385,2474108.349999999627471,10177170.849999999627471
20130110,2571966.540000000037253,2602609.020000000018626,2575410.560000000055879,2508055.179999999701977,10258041.300000000745058
20130111,2577666.859999999869615,2586223.810000000055879,2589247.359999999869615,2491369.449999999254942,10244507.479999998584390
20130114,2585148.530000000260770,2607712.609999999869615,2592706.560000000055879,2450518.179999999701977,10236085.880000000819564
20130115,2578379.400000000372529,2613353.419999999925494,2613807.680000000167638,2414845.239999999757856,10220385.740000000223517
20130116,2585861.070000000298023,2621680.329999999608845,2613461.760000000242144,2388378.219999999739230,10209381.379999998956919
20130117,2597261.710000000428408,2634573.609999999869615,2625568.960000000428408,2424051.159999999683350,10281455.440000001341105
20130118,2609018.620000000111759,2652301.869999999646097,2639751.680000000167638,2447641.329999999608845,10348713.500000000000000
20130122,2589780.040000000037253,2668149.859999999869615,2696482.560000000055879,2470656.129999999422580,10425068.589999999850988
20130123,2595480.359999999869615,2672447.619999999646097,2685759.040000000037253,2462025.579999999608845,10415712.599999999627471
20130124,2604387.109999999869615,2677282.600000000093132,2701325.440000000409782,2450518.179999999701977,10433513.330000000074506
20130125,2633601.250000000000000,2701994.720000000204891,2710319.359999999869615,2455121.139999999664724,10501036.469999998807907
20130128,2622913.150000000372529,2703606.380000000353903,2675727.359999999869615,2460874.839999999850988,10463121.730000000447035
20130129,2651058.479999999981374,2734765.140000000130385,2691639.680000000167638,2502876.849999999627471,10580340.150000000372529
20130130,2639657.840000000316650,2707635.529999999795109,2683683.520000000018626,2509205.919999999459833,10540182.810000000521541
20130131,2633601.250000000000000,2700920.279999999795109,2714124.479999999981374,2509205.919999999459833,10557851.929999999701977
20130201,2642864.270000000484288,2728049.890000000130385,2763591.040000000037253,2563866.069999999832362,10698371.269999999552965
20130204,2640370.380000000353903,2706829.699999999720603,2698212.160000000149012,2561564.589999999850988,10606976.830000000074506
20130205,2659965.229999999981374,2726169.619999999646097,2720696.960000000428408,2563866.069999999832362,10670697.880000000819564
20130206,2685972.939999999944121,2758402.819999999832362,2731420.479999999981374,2574798.099999999627471,10750594.339999999850988
20130207,2674216.030000000260770,2745778.149999999906868,2736955.200000000186265,2558112.369999999646097,10715061.750000000000000
20130208,2689179.370000000111759,2757596.989999999757856,2727961.280000000260770,2551783.299999999813735,10726520.939999999478459
20130211,2686685.479999999981374,2756522.550000000279397,2740068.479999999981374,2550057.189999999478459,10733333.699999999254942
20130212,2700580.010000000242144,2779085.790000000037253,2763936.960000000428408,2556961.629999999422580,10800564.390000000596046
20130213,2695592.229999999981374,2762969.189999999944121,2767050.239999999757856,2561564.589999999850988,10787176.250000000000000
20130214,2700936.280000000260770,2760820.310000000055879,2779157.440000000409782,2550632.559999999590218,10791546.589999999850988
20130215,2713405.729999999981374,2772907.760000000242144,2780887.040000000037253,2554660.149999999441206,10821860.679999999701977
20130219,2741907.330000000074506,2798425.709999999962747,2788151.359999999869615,2560413.849999999627471,10888898.250000000000000
20130220,2730862.960000000428408,2770758.880000000353903,2771201.280000000260770,2584579.389999999664724,10857402.510000001639128
20130221,2738700.900000000372529,2759208.649999999906868,2780541.120000000111759,2596086.789999999571592,10874537.460000000894070
20130222,2716612.160000000149012,2781234.669999999925494,2802334.080000000540167,2612197.149999999441206,10912378.059999998658895
20130225,2692385.799999999813735,2733153.479999999981374,2741452.160000000149012,2630608.989999999757856,10797600.429999999701977
20130226,2698798.660000000149012,2748195.640000000130385,2768779.840000000316650,2653623.789999999571592,10869397.929999999701977
20130227,2719106.049999999813735,2782040.500000000000000,2794377.920000000391155,2666857.299999999813735,10962381.769999999552965
20130228,2711624.380000000353903,2793590.729999999981374,2781924.800000000279397,2677213.959999999497086,10964353.869999999180436
20130301,2732644.310000000055879,2787412.699999999720603,2791264.640000000130385,2688145.989999999757856,10999467.640000000596046
20130304,2750457.810000000055879,2774250.810000000055879,2785384.000000000000000,2710585.419999999459833,11020678.039999999105930
20130305,2766846.229999999981374,2805678.180000000167638,2817900.479999999981374,2743956.879999999422580,11134381.769999999552965
20130306,2757226.939999999944121,2811318.989999999757856,2804409.600000000093132,2720366.709999999497086,11093322.239999998360872
20130307,2770052.660000000149012,2808095.669999999925494,2808906.560000000055879,2731874.109999999403954,11118929.000000000000000
20130308,2785728.540000000037253,2839523.040000000037253,2824472.960000000428408,2759491.869999999646097,11209216.410000000149012
20130311,2794635.290000000037253,2842209.140000000130385,2827932.160000000149012,2750861.319999999832362,11215637.910000000149012
20130312,2798910.530000000260770,2823943.659999999683350,2827586.239999999757856,2782506.669999999459833,11232947.099999999627471
20130313,2798554.260000000242144,2822869.220000000204891,2840731.200000000186265,2758341.129999999422580,11220495.809999998658895
20130314,2818149.109999999869615,2847849.949999999720603,2849033.280000000260770,2789411.109999999403954,11304443.449999999254942
20130315,2821355.540000000037253,2858057.130000000353903,2846265.920000000391155,2762944.089999999850988,11288622.679999999701977
20130318,2807817.280000000260770,2831464.739999999757856,2854913.920000000391155,2804946.099999999627471,11299142.039999999105930
20130319,2809598.630000000353903,2825286.709999999962747,2877744.640000000130385,2816453.500000000000000,11329083.480000000447035
20130320,2830618.560000000055879,2838179.989999999757856,2900229.440000000409782,2796315.549999999813735,11365343.539999999105930
20130321,2814942.680000000167638,2818840.069999999832362,2897116.160000000149012,2807822.949999999254942,11338721.859999999403954
20130322,2840950.390000000130385,2858594.350000000093132,2895040.640000000130385,2820481.089999999850988,11415066.470000000670552
20130325,2838812.770000000484288,2825018.100000000093132,2883971.200000000186265,2828536.269999999552965,11376338.339999999850988
20130326,2880496.359999999869615,2849193.000000000000000,2883625.280000000260770,2846948.109999999403954,11460262.750000000000000
20130327,2895459.700000000186265,2828241.419999999925494,2883971.200000000186265,2815878.129999999422580,11423550.449999999254942
20130328,2904722.720000000204891,2855639.640000000130385,2912336.640000000130385,2827960.899999999441206,11500659.899999998509884
20130401,2918973.520000000484288,2837911.380000000353903,2904034.560000000055879,2831988.489999999757856,11492907.950000001117587
20130402,2946050.040000000037253,2861280.449999999720603,2919946.879999999888241,2848098.849999999627471,11575376.220000000670552
