訓練日期,20101231 - 20110404
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11779673.400000000372529
真實報酬,1779673.400000000372529

夏普值報酬,0.169267340000000
夏普值風險,0.045664878431738
夏普值,3.706729237285228

預期報酬,25800.609641808587185
風險,111512.654295997650479
趨勢值,0.231369343727787
找到最佳解世代,2367
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
CVX[5](2),PFE[20](1),
Stock#,CVX[5](2),PFE[20](1),
張數,54585,285877,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,14.000000000000000,11.270000000484288,
20101231,4980895.250000000000000,5005717.540000000968575,9986612.790000000968575
20110103,5018558.899999999441206,5054316.630000000819564,10072875.530000001192093
20110104,5000000.000000000000000,5142938.500000000000000,10142938.500000000000000
20110105,4991266.399999999441206,5177243.740000000223517,10168510.140000000596046
20110106,4950327.649999999441206,5197255.130000000819564,10147582.780000001192093
20110107,4977620.149999999441206,5242995.450000000186265,10220615.599999999627471
20110110,4935043.849999999627471,5220125.290000000968575,10155169.140000000596046
20110111,5012554.549999999813735,5208690.209999999962747,10221244.759999999776483
20110112,5046397.250000000000000,5251571.760000000707805,10297969.010000001639128
20110113,5031659.300000000745058,5208690.209999999962747,10240349.510000001639128
20110114,5067139.549999999813735,5242995.450000000186265,10310135.000000000000000
20110118,5095523.750000000000000,5254430.530000000260770,10349954.280000001192093
20110119,5074781.450000000186265,5237277.910000000149012,10312059.359999999403954
20110120,5060589.349999999627471,5214407.750000000000000,10274997.099999999627471
20110121,5118995.299999999813735,5248712.990000000223517,10367708.289999999105930
20110124,5136462.500000000000000,5274441.919999999925494,10410904.419999999925494
20110125,5135370.799999999813735,5280159.459999999962747,10415530.259999999776483
20110126,5165938.400000000372529,5248712.990000000223517,10414651.390000000596046
20110127,5171942.750000000000000,5283018.230000000447035,10454960.980000000447035
20110128,5096615.450000000186265,5188678.820000000298023,10285294.269999999552965
20110131,5181768.050000000745058,5208690.209999999962747,10390458.260000001639128
20110201,5252182.700000000186265,5494567.209999999962747,10746749.910000000149012
20110202,5266374.799999999813735,5420239.190000000409782,10686613.990000000223517
20110203,5311680.350000000558794,5480273.360000001266599,10791953.710000000894070
20110204,5300763.349999999627471,5517437.370000001043081,10818200.720000000670552
20110207,5330785.099999999627471,5443109.350000000558794,10773894.449999999254942
20110208,5335151.899999999441206,5477414.590000000782311,10812566.490000000223517
20110209,5253274.399999999441206,5445968.120000001043081,10699242.519999999552965
20110210,5278383.500000000000000,5440250.580000001005828,10718634.080000001937151
20110211,5264737.250000000000000,5383075.179999999701977,10647812.429999999701977
20110214,5292029.750000000000000,5445968.120000001043081,10737997.870000001043081
20110215,5258732.900000000372529,5445968.120000001043081,10704701.020000001415610
20110216,5276200.099999999627471,5511719.830000001005828,10787919.929999999701977
20110217,5304038.450000000186265,5537448.760000000707805,10841487.210000000894070
20110218,5388645.200000000186265,5485990.900000001303852,10874636.100000001490116
20110222,5475981.199999999254942,5400227.800000000745058,10876209.000000000000000
20110223,5582421.950000000186265,5363063.790000000968575,10945485.740000002086163
20110224,5569321.549999999813735,5403086.570000000298023,10972408.120000001043081
20110225,5573142.500000000000000,5391651.490000000223517,10964793.990000000223517
20110228,5663207.750000000000000,5500284.750000000000000,11163492.500000000000000
20110301,5616810.500000000000000,5471697.050000000745058,11088507.550000000745058
20110302,5647923.950000000186265,5485990.900000001303852,11133914.850000001490116
20110303,5687225.149999999441206,5651799.560000000521541,11339024.710000000894070
20110304,5663207.750000000000000,5620353.090000000782311,11283560.839999999850988
20110307,5622814.850000000558794,5606059.240000000223517,11228874.089999999850988
20110308,5664299.450000000186265,5626070.630000000819564,11290370.080000001937151
20110309,5575325.900000000372529,5620353.090000000782311,11195678.990000002086163
20110310,5408295.799999999813735,5534589.990000000223517,10942885.789999999105930
20110311,5454693.050000000745058,5566036.459999999962747,11020729.510000001639128
20110314,5502182.000000000000000,5663234.639999999664724,11165416.640000000596046
20110315,5525653.549999999813735,5648940.790000000968575,11174594.339999999850988
20110316,5431767.350000000558794,5517437.370000001043081,10949204.720000002533197
20110317,5580784.399999999441206,5683246.030000000260770,11264030.429999999701977
20110318,5611352.000000000000000,5769009.130000000819564,11380361.130000000819564
20110321,5741810.149999999441206,5711833.730000000447035,11453643.879999998956919
20110322,5743993.549999999813735,5700398.650000001303852,11444392.200000001117587
20110323,5757639.799999999813735,5694681.110000001266599,11452320.910000000149012
20110324,5752181.299999999813735,5803314.370000001043081,11555495.670000001788139
20110325,5828600.299999999813735,5817608.220000000670552,11646208.519999999552965
20110328,5788207.400000000372529,5794738.060000000521541,11582945.460000000894070
20110329,5860805.450000000186265,5826184.530000000260770,11686989.980000000447035
20110330,5895739.850000000558794,5814749.450000000186265,11710489.300000000745058
20110331,5867355.649999999441206,5806173.139999999664724,11673528.789999999105930
20110401,5912661.199999999254942,5826184.530000000260770,11738845.730000000447035
20110404,5907748.549999999813735,5871924.850000000558794,11779673.400000000372529
