訓練日期,20100617 - 20100917
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11298814.219999998807907
真實報酬,1298814.219999998807907

夏普值報酬,0.121181422000000
夏普值風險,0.049399803174117
夏普值,2.453074996531422

預期報酬,17077.292221000367135
風險,268320.963494386232924
趨勢值,0.063645016768724
找到最佳解世代,2648
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
KO[14](1),VZ[26](2),
Stock#,KO[14](1),VZ[26](2),
張數,190839,183284,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,18.200000000186265,12.479999999515712,
20100617,4996183.219999999739230,4985337.279999999329448,9981520.500000000000000
20100618,4992366.440000000409782,4990835.799999999813735,9983202.240000000223517
20100621,5007633.559999999590218,4979838.759999999776483,9987472.320000000298023
20100622,5005725.169999999925494,4979838.759999999776483,9985563.929999999701977
20100623,4984732.880000000819564,5025659.759999999776483,10010392.640000000596046
20100624,4942748.299999999813735,4963343.199999999254942,9906091.500000000000000
20100625,4795802.269999999552965,4891862.439999999478459,9687664.709999999031425
20100628,4874046.259999999776483,4919355.039999999105930,9793401.299999998882413
20100629,4803435.830000000074506,4904692.319999999366701,9708128.149999998509884
20100630,4782443.540000000037253,4802053.279999999329448,9584496.820000000298023
20100701,4774809.980000000447035,4820381.679999999701977,9595191.660000000149012
20100702,4776718.370000000111759,4913856.519999999552965,9690574.890000000596046
20100706,4812977.780000000260770,4877199.719999999739230,9690177.500000000000000
20100707,4912214.059999999590218,4860704.159999999217689,9772918.219999998807907
20100708,5001908.390000000596046,4908358.000000000000000,9910266.390000000596046
20100709,5000000.000000000000000,4884531.079999999143183,9884531.079999998211861
20100712,5005725.169999999925494,4855205.639999999664724,9860930.809999998658895
20100713,5030534.240000000223517,4928519.239999999292195,9959053.480000000447035
20100714,5040076.190000000409782,4919355.039999999105930,9959431.230000000447035
20100715,5043892.969999999739230,4912023.679999999701977,9955916.649999998509884
20100716,4998091.610000000335276,4891862.439999999478459,9889954.050000000745058
20100719,4988549.660000000149012,4897360.959999999031425,9885910.619999999180436
20100720,5080152.380000000819564,4888196.759999999776483,9968349.140000000596046
20100721,5160304.759999999776483,4860704.159999999217689,10021008.919999998062849
20100722,5177480.269999999552965,4948680.479999999515712,10126160.750000000000000
20100723,5225190.019999999552965,5135630.159999999217689,10360820.179999999701977
20100726,5242365.530000000260770,5183284.000000000000000,10425649.530000001192093
20100727,5253815.870000000111759,5240102.039999999105930,10493917.910000000149012
20100728,5236640.360000000335276,5298752.919999999925494,10535393.280000001192093
20100729,5248090.700000000186265,5293254.399999999441206,10541345.099999999627471
20100730,5259541.040000000037253,5326245.519999999552965,10585786.559999998658895
20100802,5383586.390000000596046,5417887.519999999552965,10801473.910000000149012
20100803,5379769.610000000335276,5414221.839999998919666,10793991.449999999254942
20100804,5396945.120000000111759,5388562.079999999143183,10785507.199999999254942
20100805,5379769.610000000335276,5416054.679999999701977,10795824.289999999105930
20100806,5416029.019999999552965,5416054.679999999701977,10832083.699999999254942
20100809,5450380.040000000037253,5472872.719999999739230,10923252.759999999776483
20100810,5437021.309999999590218,5502198.159999999217689,10939219.469999998807907
20100811,5347326.980000000447035,5417887.519999999552965,10765214.500000000000000
20100812,5314884.350000000558794,5557183.359999999403954,10872067.710000000894070
20100813,5318701.130000000819564,5504031.000000000000000,10822732.130000000819564
20100816,5332059.860000000335276,5491201.120000000111759,10823260.980000000447035
20100817,5354960.540000000037253,5529690.759999999776483,10884651.300000000745058
20100818,5328243.080000000074506,5526025.079999999143183,10854268.160000000149012
20100819,5274808.160000000149012,5428884.559999999590218,10703692.719999998807907
20100820,5276716.549999999813735,5383063.559999999590218,10659780.109999999403954
20100823,5305342.400000000372529,5390394.919999999925494,10695737.320000000298023
20100824,5311067.570000000298023,5401391.959999999031425,10712459.529999999329448
20100825,5286258.500000000000000,5436215.919999999925494,10722474.419999999925494
20100826,5263357.820000000298023,5406890.479999999515712,10670248.300000000745058
20100827,5358777.320000000298023,5469207.039999999105930,10827984.359999999403954
20100830,5301525.620000000111759,5395893.439999999478459,10697419.059999998658895
20100831,5332059.860000000335276,5412389.000000000000000,10744448.859999999403954
20100901,5469463.940000000409782,5546186.319999999366701,11015650.259999999776483
20100902,5475189.110000000335276,5518693.719999999739230,10993882.830000000074506
20100903,5492364.620000000111759,5535189.279999999329448,11027553.899999998509884
20100907,5499998.180000000633299,5538854.959999999031425,11038853.140000000596046
20100908,5519082.080000000074506,5582843.120000000111759,11101925.199999999254942
20100909,5562975.049999999813735,5652491.039999999105930,11215466.089999999850988
20100910,5583967.340000000782311,5648825.359999999403954,11232792.699999999254942
20100913,5538165.980000000447035,5663488.079999999143183,11201654.059999998658895
20100914,5496181.400000000372529,5665320.919999999925494,11161502.320000000298023
20100915,5479005.890000000596046,5716640.439999999478459,11195646.330000000074506
20100916,5488547.840000000782311,5758795.759999999776483,11247343.600000001490116
20100917,5492364.620000000111759,5806449.599999999627471,11298814.219999998807907
