訓練日期,20160115 - 20160419
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11367776.589999997988343
真實報酬,1367776.589999997988343

夏普值報酬,0.128077659000000
夏普值風險,0.039427965803013
夏普值,3.248396319503079

預期報酬,21247.348916457576706
風險,80314.445616277022054
趨勢值,0.264552021164066
找到最佳解世代,2527
找到最佳解實驗#,2
找到最佳解次數,16

stock[index](rank)
投資組合檔數,5
KO[14](2),MMM[16](1),MRK[17](20),PG[21](9),UNH[23](3),
Stock#,KO[14](2),MMM[16](1),MRK[17](20),PG[21](9),UNH[23](3),
張數,47755,14166,38610,26263,18057,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,20.599999999860302,44.119999999878928,2.000000000000000,72.549999999813735,6.679999999934807,
20160115,1981853.099999999860302,1964726.659999999916181,1974517.399999999906868,1969272.289999999804422,1973095.069999999832362,9863464.519999999552965
20160119,2001910.199999999953434,1960476.859999999636784,1982239.400000000139698,2015232.539999999804422,2032863.739999999990687,9992722.740000000223517
20160120,1976122.500000000000000,1940219.479999999981374,1951737.500000000000000,1991595.839999999850988,2072769.709999999962747,9932445.030000001192093
20160121,1976600.049999999813735,1951552.279999999795109,1966023.199999999953434,2014969.909999999683350,2049476.179999999934807,9958621.619999999180436
20160122,2008595.899999999906868,1976484.439999999944121,1982625.500000000000000,2031778.229999999748543,2064463.489999999990687,10063947.559999998658895
20160125,2013371.399999999674037,1948860.739999999757856,1966023.199999999953434,2018384.099999999627471,2047309.339999999850988,9993948.779999999329448
20160126,2009550.999999999767169,2050997.599999999860302,1986486.500000000000000,2069859.579999999841675,2057782.399999999906868,10174677.080000000074506
20160127,2010028.550000000046566,2061905.419999999925494,1944787.699999999953434,2069596.949999999720603,2028349.489999999990687,10114668.109999999403954
20160128,2032950.949999999953434,2086979.239999999757856,1899614.000000000000000,2096385.209999999729916,2011195.339999999850988,10127124.739999998360872
20160129,2049665.199999999953434,2139110.120000000111759,1956370.699999999953434,2145497.019999999552965,2079450.799999999813735,10370093.839999999850988
20160201,2053485.599999999860302,2106953.299999999813735,1959459.500000000000000,2130527.109999999869615,2092632.409999999916181,10343057.919999999925494
20160202,2026742.799999999813735,2094770.540000000037253,1946332.099999999860302,2106890.409999999683350,2056337.839999999850988,10231073.689999999478459
20160203,2040114.199999999720603,2160642.440000000409782,1932432.500000000000000,2130001.849999999627471,2035933.429999999934807,10299124.419999999925494
20160204,2031040.750000000000000,2173675.160000000149012,1876061.900000000139698,2119496.649999999906868,2062116.080000000074506,10262390.540000000968575
20160205,2026742.799999999813735,2174100.139999999664724,1906563.800000000046566,2132628.149999999906868,2017334.719999999972060,10257369.609999999403954
20160208,2036771.349999999860302,2180191.519999999552965,1885328.300000000046566,2169921.609999999869615,1986637.819999999832362,10258850.599999999627471
20160209,2067812.099999999627471,2192090.959999999962747,1898069.599999999860302,2170446.869999999646097,2007222.799999999813735,10335642.329999998211861
20160210,2031995.849999999627471,2159650.819999999366701,1912355.300000000046566,2143658.609999999869615,2035752.859999999869615,10283413.439999997615814
20160211,2025310.149999999674037,2134435.339999999850988,1886100.500000000000000,2098486.250000000000000,1997472.020000000018626,10141804.259999999776483
20160212,2058738.649999999906868,2181041.480000000447035,1893050.300000000046566,2127112.919999999459833,2019140.419999999925494,10279083.769999999552965
20160216,2070677.399999999906868,2203282.099999999627471,1922007.800000000046566,2139719.159999999683350,2079270.229999999981374,10414956.689999999478459
