訓練日期,20111011 - 20120112
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11940641.740000000223517
真實報酬,1940641.740000000223517

夏普值報酬,0.185364174000000
夏普值風險,0.053076294181614
夏普值,3.492409876351408

預期報酬,29362.037674264684028
風險,155086.528044204431353
趨勢值,0.189326810294545
找到最佳解世代,1983
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
HD[9](1),MCD[15](2),
Stock#,HD[9](1),MCD[15](2),
張數,144258,56490,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,17.720000000670552,70.099999999627471,
20111011,5007212.900000000372529,5046886.700000000186265,10054099.600000001490116
20111012,5008655.480000000447035,4991526.500000000000000,10000181.980000000447035
20111013,4963935.500000000000000,5045192.000000000000000,10009127.500000000000000
20111014,5056260.620000000111759,5080780.699999999254942,10137041.320000000298023
20111017,4998557.420000000856817,5008473.499999999068677,10007030.919999999925494
20111018,5186092.820000001229346,5063833.699999999254942,10249926.519999999552965
20111019,5106750.920000000856817,5062703.899999999441206,10169454.820000000298023
20111020,5154356.060000000521541,5028245.000000000000000,10182601.060000000521541
20111021,5317367.600000000558794,5215226.899999999441206,10532594.500000000000000
20111024,5294286.320000001229346,5197715.000000000000000,10492001.320000000298023
20111025,5199076.040000000968575,5184157.399999999441206,10383233.440000001341105
20111026,5272647.620000000111759,5184722.299999999813735,10457369.919999999925494
20111027,5390939.180000000633299,5282450.000000000000000,10673389.179999999701977
20111028,5210616.680000000633299,5270022.200000000186265,10480638.880000000819564
20111031,5164454.120000000111759,5245166.599999999627471,10409620.719999998807907
20111101,5126947.040000000968575,5192065.999999999068677,10319013.039999999105930
20111102,5191863.140000000596046,5227089.799999999813735,10418952.940000001341105
20111103,5258221.820000001229346,5253640.099999999627471,10511861.920000001788139
20111104,5249566.340000000782311,5299397.000000000000000,10548963.339999999850988
20111107,5386611.440000001341105,5345153.899999999441206,10731765.339999999850988
20111108,5473166.240000000223517,5344024.099999999627471,10817190.339999999850988
20111109,5360645.000000000000000,5233868.599999999627471,10594513.599999999627471
20111110,5366415.320000001229346,5268327.500000000000000,10634742.820000000298023
20111111,5490477.200000001117587,5353062.500000000000000,10843539.700000001117587
20111114,5517886.220000000670552,5313519.500000000000000,10831405.720000000670552
20111115,5491919.780000000260770,5336680.399999999441206,10828600.179999999701977
20111116,5458740.440000001341105,5262113.599999999627471,10720854.040000000968575
20111117,5427003.680000000633299,5213532.200000000186265,10640535.880000000819564
20111118,5464510.760000000707805,5238952.699999999254942,10703463.460000000894070
20111121,5346219.200000001117587,5212967.299999999813735,10559186.500000000000000
20111122,5351989.520000000484288,5233868.599999999627471,10585858.120000001043081
20111123,5268319.880000000819564,5189806.399999999441206,10458126.280000001192093
20111125,5261106.980000000447035,5202799.099999999627471,10463906.080000000074506
20111128,5380841.120000000111759,5296572.500000000000000,10677413.620000001043081
20111129,5620309.400000000372529,5279625.499999999068677,10899934.899999998509884
20111130,5657816.480000000447035,5395994.899999999441206,11053811.379999998956919
20111201,5675127.440000001341105,5394865.099999999627471,11069992.540000000968575
20111202,5761682.240000000223517,5406163.099999999627471,11167845.339999999850988
20111205,5803517.060000000521541,5386391.599999999627471,11189908.660000000149012
20111206,5816500.280000000260770,5423675.000000000000000,11240175.280000001192093
20111207,5875646.060000000521541,5448530.599999999627471,11324176.660000000149012
20111208,5757354.500000000000000,5475080.899999999441206,11232435.399999998509884
20111209,5803517.060000000521541,5537784.799999999813735,11341301.859999999403954
20111212,5777550.620000000111759,5563205.299999999813735,11340755.919999999925494
20111213,5699651.300000000745058,5536090.099999999627471,11235741.400000000372529
20111214,5646275.840000000782311,5514059.000000000000000,11160334.839999999850988
20111215,5686668.080000001005828,5543998.699999999254942,11230666.780000001192093
20111216,5830926.080000001005828,5507280.199999999254942,11338206.280000001192093
20111219,5799189.320000001229346,5493157.699999999254942,11292347.019999999552965
20111220,6051640.820000001229346,5582411.899999999441206,11634052.720000000670552
20111221,6058853.720000000670552,5603878.099999999627471,11662731.820000000298023
20111222,6047313.080000001005828,5569984.099999999627471,11617297.179999999701977
20111223,6071836.940000001341105,5657543.599999999627471,11729380.540000000968575
20111227,6090590.480000000447035,5680139.599999999627471,11770730.080000000074506
20111228,5991052.460000000894070,5625344.299999999813735,11616396.760000001639128
20111229,6060296.300000000745058,5694827.000000000000000,11755123.300000000745058
20111230,6064624.040000000968575,5667711.799999999813735,11732335.839999999850988
20120103,6079049.840000000782311,5583541.700000000186265,11662591.540000000968575
20120104,6165604.640000000596046,5614611.199999999254942,11780215.839999999850988
20120105,6216094.940000001341105,5639466.799999999813735,11855561.740000002086163
20120106,6231963.320000001229346,5682964.099999999627471,11914927.420000001788139
20120109,6236291.060000000521541,5628733.699999999254942,11865024.759999999776483
20120110,6279568.460000000894070,5632123.099999999627471,11911691.560000000521541
20120111,6269470.400000000372529,5645115.799999999813735,11914586.199999999254942
20120112,6259372.340000000782311,5681269.399999999441206,11940641.740000000223517
