訓練日期,20190923 - 20191223
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11846533.109999999403954
真實報酬,1846533.109999999403954

夏普值報酬,0.175953311000000
夏普值風險,0.045372611638676
夏普值,3.877963040814186

預期報酬,25824.468238082528842
風險,93592.172598926772480
趨勢值,0.275925513010034
找到最佳解世代,2167
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AAPL[0](1),INTC[11](2),JNJ[12](15),NKE[19](9),
Stock#,AAPL[0](1),INTC[11](2),JNJ[12](15),NKE[19](9),
張數,11482,49290,18989,28841,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,24.140000000130385,11.200000000186265,98.149999999906868,62.119999999646097,
20190923,2511367.180000000167638,2508872.200000000186265,2501709.010000000242144,2529129.409999999683350,10051077.800000000745058
20190924,2499425.900000000372529,2455639.000000000000000,2498101.100000000093132,2514420.500000000000000,9967586.500000000000000
20190925,2537890.600000000093132,2514787.000000000465661,2487467.260000000242144,2619113.329999999608845,10159258.190000001341105
20190926,2524801.120000000111759,2509858.000000000465661,2446830.799999999813735,2658337.089999999850988,10139827.010000001639128
20190927,2512515.379999999888241,2502957.400000000372529,2442083.549999999813735,2662374.829999999608845,10119931.160000000149012
20190930,2571647.680000000167638,2539924.900000000372529,2456894.969999999739230,2708808.839999999850988,10277276.390000000596046
20191001,2578766.520000000018626,2501971.600000000093132,2468478.260000000242144,2661509.599999999627471,10210725.980000000447035
20191002,2514122.860000000335276,2434444.300000000279397,2506646.149999999906868,2638725.209999999497086,10093938.519999999552965
20191003,2535479.379999999888241,2465989.900000000372529,2491265.060000000055879,2659779.139999999664724,10152513.480000000447035
20191004,2606552.959999999962747,2509858.000000000465661,2538167.889999999664724,2684293.989999999292195,10338872.839999999850988
20191007,2607127.060000000055879,2495071.000000000000000,2528673.389999999664724,2687178.089999999850988,10318049.539999999105930
20191008,2576584.940000000409782,2451202.899999999906868,2503607.910000000149012,2646223.869999999646097,10177619.619999999180436
20191009,2606782.600000000093132,2488170.399999999906868,2453856.729999999981374,2668431.439999999478459,10217241.169999999925494
20191010,2641917.520000000018626,2519223.100000000093132,2450818.489999999757856,2682275.119999999646097,10294234.229999998584390
20191011,2712187.360000000335276,2567527.300000000279397,2493923.520000000018626,2707655.199999999720603,10481293.379999998956919
20191014,2708283.479999999981374,2545346.800000000279397,2482340.229999999981374,2736496.199999999720603,10472466.709999999031425
20191015,2701968.379999999888241,2595129.700000000186265,2522596.910000000149012,2733900.509999999776483,10553595.500000000000000
20191016,2691060.479999999981374,2585271.700000000186265,2566841.279999999795109,2736496.199999999720603,10579669.659999998286366
20191017,2701509.100000000093132,2556190.600000000093132,2585830.279999999795109,2756108.079999999608845,10599638.060000000521541
20191018,2714483.760000000242144,2531545.600000000093132,2424993.450000000186265,2771682.219999999273568,10442705.029999999329448
20191021,2761559.959999999962747,2569498.900000000372529,2431069.930000000167638,2775143.139999999664724,10537271.929999999701977
20191022,2755244.860000000335276,2563584.100000000093132,2453476.949999999720603,2757261.719999999273568,10529567.629999998956919
20191023,2792216.900000000372529,2549290.000000000000000,2466769.250000000000000,2662663.239999999292195,10470939.390000000596046
20191024,2796809.700000000186265,2574427.899999999906868,2421195.649999999906868,2639013.619999999646097,10431446.869999999180436
20191025,2831255.700000000186265,2782924.600000000093132,2437336.299999999813735,2622285.839999999850988,10673802.440000001341105
20191028,2859616.240000000223517,2797711.600000000093132,2453097.169999999925494,2620266.969999999273568,10730691.979999998584390
20191029,2793479.919999999925494,2777009.800000000279397,2451957.830000000074506,2574986.599999999627471,10597434.150000000372529
20191030,2793135.459999999962747,2789825.200000000186265,2522596.910000000149012,2601231.909999999683350,10706789.480000000447035
20191031,2856286.459999999962747,2786374.900000000372529,2507405.709999999962747,2582773.669999999459833,10732840.740000000223517
20191101,2937349.379999999888241,2785389.100000000093132,2491454.949999999720603,2572102.500000000000000,10786295.929999999701977
20191104,2956639.140000000130385,2839608.100000000093132,2473035.619999999646097,2591714.379999999422580,10860997.239999998360872
20191105,2952390.800000000279397,2836650.700000000186265,2476643.529999999795109,2592291.199999999720603,10857976.229999998584390
20191106,2953653.820000000298023,2839115.200000000186265,2486897.589999999850988,2580754.799999999813735,10860421.410000000149012
20191107,2978799.400000000372529,2839115.200000000186265,2495822.419999999925494,2607288.520000000018626,10921025.540000000968575
20191108,2986951.620000000111759,2872139.500000000465661,2525635.149999999906868,2590272.329999999608845,10974998.600000001490116
20191111,3010604.540000000037253,2876082.700000000186265,2506266.369999999646097,2597194.169999999459833,10990147.779999999329448
20191112,3007848.859999999869615,2868689.200000000186265,2494303.299999999813735,2581331.619999999646097,10952172.980000000447035
20191113,3036668.680000000633299,2853409.300000000279397,2492784.180000000167638,2632957.009999999776483,11015819.169999999925494
20191114,3015656.620000000111759,2849466.100000000093132,2486897.589999999850988,2632380.189999999478459,10984400.500000000000000
20191115,3051480.459999999962747,2856859.600000000093132,2562473.810000000055879,2683428.759999999776483,11154242.630000000819564
20191118,3066866.340000000316650,2871153.700000000186265,2560385.020000000018626,2716307.500000000000000,11214712.560000000521541
20191119,3057565.920000000391155,2876082.700000000186265,2560195.129999999888241,2699868.129999999422580,11193711.879999998956919
20191120,3021971.720000000204891,2853902.200000000186265,2581462.810000000055879,2683717.169999999459833,11141053.900000000372529
20191121,3008422.959999999962747,2869675.000000000000000,2590957.310000000055879,2658048.679999999701977,11127103.949999999254942
20191122,3005782.099999999627471,2839608.100000000093132,2621909.379999999888241,2692081.059999999590218,11159380.639999996870756
20191125,3058484.479999999981374,2898756.100000000093132,2605009.169999999925494,2679391.020000000018626,11241640.769999999552965
20191126,3034601.920000000391155,2903192.200000000186265,2604819.279999999795109,2691792.649999999441206,11234406.050000000745058
20191127,3075363.020000000018626,2883969.100000000093132,2615832.899999999906868,2715153.859999999869615,11290318.879999998956919
20191129,3068588.640000000130385,2861295.700000000186265,2610895.760000000242144,2696407.209999999497086,11237187.309999998658895
20191202,3033109.260000000242144,2842072.600000000093132,2608427.189999999944121,2698426.079999999608845,11182035.130000000819564
20191203,2979029.040000000037253,2763701.500000000000000,2604629.389999999664724,2666700.979999999515712,11014060.910000000149012
20191204,3005322.820000000298023,2761237.000000000465661,2646784.969999999739230,2703040.639999999664724,11116385.429999999701977
20191205,3049413.699999999720603,2764194.399999999906868,2650202.989999999757856,2762741.509999999776483,11226552.599999999627471
20191206,3108316.359999999869615,2800176.100000000093132,2665773.969999999739230,2797639.119999999646097,11371905.549999998882413
20191209,3064799.580000000540167,2786374.900000000372529,2668052.649999999906868,2786967.949999999720603,11306195.080000000074506
20191210,3082711.500000000465661,2789332.300000000279397,2658368.260000000242144,2797927.529999999795109,11328339.589999999850988
20191211,3109005.279999999795109,2812991.500000000000000,2677167.369999999646097,2802830.500000000000000,11401994.649999998509884
20191212,3116927.859999999869615,2836650.700000000186265,2684003.410000000149012,2818404.639999999664724,11455986.609999999403954
20191213,3159296.439999999944121,2848480.300000000279397,2684762.969999999739230,2819846.689999999478459,11512386.400000000372529
20191216,3213376.660000000149012,2844044.200000000186265,2692548.459999999962747,2849841.329999999608845,11599810.650000000372529
20191217,3219691.760000000242144,2824328.200000000186265,2726158.989999999757856,2874067.770000000018626,11644246.720000000670552
20191218,3211998.820000000298023,2817920.500000000465661,2719133.060000000055879,2900601.489999999292195,11649653.870000001043081
20191219,3215213.779999999795109,2856859.600000000093132,2760149.299999999813735,2917329.270000000018626,11749551.949999999254942
20191220,3208554.220000000204891,2905656.700000000186265,2773631.489999999757856,2883008.479999999515712,11770850.890000000596046
20191223,3260912.140000000130385,2919457.899999999906868,2780847.310000000055879,2885315.759999999776483,11846533.109999999403954
