訓練日期,20171106 - 20180208
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11654761.139999998733401
真實報酬,1654761.139999998733401

夏普值報酬,0.156776114000000
夏普值風險,0.066438163718947
夏普值,2.359729788186336

預期報酬,37782.214502108567103
風險,204053.264077949890634
趨勢值,0.185158589218526
找到最佳解世代,1603
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
BA[2](3),NKE[19](2),WMT[28](5),
Stock#,BA[2](3),NKE[19](2),WMT[28](5),
張數,12734,59833,37169,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,208.500000000000000,36.569999999832362,17.079999999608845,
20171106,3362875.879999999888241,3353077.889999999664724,3296907.379999999888241,10012862.149999998509884
20171107,3389107.919999999925494,3299826.519999999552965,3306199.629999999888241,9995135.070000000298023
20171108,3381976.879999999888241,3336324.649999999906868,3354891.020000000018626,10073193.549999998882413
20171109,3345430.299999999813735,3358462.859999999869615,3356377.779999999329448,10060271.939999999478459
20171110,3321872.400000000372529,3356069.540000000037253,3379422.559999999590218,10057365.500000000000000
20171113,3341864.780000000260770,3345299.599999999627471,3382024.389999999199063,10069189.769999999552965
20171114,3333460.339999999850988,3349487.909999999683350,3385741.289999999571592,10068690.539999999105930
20171115,3347467.740000000223517,3388379.359999999869615,3338908.349999999627471,10074756.449999999254942
20171116,3358164.299999999813735,3424279.159999999683350,3702792.859999999869615,10485237.319999998435378
20171117,3339827.339999999850988,3541551.839999999850988,3622879.509999999776483,10504259.689999999478459
20171120,3370006.919999999925494,3545141.819999999832362,3623251.199999999720603,10538400.939999999478459
20171121,3400059.160000000149012,3553518.439999999944121,3587568.959999999497086,10541147.559999998658895
20171122,3376628.599999999627471,3534371.879999999888241,3583480.369999999646097,10494481.849999999627471
20171124,3385924.419999999925494,3549330.129999999888241,3591285.859999999869615,10526541.410000000149012
20171127,3382104.219999999739230,3567878.359999999869615,3591285.859999999869615,10541269.439999999478459
20171128,3412793.160000000149012,3564886.709999999962747,3596861.209999999497086,10574542.080000000074506
20171129,3429474.700000000186265,3611556.449999999720603,3626224.719999999739230,10667256.870000001043081
20171130,3524979.700000000186265,3615146.429999999701977,3613958.949999999720603,10754086.080000000074506
20171201,3455961.419999999925494,3582836.609999999869615,3618419.229999999515712,10657218.259999997913837
20171204,3539878.480000000447035,3595999.870000000111759,3605781.770000000018626,10741661.120000001043081
20171205,3508934.860000000335276,3615146.429999999701977,3636260.349999999627471,10760342.640000000596046
20171206,3543698.679999999701977,3573263.329999999608845,3615817.399999999441206,10732780.410000000149012
20171207,3590814.480000000447035,3625916.370000000111759,3597232.899999999441206,10813964.750000000000000
20171208,3640859.099999999627471,3667799.469999999739230,3588684.029999999329448,10897343.599999997764826
20171211,3605967.940000000409782,3704297.599999999627471,3602808.250000000000000,10913074.789999999105930
20171212,3692304.459999999962747,3719854.179999999701977,3594259.379999999888241,11006419.019999999552965
20171213,3716499.059999999590218,3847298.469999999739230,3633658.520000000018626,11197457.049999998882413
20171214,3742476.419999999925494,3861060.060000000055879,3610242.049999999348074,11213779.529999999329448
20171215,3743240.459999999962747,3876616.640000000130385,3609498.669999999459833,11229356.769999999552965
20171218,3771255.259999999776483,3877813.299999999813735,3638862.179999999701977,11287931.739999998360872
20171219,3785390.000000000000000,3843708.489999999757856,3672314.279999999329448,11301413.769999999552965
20171220,3793667.099999999627471,3804817.040000000037253,3670455.829999999608845,11268940.969999998807907
20171221,3757120.519999999552965,3875419.979999999515712,3644809.219999999739230,11277350.719999998807907
20171222,3758011.900000000372529,3786867.139999999664724,3650384.569999999366701,11195264.609999999403954
20171226,3761322.740000000223517,3808407.019999999552965,3685695.119999999646097,11255425.879999998956919
20171227,3764633.580000000074506,3766523.919999999925494,3689412.020000000018626,11220570.519999999552965
20171228,3773929.400000000372529,3766523.919999999925494,3694615.679999999701977,11235070.000000000000000
20171229,3755592.440000000409782,3742590.719999999739230,3670455.829999999608845,11168639.990000000223517
20180102,3780169.059999999590218,3798833.739999999757856,3664508.789999999571592,11243512.589999997988343
20180103,3792393.700000000186265,3798235.409999999683350,3696474.129999999888241,11287104.239999998360872
20180104,3778004.280000000260770,3795842.089999999850988,3699819.339999999850988,11273666.710000000894070
20180105,3932977.059999999590218,3828151.909999999683350,3721749.049999999348074,11482879.019999997690320
20180108,3949658.599999999627471,3862256.719999999739230,3776759.169999999459833,11588675.489999998360872
20180109,4055096.120000000111759,3834733.540000000037253,3731412.989999999757856,11621243.650000000372529
20180110,4078399.339999999850988,3842511.829999999608845,3704651.309999999590218,11625563.480000000447035
20180111,4178488.580000000074506,3846700.140000000130385,3717660.459999999497086,11742850.179999999701977
20180112,4281506.639999999664724,3869436.679999999701977,3749254.109999999869615,11900198.429999999701977
20180116,4268135.940000000409782,3794645.429999999701977,3742563.689999999478459,11805346.059999998658895
20180117,4469969.839999999850988,3817980.299999999813735,3817273.379999999888241,12105224.519999999552965
20180118,4331805.940000000409782,3835930.199999999720603,3876743.779999999329448,12044480.919999999925494
20180119,4300862.320000000298023,4021412.499999999534339,3887522.789999999571592,12209798.609999999403954
20180122,4304300.500000000000000,3972349.439999999944121,3919488.129999999888241,12196139.070000000298023
20180123,4273611.559999999590218,4017224.189999999944121,3936214.179999999701977,12227050.929999999701977
20180124,4262150.959999999962747,4068680.569999999832362,3932125.589999999850988,12262958.119999999180436
20180125,4369371.240000000223517,4051328.999999999534339,3962232.479999999515712,12382933.719999998807907
20180126,4370771.980000000447035,4071073.890000000130385,4028764.989999999757856,12470611.860000001266599
20180129,4340210.379999999888241,4043550.709999999962747,4071881.029999999329448,12455643.119999999180436
20180130,4300607.639999999664724,4028592.459999999962747,4004233.449999999720603,12333434.549999998882413
20180131,4512756.080000000074506,4081843.829999999608845,3962232.479999999515712,12556833.390000000596046
20180201,4545482.459999999962747,4047739.020000000018626,3922089.959999999497086,12515312.439999999478459
20180202,4443228.440000000409782,4022010.829999999608845,3883434.199999999720603,12348674.469999998807907
20180205,4188166.419999999925494,3852683.439999999944121,3720262.289999999571592,11761113.149999998509884
20180206,4341356.440000000409782,3902344.829999999608845,3750369.179999999701977,11994071.449999999254942
20180207,4433168.580000000074506,3926876.359999999403954,3822848.729999999515712,12182894.669999998062849
20180208,4198098.940000000409782,3739000.739999999757856,3717660.459999999497086,11654761.139999998733401
