訓練日期,20150415 - 20150716
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11098870.849999999627471
真實報酬,1098870.849999999627471

夏普值報酬,0.101187085000000
夏普值風險,0.026044804238204
夏普值,3.885115974554871

預期報酬,14385.939160518868448
風險,84836.732643709823606
趨勢值,0.169572055785502
找到最佳解世代,2832
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
DIS[6](1),JPM[13](2),
Stock#,DIS[6](1),JPM[13](2),
張數,46877,79314,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,99.179999999701977,45.440000000409782,
20150415,5015000.639999999664724,5092797.379999999888241,10107798.019999999552965
20150416,5067502.879999999888241,5061071.780000000260770,10128574.660000000149012
20150417,5001406.309999999590218,4984137.200000001117587,9985543.510000001639128
20150420,5073128.120000000111759,5015862.800000000745058,10088990.920000001788139
20150421,5047814.540000000037253,4942100.780000000260770,9989915.320000000298023
20150422,5060002.559999999590218,4992068.600000000558794,10052071.160000000149012
20150423,5109692.179999999701977,4980964.640000000596046,10090656.820000000298023
20150424,5134536.989999999292195,4965101.840000000782311,10099638.830000000074506
20150427,5164069.500000000000000,4944480.200000001117587,10108549.700000001117587
20150428,5152819.019999999552965,4977792.080000000074506,10130611.099999999627471
20150429,5147662.549999999813735,5044415.840000000782311,10192078.390000000596046
20150430,5096566.620000000111759,5017449.080000000074506,10114015.699999999254942
20150501,5180945.219999999739230,5045208.980000000447035,10226154.199999999254942
20150504,5204852.489999999292195,5133247.520000000484288,10338100.009999999776483
20150505,5194539.549999999813735,5107867.040000000968575,10302406.589999999850988
20150506,5143443.620000000111759,5069796.320000000298023,10213239.940000001341105
20150507,5121880.200000000186265,5115798.440000000409782,10237678.640000000596046
20150508,5161725.649999999441206,5194319.299999999813735,10356044.949999999254942
20150511,5090941.379999999888241,5191146.740000000223517,10282088.120000001043081
20150512,5120942.659999999217689,5184008.480000000447035,10304951.140000000596046
20150513,5118598.809999999590218,5196698.719999999739230,10315297.529999999329448
20150514,5153287.790000000037253,5238735.140000000596046,10392022.929999999701977
20150515,5170632.279999999329448,5225251.759999999776483,10395884.039999999105930
20150518,5172038.589999999850988,5268081.320000000298023,10440119.910000000149012
20150519,5182820.299999999813735,5314876.580000001005828,10497696.880000000819564
20150520,5165944.580000000074506,5272840.160000001080334,10438784.740000002086163
20150521,5174851.209999999962747,5286323.540000000968575,10461174.750000000000000
20150522,5168757.200000000186265,5272047.020000000484288,10440804.220000000670552
20150526,5130318.059999999590218,5213354.660000001080334,10343672.720000000670552
20150527,5173913.669999999925494,5272047.020000000484288,10445960.690000001341105
20150528,5181413.989999999292195,5250632.240000000223517,10432046.230000000447035
20150529,5173913.669999999925494,5217320.360000000335276,10391234.030000001192093
20150601,5201571.099999999627471,5241114.560000000521541,10442685.660000000149012
20150602,5191726.929999999701977,5236355.719999999739230,10428082.649999998509884
20150603,5211415.269999999552965,5290289.240000000223517,10501704.509999999776483
20150604,5170632.279999999329448,5260943.060000000521541,10431575.339999999850988
20150605,5170632.279999999329448,5347395.320000000298023,10518027.599999999627471
20150608,5123286.509999999776483,5305358.900000000372529,10428645.410000000149012
20150609,5087191.219999999739230,5328359.960000000894070,10415551.179999999701977
20150610,5156569.179999999701977,5414019.080000001005828,10570588.260000001639128
20150611,5185632.919999999925494,5434640.719999999739230,10620273.640000000596046
20150612,5154225.330000000074506,5413225.940000000409782,10567451.269999999552965
20150615,5165007.040000000037253,5392604.299999999813735,10557611.339999999850988
20150616,5206258.799999999813735,5422743.620000001043081,10629002.420000001788139
20150617,5226415.909999999217689,5404501.400000000372529,10630917.309999998658895
20150618,5307513.120000000111759,5455262.360000000335276,10762775.480000000447035
20150619,5279386.919999999925494,5399742.560000000521541,10679129.480000000447035
20150622,5322044.989999999292195,5469538.879999999888241,10791583.869999999180436
20150623,5363296.750000000000000,5532196.940000000409782,10895493.690000001341105
20150624,5333295.469999999739230,5474297.719999999739230,10807593.189999999478459
20150625,5365171.830000000074506,5444951.540000000968575,10810123.370000001043081
20150626,5390485.409999999217689,5468745.740000000223517,10859231.149999998509884
20150629,5299544.029999999329448,5329946.240000000223517,10629490.269999999552965
20150630,5350639.959999999962747,5374362.080000001005828,10725002.040000000968575
20150701,5397048.189999999478459,5398949.419999999925494,10795997.609999999403954
20150702,5389547.870000000111759,5355326.719999999739230,10744874.589999999850988
20150706,5423768.080000000074506,5340257.060000000521541,10764025.140000000596046
20150707,5489395.879999999888241,5298220.640000000596046,10787616.519999999552965
20150708,5399860.809999999590218,5189560.460000000894070,10589421.269999999552965
20150709,5419080.379999999888241,5243493.980000000447035,10662574.359999999403954
20150710,5458457.059999999590218,5318049.140000000596046,10776506.199999999254942
20150713,5533929.029999999329448,5400535.700000001117587,10934464.730000000447035
20150714,5524553.629999999888241,5475884.000000000931323,11000437.630000000819564
20150715,5545648.279999999329448,5487781.100000000558794,11033429.379999998956919
20150716,5581743.569999999366701,5517127.280000000260770,11098870.849999999627471
