訓練日期,20170713 - 20171012
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10901655.839999999850988
真實報酬,901655.839999999850988

夏普值報酬,0.081465584000000
夏普值風險,0.023791876478072
夏普值,3.424092423944917

預期報酬,13100.825368387349954
風險,49402.335676004491688
趨勢值,0.265186355849783
找到最佳解世代,2879
找到最佳解實驗#,1
找到最佳解次數,24

stock[index](rank)
投資組合檔數,7
AXP[1](13),CAT[3](1),MCD[15](18),PFE[20](12),PG[21](7),UNH[23](5),V[25](2),
Stock#,AXP[1](13),CAT[3](1),MCD[15](18),PFE[20](12),PG[21](7),UNH[23](5),V[25](2),
張數,16842,13110,9123,43003,16427,7652,14853,
分配資金,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,
剩餘資金,32.560000000055879,105.400000000139698,91.659999999916181,11.340000000083819,79.080000000074506,19.120000000111759,9.459999999962747,
20170713,1437834.100000000093132,1422147.100000000093132,1414521.579999999841675,1431151.180000000167638,1424299.980000000214204,1419312.080000000074506,1425006.280000000027940,9974275.300000000745058
20170714,1436318.320000000065193,1426080.100000000093132,1416711.099999999860302,1437601.630000000121072,1430870.780000000027940,1430177.920000000158325,1439710.750000000000000,10017473.599999999627471
20170717,1435307.800000000046566,1426997.800000000279397,1416528.639999999897555,1429861.090000000083819,1438262.929999999934807,1425969.320000000065193,1438225.449999999953434,10011156.029999999329448
20170718,1440360.399999999906868,1403793.100000000093132,1404668.739999999990687,1434591.420000000158325,1456168.360000000102445,1429795.320000000065193,1449365.199999999953434,10018745.539999999105930
20170719,1447265.620000000111759,1414018.900000000139698,1404030.129999999888241,1445772.199999999953434,1451404.530000000027940,1447701.000000000000000,1459316.709999999962747,10069512.089999999850988
20170720,1437497.260000000009313,1407070.600000000093132,1406949.489999999990687,1442331.959999999962747,1455511.280000000027940,1465377.120000000111759,1457237.290000000037253,10071978.000000000000000
20170721,1441539.340000000083819,1397500.300000000279397,1404303.819999999832362,1439751.780000000027940,1455675.550000000046566,1467519.680000000167638,1479368.259999999776483,10085661.730000000447035
20170724,1431602.560000000055879,1418345.200000000186265,1385419.209999999962747,1432871.300000000046566,1448611.940000000176951,1460709.399999999906868,1490805.070000000065193,10068367.680000001564622
20170725,1438507.780000000027940,1501724.800000000279397,1451287.269999999785796,1423410.640000000130385,1464381.860000000102445,1456959.920000000158325,1485160.929999999934807,10221436.200000001117587
20170726,1436655.159999999916181,1488352.600000000093132,1427932.389999999897555,1414380.010000000009313,1467010.179999999934807,1459638.120000000111759,1497934.509999999776483,10191905.969999998807907
20170727,1412234.260000000009313,1499496.100000000093132,1431946.509999999776483,1419110.340000000083819,1489679.440000000176951,1445711.480000000214204,1478922.669999999925494,10177103.800000000745058
20170728,1428234.159999999916181,1495956.400000000139698,1421911.209999999962747,1425560.790000000037253,1481958.750000000000000,1462698.920000000158325,1472684.410000000149012,10189007.640000000596046
20170731,1435476.220000000204891,1493989.900000000139698,1415433.879999999888241,1425990.819999999832362,1491979.219999999972060,1467749.240000000223517,1478774.139999999897555,10209396.420000001788139
20170801,1435644.639999999897555,1482846.400000000139698,1405398.579999999841675,1422550.580000000074506,1496578.780000000027940,1470963.080000000074506,1498231.570000000065193,10212216.630000000819564
20170802,1436655.159999999916181,1482715.300000000279397,1428662.229999999981374,1415670.100000000093132,1495593.160000000149012,1476855.120000000111759,1504321.300000000046566,10240475.370000001043081
20170803,1440697.240000000223517,1488877.000000000232831,1411602.219999999972060,1437601.630000000121072,1492636.300000000046566,1490399.160000000149012,1494072.729999999981374,10255889.280000001192093
20170804,1447939.300000000046566,1499233.900000000139698,1403391.519999999785796,1446632.260000000009313,1489515.170000000158325,1491240.880000000121072,1498528.629999999888241,10276484.660000000149012
20170807,1445918.260000000009313,1503953.500000000000000,1413882.969999999972060,1432441.270000000251457,1502163.959999999962747,1490475.680000000167638,1507440.429999999934807,10296279.070000000298023
20170808,1447434.040000000037253,1500020.500000000000000,1413426.819999999832362,1431151.180000000167638,1504463.739999999990687,1491393.920000000158325,1504321.300000000046566,10292214.500000000000000
