訓練日期,20111012 - 20120113
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11883814.649999998509884
真實報酬,1883814.649999998509884

夏普值報酬,0.179681465000000
夏普值風險,0.053098677726403
夏普值,3.383915997415776

預期報酬,28684.038231997012190
風險,155902.177677382045658
趨勢值,0.183987412230730
找到最佳解世代,1745
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
HD[9](1),MCD[15](2),
Stock#,HD[9](1),MCD[15](2),
張數,144050,55965,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,24.500000000000000,86.899999999441206,
20111012,5001440.500000000000000,4945154.299999999813735,9946594.800000000745058
20111013,4956784.999999999068677,4998321.049999999813735,9955106.049999998882413
20111014,5048977.000000000000000,5033578.999999999068677,10082556.000000000000000
20111017,4991357.000000000000000,4961943.799999998882413,9953300.799999998882413
20111018,5178622.000000000000000,5016789.499999999068677,10195411.500000000000000
20111019,5099394.500000000000000,5015670.199999999254942,10115064.699999999254942
20111020,5146931.000000000000000,4981531.549999999813735,10128462.550000000745058
20111021,5309707.500000000000000,5166775.699999999254942,10476483.199999999254942
20111024,5286659.500000000000000,5149426.549999999813735,10436086.050000000745058
20111025,5191586.500000000000000,5135994.949999999254942,10327581.449999999254942
20111026,5265052.000000000000000,5136554.599999999627471,10401606.599999999627471
20111027,5383173.000000000000000,5233374.049999999813735,10616547.050000000745058
20111028,5203110.500000000000000,5221061.750000000000000,10424172.250000000000000
20111031,5157014.500000000000000,5196437.149999999441206,10353451.649999998509884
20111101,5119561.500000000000000,5143830.049999998882413,10263391.549999998882413
20111102,5184384.000000000000000,5178528.349999999627471,10362912.349999999627471
20111103,5250647.000000000000000,5204831.899999999441206,10455478.899999998509884
20111104,5242004.000000000000000,5250163.549999999813735,10492167.550000000745058
20111107,5378851.500000000931323,5295495.199999999254942,10674346.699999999254942
20111108,5465281.500000000000000,5294375.899999999441206,10759657.399999998509884
20111109,5352922.499999999068677,5185244.149999999441206,10538166.649999998509884
20111110,5358684.500000000000000,5219382.799999999813735,10578067.300000000745058
20111111,5482567.500000000000000,5303330.299999999813735,10785897.800000000745058
20111114,5509937.000000000000000,5264154.799999999813735,10774091.800000000745058
20111115,5484008.000000000000000,5287100.449999999254942,10771108.449999999254942
20111116,5450876.500000000931323,5213226.649999999441206,10664103.150000000372529
20111117,5419185.500000000000000,5165096.750000000000000,10584282.250000000000000
20111118,5456638.500000000000000,5190280.999999999068677,10646919.500000000000000
20111121,5338517.500000000000000,5164537.099999999627471,10503054.599999999627471
20111122,5344279.500000000000000,5185244.149999999441206,10529523.649999998509884
20111123,5260730.500000000000000,5141591.449999999254942,10402321.949999999254942
20111125,5253528.000000000000000,5154463.399999999441206,10407991.399999998509884
20111128,5373089.500000000000000,5247365.299999999813735,10620454.800000000745058
20111129,5612212.500000000000000,5230575.799999998882413,10842788.299999998882413
20111130,5649665.500000000000000,5345863.699999999254942,10995529.199999999254942
20111201,5666951.500000000931323,5344744.399999999441206,11011695.900000000372529
20111202,5753381.500000000000000,5355937.399999999441206,11109318.899999998509884
20111205,5795156.000000000000000,5336349.649999999441206,11131505.649999998509884
20111206,5808120.500000000000000,5373286.549999999813735,11181407.050000000745058
20111207,5867181.000000000000000,5397911.149999999441206,11265092.149999998509884
20111208,5749059.999999999068677,5424214.699999999254942,11173274.699999999254942
20111209,5795156.000000000000000,5486335.849999999627471,11281491.849999999627471
20111212,5769227.000000000000000,5511520.099999999627471,11280747.099999999627471
20111213,5691440.000000000000000,5484656.899999999441206,11176096.899999998509884
20111214,5638141.500000000000000,5462830.549999999813735,11100972.050000000745058
20111215,5678475.500000000000000,5492491.999999999068677,11170967.500000000000000
20111216,5822525.500000000000000,5456114.749999999068677,11278640.250000000000000
20111219,5790834.500000000000000,5442123.499999999068677,11232958.000000000000000
20111220,6042922.000000000000000,5530548.199999999254942,11573470.199999999254942
20111221,6050124.500000000000000,5551814.899999999441206,11601939.399999998509884
20111222,6038600.500000000000000,5518235.899999999441206,11556836.399999998509884
20111223,6063089.000000000931323,5604981.649999999441206,11668070.650000000372529
20111227,6081815.500000000000000,5627367.649999999441206,11709183.149999998509884
20111228,5982421.000000000000000,5573081.599999999627471,11555502.599999999627471
20111229,6051565.000000000000000,5641918.549999999813735,11693483.550000000745058
20111230,6055886.500000000000000,5615055.349999999627471,11670941.849999999627471
20120103,6070291.500000000000000,5531667.500000000000000,11601959.000000000000000
20120104,6156721.500000000000000,5562448.249999999068677,11719169.750000000000000
20120105,6207139.000000000931323,5587072.849999999627471,11794211.850000001490116
20120106,6222984.500000000000000,5630165.899999999441206,11853150.399999998509884
20120109,6227306.000000000000000,5576439.499999999068677,11803745.500000000000000
20120110,6270521.000000000000000,5579797.399999999441206,11850318.399999998509884
20120111,6260437.500000000000000,5592669.349999999627471,11853106.849999999627471
20120112,6250354.000000000000000,5628486.949999999254942,11878840.949999999254942
20120113,6267640.000000000000000,5616174.649999999441206,11883814.649999998509884
