訓練日期,20140826 - 20141125
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11503423.120000001043081
真實報酬,1503423.120000001043081

夏普值報酬,0.141642312000000
夏普值風險,0.041311333061727
夏普值,3.428655080879647

預期報酬,19801.083240271207615
風險,149210.641556546819629
趨勢值,0.132705570016379
找到最佳解世代,1830
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
KO[14](9),NKE[19](1),UNH[23](2),
Stock#,KO[14](9),NKE[19](1),UNH[23](2),
張數,80495,83312,39569,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,35.050000000279397,19.880000000353903,40.440000000409782,
20140826,3348627.050000000279397,3310838.760000000707805,3368153.720000000670552,10027620.530000001192093
20140827,3348627.050000000279397,3320836.200000000186265,3418010.660000000149012,10087474.910000000149012
20140828,3351041.900000000372529,3283345.800000000279397,3416427.900000000372529,10050816.600000001490116
20140829,3358286.450000000186265,3272515.240000000223517,3429881.360000000800937,10060684.050000000745058
20140902,3351846.850000000093132,3302507.560000000521541,3418406.350000000558794,10072761.760000001639128
20140903,3363116.150000000372529,3283345.800000000279397,3434233.950000000651926,10080696.900000002235174
20140904,3370360.700000000186265,3329167.400000000372529,3444917.580000000540167,10144446.680000001564622
20140905,3367945.850000000558794,3417478.120000000577420,3472220.190000000409782,10257645.160000000149012
20140908,3363116.150000000372529,3432474.280000000726432,3478551.230000000447035,10274142.660000002011657
20140909,3375995.350000000093132,3409146.920000000391155,3504271.080000000540167,10289414.350000001490116
20140910,3394509.200000000186265,3435806.760000000707805,3452435.690000000409782,10282752.650000002235174
20140911,3376800.300000000279397,3408313.800000000279397,3445708.960000000428408,10230824.060000000521541
20140912,3337357.750000000465661,3409146.920000000391155,3410096.860000000800937,10156602.530000001192093
20140915,3340577.550000000279397,3399982.600000000558794,3404161.510000000242144,10144722.660000000149012
20140916,3351846.850000000093132,3382487.080000000540167,3448874.480000000447035,10183209.410000000149012
20140917,3349432.000000000465661,3395817.000000000000000,3442147.750000000000000,10187397.750000000000000
20140918,3363921.100000000093132,3414978.760000000707805,3467471.910000000149012,10246372.770000001415610
20140919,3384849.800000000279397,3408313.800000000279397,3474198.640000000130385,10267363.240000000223517
20140922,3398533.950000000186265,3361659.080000000540167,3473011.570000000298023,10233205.600000001490116
