訓練日期,20161122 - 20170227
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11739160.589999999850988
真實報酬,1739160.589999999850988

夏普值報酬,0.165216059000000
夏普值風險,0.043953296072000
夏普值,3.758900327505774

預期報酬,24644.867152404847729
風險,92603.471873444796074
趨勢值,0.266133295586211
找到最佳解世代,1954
找到最佳解實驗#,1
找到最佳解次數,49

stock[index](rank)
投資組合檔數,4
AAPL[0](8),AXP[1](1),BA[2](2),DIS[6](3),
Stock#,AAPL[0](8),AXP[1](1),BA[2](2),DIS[6](3),
張數,22375,34945,17004,25606,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,41.250000000000000,34.699999999720603,71.919999999925494,86.220000000204891,
20161122,2501566.250000000000000,2506290.099999999627471,2542510.000000000000000,2502048.479999999981374,10052414.830000000074506
20161123,2488812.500000000000000,2546826.299999999348074,2546250.879999999888241,2516131.780000000260770,10098021.459999999031425
20161125,2501342.500000000000000,2546127.399999999906868,2551352.079999999608845,2530471.140000000130385,10129293.120000001043081
20161128,2496420.000000000000000,2520617.549999999348074,2546761.000000000000000,2534312.040000000037253,10098110.589999999850988
20161129,2493958.750000000000000,2498252.749999999534339,2578558.479999999515712,2552236.240000000223517,10123006.219999998807907
20161130,2472926.250000000000000,2517472.500000000000000,2560194.160000000149012,2538152.940000000409782,10088745.850000001490116
20161201,2449880.000000000000000,2534595.549999999813735,2591311.479999999515712,2533543.860000000335276,10109330.890000000596046
20161202,2459053.750000000000000,2511182.399999999906868,2588930.919999999925494,2522277.220000000204891,10081444.290000000968575
20161205,2441377.500000000000000,2517123.049999999813735,2587400.560000000055879,2559661.979999999981374,10105563.089999999850988
20161206,2460172.500000000000000,2526907.649999999906868,2588760.879999999888241,2577586.180000000167638,10153427.210000000894070
20161207,2484337.500000000000000,2596098.750000000000000,2621068.479999999515712,2611642.160000000149012,10313146.890000000596046
20161208,2508726.250000000000000,2617764.649999999441206,2642323.479999999515712,2647234.500000000000000,10416048.879999998956919
20161209,2549672.500000000000000,2612872.349999999627471,2661027.879999999888241,2685131.380000000353903,10508704.109999999403954
20161212,2535128.750000000000000,2571287.799999999813735,2672420.560000000055879,2664646.580000000074506,10443483.689999999478459
20161213,2577417.500000000000000,2580373.500000000000000,2663918.560000000055879,2659269.319999999832362,10480978.880000000819564
20161214,2577417.500000000000000,2588410.849999999627471,2626679.799999999813735,2664390.520000000018626,10456898.669999999925494
20161215,2591513.750000000000000,2618812.999999999534339,2614777.000000000000000,2673096.560000000055879,10498200.310000000521541
20161216,2594870.000000000000000,2620909.699999999720603,2627189.919999999925494,2660805.680000000167638,10503775.299999998882413
20161219,2609861.250000000000000,2605184.449999999720603,2655756.640000000130385,2696398.020000000018626,10567200.359999999403954
20161220,2616797.500000000000000,2623006.399999999906868,2659327.479999999515712,2700494.979999999981374,10599626.359999999403954
20161221,2619258.750000000000000,2632092.099999999627471,2677861.839999999850988,2703055.580000000074506,10632268.269999999552965
20161222,2602030.000000000000000,2606232.799999999813735,2677521.760000000242144,2699470.740000000223517,10585255.300000000745058
20161223,2607176.250000000000000,2619861.349999999627471,2683473.160000000149012,2692557.120000000577420,10603067.880000000819564
20161227,2623733.750000000000000,2620210.799999999813735,2677861.839999999850988,2693069.240000000223517,10614875.629999998956919
20161228,2612546.250000000000000,2598894.350000000093132,2654396.319999999832362,2670792.020000000018626,10536628.939999999478459
20161229,2611875.000000000000000,2583169.099999999627471,2647424.679999999701977,2677449.580000000074506,10519918.359999999403954
20161230,2591513.750000000000000,2588760.299999999813735,2647254.640000000130385,2668743.540000000037253,10496272.230000000447035
20170103,2598897.500000000000000,2633140.449999999720603,2669189.799999999813735,2716370.700000000186265,10617598.449999999254942
20170104,2595988.750000000000000,2664940.399999999906868,2697246.399999999906868,2751194.860000000335276,10709370.410000000149012
20170105,2609190.000000000000000,2632092.099999999627471,2698776.760000000242144,2749658.500000000000000,10689717.359999999403954
20170106,2638277.500000000000000,2637333.849999999627471,2705408.319999999832362,2790628.100000000093132,10771647.769999999552965
20170109,2662442.500000000000000,2650962.399999999906868,2692145.199999999720603,2774752.380000000353903,10780302.480000000447035
20170110,2665127.500000000000000,2678568.949999999720603,2704898.199999999720603,2775264.500000000000000,10823859.149999998509884
20170111,2679447.500000000000000,2687654.649999999441206,2710509.520000000018626,2802406.860000000335276,10880018.530000001192093
20170112,2668260.000000000000000,2686606.299999999348074,2691635.079999999608845,2753499.400000000372529,10800000.779999999329448
20170113,2663561.250000000000000,2677520.600000000093132,2700817.240000000223517,2767070.580000000074506,10808969.669999999925494
20170117,2685041.250000000000000,2676821.699999999720603,2681092.599999999627471,2764766.040000000037253,10807721.589999999850988
20170118,2684817.500000000000000,2707922.749999999534339,2692145.199999999720603,2769631.180000000167638,10854516.629999998956919
20170119,2680118.750000000000000,2679966.749999999534339,2703707.919999999925494,2747097.900000000372529,10810891.320000000298023
20170120,2685041.250000000000000,2662843.699999999720603,2712720.040000000037253,2756828.180000000167638,10817433.169999999925494
20170123,2686831.250000000000000,2654806.349999999627471,2683983.279999999795109,2743000.940000000409782,10768621.820000000298023
20170124,2684370.000000000000000,2705826.049999999813735,2730064.120000000111759,2762973.620000000577420,10883233.790000000968575
20170125,2727106.250000000000000,2686955.749999999534339,2845861.360000000335276,2766558.460000000428408,11026481.820000000298023
20170126,2728448.750000000000000,2688353.549999999813735,2875788.399999999906868,2767070.580000000074506,11059661.279999999329448
20170127,2728672.500000000000000,2685557.949999999720603,2851642.719999999739230,2798822.020000000018626,11064695.189999999478459
20170130,2721512.500000000000000,2700584.299999999813735,2815424.199999999720603,2840815.860000000335276,11078336.859999999403954
20170131,2715247.500000000000000,2669133.799999999348074,2778865.599999999627471,2833390.120000000577420,10996637.019999999552965
20170201,2880822.500000000000000,2682412.899999999906868,2788217.799999999813735,2850034.020000000018626,11201487.220000000670552
20170202,2875900.000000000000000,2673676.649999999906868,2759140.959999999962747,2832365.880000000353903,11141083.490000000223517
20170203,2888206.250000000465661,2727142.500000000000000,2761521.520000000018626,2824428.020000000018626,11201298.289999999105930
20170206,2915280.000000000000000,2719454.599999999627471,2788387.839999999850988,2805735.640000000130385,11228858.080000000074506
20170207,2943025.000000000000000,2715960.099999999627471,2831237.919999999925494,2791140.220000000204891,11281363.240000000223517
20170208,2954436.250000000000000,2718755.699999999720603,2785497.160000000149012,2791140.220000000204891,11249829.330000000074506
20170209,2962938.749999999534339,2732034.799999999813735,2793489.040000000037253,2803687.160000000149012,11292149.750000000000000
20170210,2956226.250000000000000,2742518.299999999813735,2826646.839999999850988,2797797.780000000260770,11323189.170000001788139
20170213,2982405.000000000000000,2757544.649999999441206,2857254.040000000037253,2807784.120000000577420,11404987.810000000521541
20170214,3021113.750000000000000,2775017.149999999441206,2865245.919999999925494,2825196.200000000186265,11486573.019999999552965
20170215,3032077.500000000000000,2781656.699999999720603,2878849.120000000111759,2821355.300000000279397,11513938.620000001043081
20170216,3028497.500000000000000,2778511.649999999906868,2904525.160000000149012,2834926.479999999981374,11546460.790000000968575
20170217,3036776.250000000000000,2785500.649999999441206,2936832.760000000242144,2818282.580000000074506,11577392.240000000223517
20170221,3058703.749999999534339,2794586.349999999627471,2985294.160000000149012,2817002.280000000260770,11655586.539999999105930
20170222,3067877.500000000465661,2790742.399999999906868,2981893.360000000335276,2819818.940000000409782,11660332.200000002980232
20170223,3054900.000000000000000,2797381.949999999720603,3007399.360000000335276,2809832.600000000093132,11669513.909999998286366
20170224,3057808.750000000000000,2787247.899999999906868,3017261.679999999701977,2824940.140000000130385,11687258.470000000670552
20170227,3063850.000000000000000,2801575.349999999627471,3051099.640000000130385,2822635.600000000093132,11739160.589999999850988
