訓練日期,20180518 - 20180820
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11274990.660000000149012
真實報酬,1274990.660000000149012

夏普值報酬,0.118799066000000
夏普值風險,0.033220020050935
夏普值,3.576128666323774

預期報酬,18017.290716062569118
風險,75518.995766898922739
趨勢值,0.238579585614138
找到最佳解世代,3243
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
HD[9](11),MSFT[18](5),PFE[20](9),PG[21](1),VZ[26](4),
Stock#,HD[9](11),MSFT[18](5),PFE[20](9),PG[21](1),VZ[26](4),
張數,10791,20794,56006,27041,41797,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,103.969999999972060,33.079999999841675,25.739999999990687,47.640000000130385,13.550000000046566,
20180518,2022553.189999999944121,2003742.919999999925494,1996079.580000000074506,1986209.090000000316650,1995402.330000000074506,10003987.109999999403954
20180521,2048127.859999999869615,2029527.479999999748543,2005040.539999999804422,2002704.100000000093132,2024242.260000000009313,10109642.240000000223517
20180522,2016618.140000000130385,2027448.079999999841675,2000560.059999999823049,2001892.870000000111759,2040125.120000000111759,10086644.269999999552965
20180523,2014459.939999999944121,2051569.119999999878928,2014561.559999999823049,2005949.020000000251457,2030929.780000000260770,10117469.419999999925494
20180524,2019639.620000000111759,2044291.219999999972060,2010081.080000000074506,1994862.209999999962747,2033019.630000000121072,10101893.759999999776483
20180525,2016402.319999999832362,2045330.919999999925494,1998319.820000000065193,2009464.350000000093132,2028003.990000000223517,10097521.400000000372529
20180529,1996438.969999999972060,2038053.020000000018626,1999439.940000000176951,2002433.689999999944121,2014628.950000000186265,10050994.570000000298023
20180530,2018992.159999999916181,2057599.379999999888241,2019042.039999999804422,2025148.130000000121072,2031347.750000000000000,10152129.460000000894070
20180531,2013165.020000000018626,2055312.039999999804422,2012321.320000000065193,1978637.610000000102445,1992476.540000000037253,10051912.530000001192093
