訓練日期,20130809 - 20131108
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11071496.449999999254942
真實報酬,1071496.449999999254942

夏普值報酬,0.098449645000000
夏普值風險,0.029041156169569
夏普值,3.390004324385777

預期報酬,15862.519576682849220
風險,97839.338121238324675
趨勢值,0.162128238817670
找到最佳解世代,1880
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AAPL[0](6),BA[2](1),DD[7](4),UNH[23](21),
Stock#,AAPL[0](6),BA[2](1),DD[7](4),UNH[23](21),
張數,37959,23620,47564,34162,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,20.260000000242144,59.199999999720603,36.159999999683350,24.839999999850988,
20130809,2464318.540000000502914,2487953.799999999813735,2576578.039999999571592,2491459.500000000000000,10020309.879999998956919
20130812,2534542.689999999944121,2462207.999999999534339,2538526.839999999385327,2473012.020000000018626,10008289.549999998882413
20130813,2654872.720000000204891,2509211.799999999813735,2565638.319999999366701,2505807.539999999571592,10235530.379999998956919
20130814,2703080.649999999906868,2460318.399999999441206,2557076.799999999813735,2476428.219999999739230,10196904.069999998435378
20130815,2700043.930000000167638,2426541.799999999813735,2516647.399999999441206,2439191.640000000130385,10082424.769999999552965
20130816,2723958.100000000558794,2444020.599999999627471,2498573.079999999608845,2440216.500000000000000,10106768.279999999329448
20130819,2753186.530000000260770,2473545.599999999627471,2480974.399999999441206,2449781.859999999869615,10157488.389999998733401
20130820,2717125.479999999981374,2471419.799999999813735,2502853.839999999385327,2475403.359999999869615,10166802.479999998584390
20130821,2724337.689999999944121,2454413.399999999441206,2515696.119999999646097,2454564.539999999571592,10149011.749999998137355
20130822,2727374.410000000149012,2483465.999999999534339,2519025.599999999627471,2458663.979999999981374,10188529.990000000223517
20130823,2716745.890000000130385,2491496.799999999813735,2624142.039999999571592,2478136.319999999832362,10310521.049999998882413
20130826,2727374.410000000149012,2492677.799999999813735,2617958.719999999739230,2472670.399999999906868,10310681.330000000074506
20130827,2649558.459999999962747,2437879.399999999441206,2544234.519999999552965,2443291.079999999608845,10074963.459999999031425
20130828,2662084.930000000167638,2439296.599999999627471,2536624.279999999795109,2443974.319999999832362,10081980.129999998956919
20130829,2666260.419999999925494,2478505.799999999813735,2541380.679999999701977,2474720.119999999646097,10160867.019999999552965
20130830,2641966.660000000149012,2454649.599999999627471,2533294.799999999813735,2450806.719999999739230,10080717.779999999329448
20130903,2649558.459999999962747,2480395.399999999906868,2536148.639999999664724,2478819.560000000055879,10144922.059999998658895
20130904,2704219.419999999925494,2512518.599999999627471,2558979.359999999403954,2505807.539999999571592,10281524.919999998062849
20130905,2685619.510000000242144,2519132.199999999720603,2601786.959999999962747,2529379.319999999832362,10335917.990000000223517
