訓練日期,20130815 - 20131114
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11682394.109999999403954
真實報酬,1682394.109999999403954

夏普值報酬,0.159539411000000
夏普值風險,0.048203614045757
夏普值,3.309698124471729

預期報酬,23292.876487695502874
風險,143172.709046154486714
趨勢值,0.162690757497552
找到最佳解世代,2070
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
BA[2](2),NKE[19](1),UNH[23](26),
Stock#,BA[2](2),NKE[19](1),UNH[23](26),
張數,32002,103616,45983,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,4.680000000167638,6.279999999795109,25.330000000074506,
20130815,3287570.140000000130385,3289814.279999999795109,3283211.530000000260770,9860596.949999999254942
20130816,3311251.620000000111759,3298103.559999999590218,3284591.020000000484288,9893947.199999999254942
20130819,3351254.120000000111759,3351983.879999999888241,3297466.259999999776483,10000705.259999999776483
20130820,3348373.939999999944121,3348875.399999999906868,3331953.509999999776483,10029203.849999999627471
20130821,3325332.500000000000000,3322971.399999999906868,3303903.879999999888241,9952208.780000001192093
20130822,3364694.959999999962747,3360273.159999999683350,3309421.839999999850988,10034390.959999999031425
20130823,3375575.640000000130385,3326079.879999999888241,3335632.150000000372529,10037288.669999999925494
20130826,3377175.740000000223517,3311573.639999999664724,3328274.869999999646097,10017025.250000000000000
20130827,3302931.100000000093132,3254584.839999999850988,3288729.489999999757856,9846246.429999999701977
20130828,3304851.220000000204891,3283597.319999999832362,3289649.150000000372529,9878098.690000001341105
20130829,3357974.540000000502914,3288778.119999999646097,3331033.850000000093132,9977787.509999999776483
20130830,3325652.520000000018626,3254584.839999999850988,3298845.750000000000000,9879084.109999999403954
20130903,3360534.700000000186265,3331260.679999999701977,3336551.810000000055879,10028348.189999999478459
20130904,3404057.420000000391155,3374779.399999999906868,3372878.379999999888241,10151716.199999999254942
20130905,3413017.980000000447035,3387213.319999999366701,3404606.650000000372529,10204838.949999999254942
20130906,3394456.819999999832362,3366490.120000000111759,3405526.310000000055879,10166474.250000000000000
20130909,3430299.060000000055879,3388249.479999999981374,3414263.080000000074506,10232812.620000001043081
20130910,3461661.020000000018626,3461816.839999999385327,3431736.619999999646097,10355215.479999998584390
20130911,3495583.140000000130385,3502227.079999999608845,3457027.270000000484288,10454838.490000000223517
20130912,3513824.280000000260770,3527094.919999999925494,3436794.750000000000000,10477714.949999999254942
20130913,3562787.340000000316650,3518805.639999999664724,3424839.170000000391155,10506433.150000000372529
20130916,3701676.020000000018626,3533311.879999999888241,3454268.290000000502914,10689257.190000001341105
20130917,3747758.900000000372529,3539528.839999999385327,3417022.060000000055879,10704310.800000000745058
