訓練日期,20120606 - 20120906
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11797006.039999999105930
真實報酬,1797006.039999999105930

夏普值報酬,0.171000604000000
夏普值風險,0.046512422524190
夏普值,3.676450176532230

預期報酬,27301.868110393417737
風險,111102.464432753477013
趨勢值,0.245735936189951
找到最佳解世代,2173
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
AAPL[0](3),CSCO[4](23),MRK[17](8),WBA[27](17),WMT[28](10),
Stock#,AAPL[0](3),CSCO[4](23),MRK[17](8),WBA[27](17),WMT[28](10),
張數,24875,124069,53333,65402,30534,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,49.999999999767169,7.719999999972060,12.500000000000000,6.840000000083819,23.000000000000000,
20120606,2030844.999999999767169,2069478.639999999897555,2021333.199999999953434,2024852.760000000242144,2013129.620000000111759,10159639.219999998807907
20120607,2031591.249999999767169,2057071.739999999757856,2044266.389999999897555,2026160.800000000046566,2011297.580000000074506,10170387.759999997913837
20120608,2062187.500000000000000,2075682.090000000083819,2051199.679999999934807,2037933.160000000149012,2083052.479999999981374,10310054.910000000149012
20120611,2029849.999999999534339,2044664.840000000083819,2051733.010000000009313,2041857.280000000027940,2061984.020000000018626,10230089.150000000372529
20120612,2047511.249999999767169,2083126.229999999981374,2071999.550000000046566,2043819.340000000083819,2067785.479999999981374,10314241.849999999627471
20120613,2033332.499999999534339,2066997.260000000009313,2047999.699999999953434,2019620.600000000093132,2047938.379999999888241,10215888.440000001341105
20120614,2031093.750000000000000,2099255.200000000186265,2068799.570000000065193,2071288.180000000167638,2065037.419999999925494,10335474.120000001043081
20120615,2040297.499999999767169,2121587.620000000111759,2076799.519999999785796,2079790.440000000176951,2068701.500000000000000,10387176.580000000074506
20120618,2081590.000000000000000,2126550.379999999888241,2071999.550000000046566,2090254.760000000242144,2079999.080000000074506,10450393.769999999552965
20120619,2087559.999999999767169,2131513.139999999664724,2092266.089999999850988,1967953.020000000018626,2070533.540000000037253,10349825.789999999105930
20120620,2081590.000000000000000,2172455.910000000149012,2091199.429999999934807,1910399.260000000242144,2092212.679999999934807,10347857.279999999329448
20120621,2052734.999999999767169,2100495.889999999664724,2103999.350000000093132,1906475.139999999897555,2067174.800000000046566,10230880.179999999701977
20120622,2068654.999999999767169,2125309.689999999478459,2142932.439999999944121,1933943.980000000214204,2054961.199999999953434,10325802.309999998658895
20120625,2028357.500000000000000,2100495.889999999664724,2121599.240000000223517,1896010.820000000065193,2081831.120000000111759,10228294.570000000298023
20120626,2032834.999999999767169,2086848.300000000046566,2137065.810000000055879,1902551.020000000018626,2094044.719999999972060,10253344.849999999627471
20120627,2041541.249999999534339,2075682.090000000083819,2161598.990000000223517,1924133.680000000167638,2094350.060000000055879,10297306.070000000298023
20120628,2022138.750000000000000,2044664.840000000083819,2169598.939999999944121,1899280.919999999925494,2085495.199999999953434,10221178.649999998509884
20120629,2075371.250000000000000,2130272.450000000186265,2226665.250000000000000,1934598.000000000000000,2128853.479999999981374,10495760.429999999701977
20120702,2105718.750000000000000,2119106.240000000223517,2231998.550000000279397,1952910.560000000055879,2117555.899999999906868,10527290.000000001862645
20120703,2130096.250000000000000,2127791.069999999366701,2229865.229999999981374,1936560.060000000055879,2160303.500000000000000,10584616.109999999403954
20120705,2167408.750000000000000,2101736.580000000074506,2220265.290000000037253,1953564.580000000074506,2170379.719999999739230,10613354.919999998062849
20120706,2152981.250000000000000,2080644.849999999860302,2213865.330000000074506,1937214.080000000074506,2178929.239999999757856,10563634.750000000000000
20120709,2181587.500000000000000,2065756.569999999832362,2246931.790000000037253,1942446.239999999990687,2191142.840000000316650,10627864.939999999478459
20120710,2161438.750000000000000,2035980.010000000009313,2206398.709999999962747,1956834.680000000167638,2201829.739999999757856,10562481.890000000596046
20120711,2148006.250000000000000,2032257.939999999944121,2197865.430000000167638,1958142.720000000204891,2206409.840000000316650,10542682.179999999701977
20120712,2128355.000000000000000,1982630.340000000083819,2288531.529999999795109,1968607.040000000270084,2207936.540000000037253,10576060.449999999254942
20120713,2149747.500000000000000,2023573.109999999869615,2318398.009999999776483,2000000.000000000000000,2234501.120000000111759,10726219.739999998360872
20120716,2156712.500000000000000,2008684.830000000074506,2311998.050000000279397,1994767.840000000083819,2228394.320000000298023,10700557.540000000968575
20120717,2156961.250000000000000,2013647.590000000083819,2356797.770000000018626,2007848.239999999990687,2232058.399999999906868,10767313.250000000000000
20120718,2154473.750000000000000,2071960.019999999785796,2343464.520000000018626,2025506.780000000027940,2224424.899999999906868,10819829.969999998807907
