訓練日期,20190924 - 20191224
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11731950.919999999925494
真實報酬,1731950.919999999925494

夏普值報酬,0.164495092000000
夏普值風險,0.044016464378188
夏普值,3.737126421301431

預期報酬,24557.545756152256217
風險,91073.318942430283641
趨勢值,0.269645885768978
找到最佳解世代,2027
找到最佳解實驗#,1
找到最佳解次數,48

stock[index](rank)
投資組合檔數,4
AAPL[0](1),INTC[11](3),MRK[17](15),NKE[19](10),
Stock#,AAPL[0](1),INTC[11](3),MRK[17](15),NKE[19](10),
張數,11430,49115,29634,28509,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,30.399999999906868,46.500000000000000,75.760000000242144,45.790000000037253,
20190924,2488112.799999999813735,2446955.799999999813735,2477478.160000000149012,2485460.410000000149012,9898007.169999999925494
20190925,2526403.299999999813735,2505893.800000000279397,2462661.160000000149012,2588948.080000000074506,10083906.339999999850988
20190926,2513373.099999999627471,2500982.300000000279397,2485775.680000000167638,2627720.320000000298023,10127851.400000000372529
20190927,2501143.000000000000000,2494106.200000000186265,2457030.700000000186265,2631711.580000000074506,10083991.480000000447035
20190930,2560007.500000000000000,2530942.450000000186265,2494665.880000000353903,2677611.070000000298023,10263226.900000000372529
20191001,2567094.100000000093132,2493123.899999999906868,2477774.500000000000000,2630856.310000000055879,10168848.810000000521541
20191002,2502743.200000000186265,2425836.350000000093132,2418802.840000000316650,2608334.199999999720603,9955716.589999999850988
20191003,2524003.000000000000000,2457269.950000000186265,2451992.919999999925494,2629145.770000000018626,10062411.640000000596046
20191004,2594754.699999999720603,2500982.300000000279397,2518965.760000000242144,2653378.419999999925494,10268081.179999999701977
20191007,2595326.199999999720603,2486247.799999999813735,2500889.020000000484288,2656229.320000000298023,10238692.339999999850988
20191008,2564922.399999999906868,2442535.449999999720603,2468291.620000000577420,2615746.540000000037253,10091496.010000001639128
20191009,2594983.299999999813735,2479371.699999999720603,2494665.880000000353903,2637698.469999999739230,10206719.350000001490116
20191010,2629959.100000000093132,2510314.149999999906868,2482219.600000000558794,2651382.790000000037253,10273875.640000000596046
20191011,2699910.700000000186265,2558446.850000000093132,2499407.320000000298023,2676470.709999999962747,10434235.580000001937151
20191014,2696024.500000000000000,2536345.100000000093132,2509779.220000000204891,2704979.709999999962747,10447128.530000001192093
20191015,2689738.000000000000000,2585951.250000000000000,2520151.120000000577420,2702413.900000000372529,10498254.270000001415610
20191016,2678879.500000000000000,2576128.250000000000000,2502667.060000000521541,2704979.709999999962747,10462654.519999999552965
20191017,2689280.799999999813735,2547150.399999999906868,2483404.959999999962747,2724365.830000000074506,10444201.989999998360872
20191018,2702196.699999999720603,2522592.899999999906868,2509482.880000000353903,2739760.689999999944121,10474033.169999999925494
20191021,2749059.699999999720603,2560411.450000000186265,2504741.439999999944121,2743181.770000000018626,10557394.359999999403954
20191022,2742773.200000000186265,2554517.649999999906868,2409319.959999999962747,2725506.189999999944121,10432117.000000000000000
20191023,2779577.799999999813735,2540274.299999999813735,2455845.340000000316650,2631996.669999999925494,10407694.109999999403954
20191024,2784149.800000000279397,2565322.949999999720603,2447251.479999999981374,2608619.290000000037253,10405343.519999999552965
20191025,2818439.800000000279397,2773079.399999999906868,2437768.600000000558794,2592084.070000000298023,10621371.870000001043081
20191028,2846671.899999999906868,2787813.899999999906868,2435990.560000000521541,2590088.439999999944121,10660564.800000000745058
20191029,2780835.099999999627471,2767185.600000000093132,2521929.160000000149012,2545329.310000000055879,10615279.169999999925494
20191030,2780492.199999999720603,2779955.500000000000000,2555119.240000000223517,2571272.500000000000000,10686839.439999999478459
20191031,2843357.199999999720603,2776517.450000000186265,2568158.200000000186265,2553026.739999999757856,10741059.589999999850988
