訓練日期,20101222 - 20110325
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11837824.120000001043081
真實報酬,1837824.120000001043081

夏普值報酬,0.175082412000000
夏普值風險,0.044445375423779
夏普值,3.939271753936587

預期報酬,26013.406127368816669
風險,110997.631432205525925
趨勢值,0.234360011035525
找到最佳解世代,3089
找到最佳解實驗#,1
找到最佳解次數,48

stock[index](rank)
投資組合檔數,2
CVX[5](2),PFE[20](1),
Stock#,CVX[5](2),PFE[20](1),
張數,56034,287686,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,86.179999999701977,17.320000000298023,
20101222,5038663.459999999962747,5051783.479999999515712,10090446.939999999478459
20101223,5081249.299999999813735,5066167.780000000260770,10147417.080000000074506
20101227,5049870.259999999776483,5031645.459999999962747,10081515.719999998807907
20101228,5109826.639999999664724,5060414.060000000521541,10170240.699999999254942
20101229,5119912.759999999776483,5063290.920000000856817,10183203.679999999701977
20101230,5132800.579999999143183,5031645.459999999962747,10164446.039999999105930
20101231,5113188.679999999701977,5037399.180000000633299,10150587.859999999403954
20110103,5151852.139999999664724,5086305.799999999813735,10238157.939999999478459
20110104,5132800.579999999143183,5175488.459999999962747,10308289.039999999105930
20110105,5123835.139999999664724,5210010.780000000260770,10333845.919999999925494
20110106,5081809.639999999664724,5230148.799999999813735,10311958.439999999478459
20110107,5109826.639999999664724,5276178.560000000521541,10386005.199999999254942
20110110,5066120.119999999180436,5253163.680000000633299,10319283.800000000745058
20110111,5145688.399999999441206,5241656.240000000223517,10387344.640000000596046
20110112,5180429.479999999515712,5284809.140000000596046,10465238.620000001043081
20110113,5165300.299999999813735,5241656.240000000223517,10406956.539999999105930
20110114,5201722.399999999441206,5276178.560000000521541,10477900.960000000894070
20110118,5230860.079999999143183,5287686.000000000000000,10518546.079999998211861
20110119,5209567.159999999217689,5270424.840000000782311,10479992.000000000000000
20110120,5194998.319999999366701,5247409.959999999962747,10442408.279999999329448
20110121,5254954.700000000186265,5281932.280000000260770,10536886.980000000447035
20110124,5272885.579999999143183,5307824.020000000484288,10580709.599999999627471
20110125,5271764.899999999441206,5313577.740000000223517,10585342.640000000596046
20110126,5303143.939999999478459,5281932.280000000260770,10585076.219999998807907
20110127,5309307.679999999701977,5316454.600000000558794,10625762.280000001192093
20110128,5231980.759999999776483,5221518.219999999739230,10453498.980000000447035
20110131,5319393.799999999813735,5241656.240000000223517,10561050.039999999105930
20110201,5391677.659999999217689,5529342.240000000223517,10921019.899999998509884
20110202,5406246.500000000000000,5454543.880000000819564,10860790.380000000819564
20110203,5452754.719999999739230,5514957.940000000409782,10967712.660000000149012
20110204,5441547.919999999925494,5552357.120000000111759,10993905.039999999105930
20110207,5472366.619999999180436,5477558.759999999776483,10949925.379999998956919
20110208,5476849.339999999850988,5512081.080000000074506,10988930.419999999925494
20110209,5392798.339999999850988,5480435.620000000111759,10873233.960000000894070
20110210,5418573.979999999515712,5474681.900000000372529,10893255.879999998956919
20110211,5404565.479999999515712,5417144.700000000186265,10821710.179999999701977
20110214,5432582.479999999515712,5480435.620000000111759,10913018.099999999627471
20110215,5398401.740000000223517,5480435.620000000111759,10878837.359999999403954
20110216,5416332.619999999180436,5546603.400000000372529,10962936.019999999552965
20110217,5444909.959999999962747,5572495.140000000596046,11017405.100000001490116
20110218,5531762.659999999217689,5520711.660000001080334,11052474.320000000298023
20110222,5621417.059999999590218,5434405.860000000335276,11055822.919999999925494
20110223,5730683.359999999403954,5397006.680000000633299,11127690.039999999105930
20110224,5717235.200000000186265,5437282.719999999739230,11154517.919999999925494
20110225,5721157.579999999143183,5425775.280000000260770,11146932.859999999403954
20110228,5813613.679999999701977,5535095.959999999962747,11348709.640000000596046
20110301,5765984.780000000260770,5506327.360000000335276,11272312.140000000596046
20110302,5797924.159999999217689,5520711.660000001080334,11318635.820000000298023
20110303,5838268.639999999664724,5687569.540000000037253,11525838.179999999701977
20110304,5813613.679999999701977,5655924.080000000074506,11469537.759999999776483
20110307,5772148.519999999552965,5641539.780000000260770,11413688.300000000745058
20110308,5814734.359999999403954,5661677.799999999813735,11476412.160000000149012
20110309,5723398.939999999478459,5655924.080000000074506,11379323.019999999552965
20110310,5551934.899999999441206,5569618.280000000260770,11121553.179999999701977
20110311,5599563.799999999813735,5601263.740000000223517,11200827.539999999105930
20110314,5648313.379999999888241,5699076.979999999515712,11347390.359999999403954
20110315,5672408.000000000000000,5684692.680000000633299,11357100.679999999701977
20110316,5576029.519999999552965,5552357.120000000111759,11128386.640000000596046
20110317,5729002.339999999850988,5719215.000000000000000,11448217.339999999850988
20110318,5760381.379999999888241,5805520.799999999813735,11565902.179999999701977
20110321,5894302.639999999664724,5747983.600000000558794,11642286.240000000223517
20110322,5896544.000000000000000,5736476.160000001080334,11633020.160000000149012
20110323,5910552.500000000000000,5730722.440000000409782,11641274.940000001341105
20110324,5904949.099999999627471,5840043.120000000111759,11744992.219999998807907
20110325,5983396.700000000186265,5854427.420000000856817,11837824.120000001043081
