訓練日期,20101230 - 20110401
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11717308.099999997764826
真實報酬,1717308.099999997764826

夏普值報酬,0.163030810000000
夏普值風險,0.045546134442081
夏普值,3.579465348641567

預期報酬,24659.690074200596428
風險,112277.746845222864067
趨勢值,0.219631144791269
找到最佳解世代,3118
找到最佳解實驗#,1
找到最佳解次數,48

stock[index](rank)
投資組合檔數,2
CVX[5](2),PFE[20](1),
Stock#,CVX[5](2),PFE[20](1),
張數,54722,284090,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,50.859999999403954,16.000000000000000,
20101230,5012586.059999998658895,4968750.099999999627471,9981336.159999998286366
20101231,4993433.359999999403954,4974431.900000000372529,9967865.259999999776483
20110103,5031191.539999999105930,5022727.200000000186265,10053918.739999998360872
20110104,5012586.059999998658895,5110795.099999999627471,10123381.159999998286366
20110105,5003830.539999999105930,5144885.899999999441206,10148716.439999997615814
20110106,4962789.039999999105930,5164772.200000000186265,10127561.239999998360872
20110107,4990150.039999999105930,5210226.599999999627471,10200376.639999998733401
20110110,4947466.879999998956919,5187499.400000000372529,10134966.279999999329448
20110111,5025172.119999999180436,5176135.799999999813735,10201307.919999998062849
20110112,5059099.759999999776483,5218749.300000000745058,10277849.060000000521541
20110113,5044324.819999999366701,5176135.799999999813735,10220460.619999999180436
20110114,5079894.119999999180436,5210226.599999999627471,10290120.719999998807907
20110118,5108349.559999998658895,5221590.199999999254942,10329939.759999997913837
20110119,5087555.199999999254942,5204544.799999999813735,10292100.000000000000000
20110120,5073327.479999999515712,5181817.599999999627471,10255145.079999998211861
20110121,5131880.019999999552965,5215908.399999999441206,10347788.419999998062849
20110124,5149391.059999998658895,5241476.500000000000000,10390867.559999998658895
20110125,5148296.619999999180436,5247158.299999999813735,10395454.919999998062849
20110126,5178940.939999999478459,5215908.399999999441206,10394849.339999999850988
20110127,5184960.359999999403954,5249999.200000000186265,10434959.559999998658895
20110128,5109444.000000000000000,5156249.500000000000000,10265693.500000000000000
20110131,5194810.319999999366701,5176135.799999999813735,10370946.119999999180436
20110201,5265401.699999999254942,5460225.799999999813735,10725627.500000000000000
20110202,5279629.419999999925494,5386362.400000000372529,10665991.820000000298023
20110203,5325048.679999999701977,5446021.300000000745058,10771069.980000000447035
20110204,5314104.279999999329448,5482953.000000000000000,10797057.279999999329448
20110207,5344201.379999998956919,5409089.599999999627471,10753290.979999998584390
20110208,5348579.139999998733401,5443180.400000000372529,10791759.539999999105930
20110209,5266496.139999998733401,5411930.500000000000000,10678426.639999998733401
20110210,5291668.259999999776483,5406248.700000000186265,10697916.960000000894070
20110211,5277987.759999999776483,5349430.699999999254942,10627418.459999999031425
20110214,5305348.759999999776483,5411930.500000000000000,10717279.259999999776483
20110215,5271968.339999999850988,5411930.500000000000000,10683898.839999999850988
20110216,5289479.379999998956919,5477271.200000000186265,10766750.579999998211861
20110217,5317387.599999999627471,5502839.300000000745058,10820226.900000000372529
20110218,5402206.699999999254942,5451703.100000000558794,10853909.800000000745058
20110222,5489761.899999999441206,5366476.100000000558794,10856238.000000000000000
20110223,5596469.799999998882413,5329544.400000000372529,10926014.199999999254942
20110224,5583336.519999999552965,5369317.000000000000000,10952653.519999999552965
20110225,5587167.059999998658895,5357953.399999999441206,10945120.459999997168779
20110228,5677458.359999999403954,5465907.599999999627471,11143365.959999999031425
20110301,5630944.660000000149012,5437498.600000000558794,11068443.260000001639128
20110302,5662136.199999999254942,5451703.100000000558794,11113839.300000000745058
20110303,5701536.039999999105930,5616475.299999999813735,11318011.339999999850988
20110304,5677458.359999999403954,5585225.400000000372529,11262683.759999999776483
20110307,5636964.080000000074506,5571020.899999999441206,11207984.980000000447035
20110308,5678552.799999998882413,5590907.200000000186265,11269460.000000000000000
20110309,5589355.939999999478459,5585225.400000000372529,11174581.339999999850988
20110310,5421906.619999999180436,5499998.399999999441206,10921905.019999999552965
20110311,5468420.319999999366701,5531248.299999999813735,10999668.619999999180436
20110314,5516028.459999999031425,5627838.899999999441206,11143867.359999999403954
20110315,5539558.919999999925494,5613634.400000000372529,11153193.320000000298023
20110316,5445437.080000000074506,5482953.000000000000000,10928390.080000000074506
20110317,5594828.139999998733401,5647725.199999999254942,11242553.339999997988343
20110318,5625472.459999999031425,5732952.200000000186265,11358424.660000000149012
20110321,5756258.039999999105930,5676134.200000000186265,11432392.239999998360872
20110322,5758446.919999999925494,5664770.600000000558794,11423217.519999999552965
20110323,5772127.419999999925494,5659088.800000000745058,11431216.220000000670552
20110324,5766655.219999998807907,5767043.000000000000000,11533698.219999998807907
20110325,5843266.019999999552965,5781247.500000000000000,11624513.519999999552965
20110328,5802771.739999999292195,5758520.299999999813735,11561292.039999999105930
20110329,5875552.000000000000000,5789770.199999999254942,11665322.199999999254942
20110330,5910574.080000000074506,5778406.599999999627471,11688980.679999999701977
20110331,5882118.639999998733401,5769883.899999999441206,11652002.539999999105930
20110401,5927537.899999999441206,5789770.199999999254942,11717308.099999997764826
