訓練日期,20181114 - 20190220
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11022385.010000001639128
真實報酬,1022385.010000001639128

夏普值報酬,0.093538501000000
夏普值風險,0.035426294843429
夏普值,2.640369291042289

預期報酬,7840.748332674961603
風險,287099.785248428350314
趨勢值,0.027310185292860
找到最佳解世代,2364
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
CAT[3](2),MRK[17](4),NKE[19](1),
Stock#,CAT[3](2),MRK[17](4),NKE[19](1),
張數,26463,44676,44326,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,53.520000000018626,56.640000000130385,17.799999999813735,
20181114,3310574.819999999832362,3310101.480000000447035,3333333.000000000000000,9954010.300000000745058
20181115,3424894.979999999515712,3343608.480000000447035,3294769.379999999888241,10063273.839999999850988
20181116,3439185.000000000000000,3398113.200000000186265,3312943.039999999571592,10150242.240000000223517
20181119,3333862.260000000242144,3411069.239999999757856,3214539.319999999832362,9959471.820000000298023
20181120,3235684.529999999795109,3340927.920000000391155,3152482.919999999925494,9729096.370000001043081
20181121,3278025.330000000074506,3341374.680000000633299,3207890.419999999925494,9827291.429999999701977
20181123,3237007.679999999701977,3336013.560000000055879,3168883.539999999571592,9741905.779999999329448
20181126,3302635.919999999925494,3370414.080000000074506,3222961.259999999310821,9896012.259999999776483
20181127,3297343.319999999832362,3410622.480000000447035,3195479.140000000130385,9903445.940000001341105
20181128,3460620.030000000260770,3450384.120000000111759,3309396.959999999497086,10220402.109999999403954
20181129,3446330.009999999776483,3480763.799999999813735,3295212.640000000130385,10222307.449999999254942
20181130,3590288.729999999515712,3544650.480000000447035,3329786.919999999925494,10464727.129999998956919
20181203,3677087.369999999646097,3539289.359999999869615,3454786.239999999757856,10671163.969999998807907
20181204,3422248.679999999701977,3494166.599999999627471,3359485.340000000316650,10275901.619999999180436
20181206,3397108.830000000074506,3501314.760000000242144,3348403.840000000316650,10246828.429999999701977
20181207,3269557.169999999925494,3427599.359999999869615,3250886.640000000130385,9948044.169999999925494
20181210,3265323.089999999850988,3458872.560000000055879,3214096.060000000055879,9938292.710000000894070
20181211,3261353.639999999664724,3445023.000000000000000,3261081.619999999646097,9967459.259999999776483
20181212,3317719.830000000074506,3485231.400000000372529,3294326.119999999646097,10097278.349999999627471
20181213,3331745.220000000204891,3529907.400000000372529,3232712.979999999981374,10094366.600000001490116
20181214,3354768.029999999795109,3416877.120000000111759,3214982.580000000074506,9986628.730000000447035
20181217,3293903.129999999888241,3361032.120000000111759,3098405.200000000186265,9753341.449999999254942
20181218,3288610.529999999795109,3320823.720000000204891,3153812.700000000186265,9763247.949999999254942
20181219,3237272.310000000055879,3295805.160000000149012,3057182.019999999552965,9590260.490000000223517
20181220,3216631.169999999925494,3283295.879999999888241,2993352.580000000074506,9493280.629999998956919
20181221,3177465.929999999701977,3256937.040000000502914,3207890.419999999925494,9642294.390000000596046
20181224,3094901.370000000111759,3178754.040000000502914,3018618.399999999441206,9292274.809999998658895
20181226,3301577.400000000372529,3306080.640000000130385,3236259.060000000055879,9843918.100000001490116
20181227,3352121.729999999981374,3367733.520000000018626,3265514.219999999739230,9985370.469999998807907
20181228,3324070.950000000186265,3367286.760000000242144,3250886.640000000130385,9942245.350000001490116
20181231,3362706.929999999701977,3413749.799999999813735,3286347.439999999944121,10062805.169999999925494
20190102,3344447.459999999962747,3377115.480000000447035,3282801.359999999869615,10004365.300000000745058
20190103,3215572.650000000372529,3307867.680000000633299,3224734.299999999813735,9748175.630000000819564
20190104,3391286.970000000204891,3407495.160000000149012,3308953.700000000186265,10107736.830000001937151
20190107,3393404.009999999776483,3369967.320000000298023,3356382.519999999552965,10119754.849999999627471
20190108,3434157.030000000260770,3394985.879999999888241,3401151.779999999795109,10230295.689999999478459
20190109,3447388.530000000260770,3369073.799999999813735,3394946.140000000130385,10211409.470000000670552
20190110,3518574.000000000000000,3327525.120000000111759,3387410.719999999739230,10233510.839999999850988
20190111,3495815.819999999832362,3346289.040000000502914,3370566.840000000316650,10212672.700000001117587
20190114,3487876.920000000391155,3277934.760000000242144,3372783.140000000130385,10138595.820000000298023
20190115,3458502.989999999757856,3328418.640000000130385,3452126.679999999701977,10239049.309999998658895
20190116,3484172.100000000093132,3333333.000000000000000,3443261.479999999981374,10260767.580000000074506
20190117,3560385.540000000037253,3377562.239999999757856,3507534.179999999701977,10445482.959999999031425
20190118,3614899.319999999832362,3389624.760000000242144,3566044.500000000000000,10570569.580000000074506
20190122,3499520.640000000130385,3387837.720000000204891,3579342.299999999813735,10466701.660000000149012
20190123,3488406.179999999701977,3370414.080000000074506,3568260.799999999813735,10427082.059999998658895
20190124,3512487.509999999776483,3268999.560000000055879,3565601.239999999757856,10347089.310000000521541
20190125,3621779.700000000186265,3259170.840000000316650,3573136.659999999683350,10454088.200000001117587
20190128,3291256.830000000074506,3257830.560000000055879,3560282.119999999646097,10109370.509999999776483
20190129,3348416.910000000149012,3271680.120000000111759,3555849.519999999552965,10175947.550000000745058
20190130,3443154.450000000186265,3277934.760000000242144,3602835.080000000074506,10323925.290000000968575
20190131,3523866.600000000093132,3325291.320000000298023,3629430.679999999701977,10478589.599999999627471
20190201,3464324.850000000093132,3415536.840000000316650,3613030.060000000055879,10492892.750000000000000
20190204,3463530.959999999962747,3434300.760000000242144,3634306.539999999571592,10532139.259999999776483
20190205,3493169.520000000018626,3446810.040000000502914,3672870.159999999683350,10612850.720000000670552
20190206,3454533.540000000037253,3457532.280000000260770,3666221.259999999310821,10578288.080000000074506
20190207,3407958.660000000149012,3432066.959999999962747,3652036.939999999944121,10492063.560000000521541
20190208,3403195.319999999832362,3463340.160000000149012,3650707.159999999683350,10517243.640000000596046
20190211,3411928.110000000335276,3427152.599999999627471,3709217.479999999981374,10548299.189999999478459
20190212,3510899.729999999515712,3508016.160000000149012,3754873.259999999310821,10773790.149999998509884
20190213,3522278.819999999832362,3530354.160000000149012,3785458.200000000186265,10838092.179999999701977
20190214,3509576.580000000074506,3526780.080000000074506,3753543.479999999981374,10789901.140000000596046
20190215,3604314.119999999646097,3565648.200000000186265,3784571.679999999701977,10954535.000000000000000
20190219,3593728.920000000391155,3540182.879999999888241,3748667.619999999646097,10882580.419999999925494
20190220,3713077.050000000279397,3548671.320000000298023,3760635.640000000130385,11022385.010000001639128
