訓練日期,20110920 - 20111220
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11437504.309999998658895
真實報酬,1437504.309999998658895

夏普值報酬,0.135050431000000
夏普值風險,0.044325746243833
夏普值,3.046771739771647

預期報酬,20744.775799284674576
風險,196205.171043438633205
趨勢值,0.105730015620699
找到最佳解世代,2133
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
HD[9](3),IBM[10](6),WMT[28](1),
Stock#,HD[9](3),IBM[10](6),WMT[28](1),
張數,97040,19253,63552,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,9.000000000000000,61.109999999869615,30.599999999627471,
20110920,3377971.400000000372529,3363945.270000000018626,3323164.679999999701977,10065082.349999999627471
20110921,3283842.600000000558794,3331215.169999999925494,3261519.239999999757856,9876578.009999999776483
20110922,3207180.999999999534339,3246501.969999999739230,3195425.159999999683350,9649109.129999998956919
20110923,3272197.799999999813735,3260364.129999999888241,3228472.199999999254942,9761035.129999998956919
20110926,3299369.000000000000000,3359902.139999999664724,3293930.759999999310821,9953202.899999998509884
20110927,3287724.200000000186265,3421511.740000000223517,3306641.159999999683350,10015878.099999999627471
20110928,3260553.000000000000000,3418431.260000000242144,3260883.719999999739230,9939868.980000000447035
20110929,3278990.600000000093132,3449621.119999999646097,3300285.959999999497086,10028898.679999999701977
20110930,3189713.799999999813735,3366833.219999999739230,3298379.399999999441206,9854927.419999998062849
20111003,3065502.600000000093132,3336413.479999999515712,3302192.519999999552965,9704109.599999999627471
20111004,3150897.799999999813735,3364330.330000000074506,3360660.359999999869615,9875889.490000000223517
20111005,3185832.199999999720603,3404954.159999999683350,3346043.399999999441206,9936830.759999997913837
20111006,3239204.200000000186265,3498138.679999999701977,3352398.599999999627471,10089742.480000000447035
20111007,3291605.800000000279397,3511615.779999999795109,3412773.000000000000000,10215995.580000000074506
20111010,3363415.399999999441206,3593055.969999999739230,3483315.719999999739230,10439788.089999999850988
20111011,3368267.399999999906868,3561866.109999999869615,3477596.039999999571592,10407730.549999998882413
20111012,3369237.799999999813735,3583429.469999999739230,3508101.000000000000000,10460769.269999999552965
20111013,3339155.399999999441206,3596906.569999999832362,3496661.639999999664724,10432724.609999999403954
20111014,3401260.999999999534339,3668335.199999999720603,3524624.519999999552965,10594221.719999998807907
20111017,3362445.000000000000000,3592478.379999999888241,3481409.159999999683350,10436333.539999999105930
20111018,3488597.000000000465661,3444422.810000000055879,3551951.879999999888241,10484972.690000001341105
20111019,3435225.000000000000000,3415350.779999999795109,3574830.599999999627471,10425407.379999998956919
20111020,3467248.199999999720603,3412655.359999999869615,3582456.839999999385327,10462361.399999998509884
20111021,3576903.399999999906868,3496983.500000000000000,3617410.439999999944121,10691298.339999999850988
20111024,3561377.000000000465661,3508920.359999999869615,3608513.159999999683350,10678811.519999999552965
20111025,3497330.600000000093132,3472532.189999999944121,3604064.519999999552965,10573928.309999998658895
20111026,3546820.999999999534339,3503529.520000000018626,3646008.839999999385327,10696360.359999999403954
20111027,3626393.799999999813735,3587665.129999999888241,3673971.719999999739230,10888031.649999998509884
20111028,3505093.799999999813735,3609035.959999999497086,3632027.399999999441206,10746158.160000000149012
20111031,3474040.999999999534339,3554742.500000000000000,3604700.039999999571592,10633484.539999999105930
20111101,3448810.600000000093132,3491592.659999999683350,3573559.559999999590218,10513963.820000000298023
20111102,3492478.600000000093132,3541072.869999999646097,3613597.319999999366701,10647149.789999999105930
20111103,3537117.000000000465661,3606148.010000000242144,3649186.439999999944121,10792452.450000001117587
20111104,3531294.600000000093132,3588435.250000000000000,3654270.599999999627471,10774001.449999999254942
20111107,3623482.600000000558794,3606533.069999999832362,3682233.479999999515712,10912250.149999998509884
20111108,3681706.599999999627471,3605185.359999999869615,3769935.239999999757856,11056828.199999999254942
20111109,3606015.399999999441206,3508727.830000000074506,3689224.199999999254942,10803968.429999999701977
20111110,3609897.000000000465661,3530098.659999999683350,3694308.359999999869615,10834305.019999999552965
20111111,3693351.400000000372529,3607688.250000000000000,3762309.000000000000000,11063349.650000000372529
20111114,3711789.000000000000000,3607110.659999999683350,3742607.879999999888241,11061508.539999999105930
