訓練日期,20130909 - 20131209
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11745156.199999999254942
真實報酬,1745156.199999999254942

夏普值報酬,0.165815620000000
夏普值風險,0.045817868763462
夏普值,3.619016433436382

預期報酬,27059.978018576843169
風險,81688.267403134828783
趨勢值,0.331259051988883
找到最佳解世代,1605
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
AAPL[0](22),BA[2](3),MSFT[18](1),NKE[19](2),UNH[23](29),
Stock#,AAPL[0](22),BA[2](3),MSFT[18](1),NKE[19](2),UNH[23](29),
張數,28101,18855,64205,61557,27005,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,51.829999999841675,50.150000000139698,14.250000000000000,13.069999999832362,9.699999999953434,
20130909,2032035.139999999897555,2021117.600000000093132,2032744.550000000046566,2012926.969999999972060,2005130.949999999953434,10103955.209999999031425
20130910,1985668.489999999757856,2039595.500000000232831,2079614.199999999953434,2056632.439999999711290,2015392.849999999860302,10176903.480000000447035
20130911,1877760.649999999674037,2059581.800000000279397,2102085.950000000186265,2080639.669999999692664,2030245.600000000093132,10150313.669999999925494
20130912,1897712.359999999869615,2070329.150000000139698,2098875.699999999720603,2095413.349999999860302,2018363.399999999906868,10180693.959999999031425
20130913,1866239.239999999757856,2099177.299999999813735,2120705.399999999906868,2090488.789999999804422,2011342.100000000093132,10187952.830000000074506
20130916,1806946.129999999655411,2181008.000000000000000,2105938.250000000000000,2099106.770000000018626,2028625.300000000046566,10221624.450000001117587
20130917,1828021.879999999655411,2208159.200000000186265,2114284.899999999906868,2102800.189999999478459,2006751.250000000000000,10260017.419999999925494
20130918,1865396.209999999729916,2232482.150000000372529,2139324.850000000093132,2138503.250000000000000,1972454.900000000139698,10348161.360000001266599
20130919,1896026.299999999813735,2244549.350000000558794,2159870.450000000186265,2139118.819999999832362,1913043.900000000139698,10352608.820000000298023
20130920,1876355.599999999627471,2199108.799999999813735,2105296.199999999720603,2135425.399999999906868,1905752.549999999813735,10221938.550000000745058
20130923,1969650.919999999925494,2215701.200000000186265,2102085.950000000186265,2123114.000000000000000,1939508.799999999813735,10350060.870000001043081
