訓練日期,20110127 - 20110429
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11134363.759999999776483
真實報酬,1134363.759999999776483

夏普值報酬,0.104736376000000
夏普值風險,0.029511416725675
夏普值,3.549012132273560

預期報酬,16658.846021993278555
風險,100397.986799489328405
趨勢值,0.165928088331728
找到最佳解世代,1739
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
CVX[5](2),MCD[15](17),PFE[20](1),
Stock#,CVX[5](2),MCD[15](17),PFE[20](1),
張數,35221,44343,181554,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,17.560000000055879,69.689999999944121,1.560000000055879,
20110127,3337207.310000000055879,3296971.739999999757856,3355119.479999999981374,9989299.529999999329448
20110128,3288602.330000000074506,3249524.729999999981374,3295206.659999999683350,9833334.720000000670552
20110131,3343547.090000000316650,3266818.500000000000000,3307915.439999999944121,9918282.029999999329448
20110201,3388982.180000000167638,3257949.899999999906868,3489469.439999999944121,10136402.519999999552965
20110202,3398139.640000000130385,3265488.209999999962747,3442265.400000000372529,10105894.250000000000000
20110203,3427373.070000000298023,3273913.379999999888241,3480391.740000000223517,10181679.190000001341105
20110204,3420328.870000000111759,3283668.839999999850988,3503993.760000000242144,10207992.470000000670552
20110207,3439700.419999999925494,3257063.040000000037253,3456789.719999999739230,10153554.179999999701977
20110208,3442518.100000000093132,3341758.169999999925494,3478576.200000000186265,10262853.469999998807907
20110209,3389686.600000000093132,3367033.680000000167638,3458605.260000000242144,10215326.540000000968575
20110210,3405888.260000000242144,3359495.370000000111759,3454974.180000000167638,10220358.810000000521541
20110211,3397083.010000000242144,3376345.709999999962747,3418663.379999999888241,10192093.100000001490116
20110214,3414693.510000000242144,3380780.009999999776483,3458605.260000000242144,10254079.779999999329448
20110215,3393208.700000000186265,3376789.140000000130385,3458605.260000000242144,10228604.099999999627471
20110216,3404479.419999999925494,3371024.549999999813735,3500362.680000000167638,10275867.650000000372529
20110217,3422442.129999999888241,3369250.830000000074506,3516702.540000000037253,10308396.500000000000000
20110218,3477034.680000000167638,3375902.279999999795109,3484022.820000000298023,10336960.780000001192093
20110222,3533388.279999999795109,3356834.790000000037253,3429556.620000000111759,10319780.690000001341105
20110223,3602069.229999999981374,3334219.859999999869615,3405954.600000000558794,10342244.690000001341105
20110224,3593616.189999999944121,3335106.719999999739230,3431372.159999999683350,10360096.070000000298023
20110225,3596081.659999999683350,3300962.609999999869615,3424110.000000000000000,10321155.269999999552965
20110228,3654196.310000000055879,3355947.930000000167638,3493100.519999999552965,10503245.759999999776483
20110301,3624258.460000000428408,3320916.959999999962747,3474945.120000000111759,10420121.539999999105930
20110302,3644334.430000000167638,3312048.359999999869615,3484022.820000000298023,10440406.609999999403954
20110303,3669693.549999999813735,3380780.009999999776483,3589324.140000000130385,10639798.699999999254942
20110304,3654196.310000000055879,3371467.979999999981374,3569353.200000000186265,10595018.490000000223517
20110307,3628132.770000000018626,3382997.160000000149012,3560275.500000000000000,10571406.429999999701977
20110308,3654900.729999999981374,3349739.910000000149012,3572984.279999999795109,10577625.919999999925494
20110309,3597490.500000000000000,3360382.229999999981374,3569353.200000000186265,10527226.929999999701977
20110310,3489714.240000000223517,3400290.930000000167638,3514887.000000000000000,10404893.169999999925494
20110311,3519652.090000000316650,3402508.080000000074506,3534857.939999999944121,10457019.109999999403954
20110314,3550294.359999999869615,3355504.500000000000000,3596586.299999999813735,10502386.160000000149012
20110315,3565439.390000000130385,3331115.850000000093132,3587508.600000000558794,10484064.839999999850988
20110316,3504859.270000000018626,3253959.029999999795109,3503993.760000000242144,10262813.060000000521541
20110317,3601012.600000000093132,3254845.890000000130385,3609295.080000000074506,10465154.570000000298023
20110318,3620736.359999999869615,3236665.259999999776483,3663761.279999999795109,10521163.899999998509884
20110321,3704914.549999999813735,3270809.370000000111759,3627450.479999999981374,10603175.400000000372529
20110322,3706323.390000000130385,3275687.100000000093132,3620188.320000000298023,10602199.810000000521541
20110323,3715128.640000000130385,3304953.479999999981374,3616557.240000000223517,10636640.359999999403954
20110324,3711606.540000000037253,3322690.680000000167638,3685547.760000000242144,10719845.980000000447035
20110325,3760915.939999999944121,3336880.439999999944121,3694625.460000000428408,10792422.839999999850988
20110328,3734852.400000000372529,3325794.689999999944121,3680101.140000000130385,10740749.230000000447035
20110329,3781696.330000000074506,3342201.600000000093132,3700072.080000000074506,10823971.009999999776483
20110330,3804237.770000000018626,3361712.520000000018626,3692809.919999999925494,10858761.210000000894070
20110331,3785922.850000000093132,3374128.560000000055879,3687363.299999999813735,10847415.710000000894070
20110401,3815156.279999999795109,3369694.259999999776483,3700072.080000000074506,10884923.619999999180436
20110404,3811986.390000000130385,3387431.459999999962747,3729120.719999999739230,10928539.570000000298023
20110405,3850729.490000000223517,3396743.489999999757856,3712780.859999999869615,10960254.839999999850988
20110406,3827131.419999999925494,3402064.649999999906868,3683732.219999999739230,10912929.289999999105930
20110407,3836993.299999999813735,3370581.120000000111759,3690994.379999999888241,10898569.800000000745058
20110408,3862352.419999999925494,3371911.410000000149012,3714596.400000000372529,10948861.230000000447035
20110411,3796136.939999999944121,3381223.439999999944121,3752722.740000000223517,10930084.120000001043081
20110412,3669341.340000000316650,3399404.069999999832362,3714596.400000000372529,10783342.810000000521541
20110413,3656309.570000000298023,3409602.959999999962747,3714596.400000000372529,10780509.929999999701977
20110414,3693996.040000000037253,3417584.699999999720603,3720043.019999999552965,10831624.759999999776483
20110415,3741896.600000000093132,3431331.029999999795109,3727305.180000000167638,10900533.810000000521541
20110418,3680612.060000000055879,3414480.689999999944121,3703703.159999999683350,10798796.910000000149012
20110419,3712310.960000000428408,3396743.489999999757856,3727305.180000000167638,10836360.630000000819564
20110420,3797193.570000000298023,3476560.890000000130385,3701887.620000000111759,10975643.080000001937151
20110421,3808464.290000000037253,3410489.819999999832362,3592955.219999999739230,10811910.329999998211861
20110425,3783457.379999999888241,3420245.279999999795109,3656499.120000000111759,10860202.780000001192093
20110426,3830301.310000000055879,3411820.109999999869615,3665576.820000000298023,10907699.240000000223517
20110427,3838049.930000000167638,3453059.100000000093132,3745460.580000000074506,11036570.609999999403954
20110428,3832414.570000000298023,3460153.979999999981374,3781771.379999999888241,11074340.929999999701977
20110429,3854603.799999999813735,3472570.020000000018626,3807188.939999999944121,11134363.759999999776483
