訓練日期,20120417 - 20120718
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12043829.789999999105930
真實報酬,2043829.789999999105930

夏普值報酬,0.195682979000000
夏普值風險,0.053233080934899
夏普值,3.675965688315302

預期報酬,29957.540529653553676
風險,86305.478972748096567
趨勢值,0.347110529785866
找到最佳解世代,1979
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
DIS[6](2),VZ[26](1),WMT[28](3),
Stock#,DIS[6](2),VZ[26](1),WMT[28](3),
張數,80012,89055,55023,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,33.080000000074506,4.350000000093132,39.660000000149012,
20120417,3414945.240000000223517,3360940.050000000279397,3404312.669999999925494,10180198.960000000894070
20120418,3399742.960000000428408,3353815.649999999906868,3414767.040000000502914,10168326.650000000372529
20120419,3366938.040000000037253,3397452.600000000093132,3397709.910000000149012,10162101.550000000745058
20120420,3388541.280000000260770,3449104.500000000000000,3436226.010000000242144,10273872.790000000968575
20120423,3361337.199999999720603,3434855.700000000186265,3276109.080000000074506,10072302.980000000447035
20120424,3374939.240000000223517,3517676.850000000093132,3178718.370000000111759,10071335.460000000894070
20120425,3416545.480000000447035,3515895.750000000000000,3156158.939999999944121,10088601.169999999925494
20120426,3469353.399999999906868,3574672.050000000279397,3243645.510000000242144,10287671.960000000894070
20120427,3468553.280000000260770,3582687.000000000000000,3248047.350000000093132,10299288.630000000819564
20120430,3449350.399999999906868,3596045.250000000465661,3241444.589999999850988,10286841.240000000223517
20120501,3503758.560000000055879,3612075.150000000372529,3250248.270000000018626,10366082.980000000447035
20120502,3483755.560000000055879,3615637.350000000093132,3246946.890000000130385,10346340.800000000745058
20120503,3505358.800000000279397,3619199.550000000279397,3245846.430000000167638,10370405.780000001192093
20120504,3434948.240000000223517,3585358.649999999906868,3229889.760000000242144,10250197.650000000372529
20120507,3506158.919999999925494,3609403.500000000000000,3256851.029999999795109,10372414.449999999254942
20120508,3544564.679999999701977,3611184.599999999627471,3249147.810000000055879,10404898.089999999850988
20120509,3602173.320000000298023,3584468.100000000093132,3248047.350000000093132,10434689.769999999552965
20120510,3622976.439999999944121,3611184.599999999627471,3256851.029999999795109,10491013.069999998435378
20120511,3645379.800000000279397,3665508.149999999906868,3269506.320000000298023,10580395.269999999552965
20120514,3614175.120000000111759,3641463.300000000279397,3250248.270000000018626,10505887.689999999478459
20120515,3601373.199999999720603,3655712.099999999627471,3265654.710000000428408,10522741.009999999776483
20120516,3606974.040000000037253,3640572.750000000465661,3256851.029999999795109,10504398.820000000298023
