訓練日期,20120403 - 20120705
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11339379.889999998733401
真實報酬,1339379.889999998733401

夏普值報酬,0.125237989000000
夏普值風險,0.040804824080182
夏普值,3.069195660638199

預期報酬,16964.520085624284548
風險,150273.251499287056504
趨勢值,0.112891149398632
找到最佳解世代,2083
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
TRV[22](2),VZ[26](1),WMT[28](3),
20120522,3529408.180000000167638,3581688.449999999720603,3462080.879999999888241,10573178.509999999776483
20120523,3529408.180000000167638,3581688.449999999720603,3462080.879999999888241,10573178.509999999776483
20120524,3550195.520000000018626,3581688.449999999720603,3534875.039999999571592,10666760.009999999776483
20120525,3517048.140000000130385,3586880.550000000279397,3547912.799999999813735,10651842.490000000223517
20120529,3532779.100000000093132,3612841.049999999813735,3568012.680000000167638,10713633.830000000074506
20120530,3477158.919999999925494,3584284.500000000000000,3554974.919999999925494,10616419.339999999850988
20120531,3510868.120000000111759,3603322.199999999720603,3575618.039999999571592,10689809.359999999403954
20120601,3403560.500000000000000,3550535.850000000093132,3560950.559999999590218,10515047.910000000149012
20120604,3392324.100000000093132,3577361.700000000186265,3584853.119999999646097,10554539.919999999925494
20120605,3415920.539999999571592,3565246.800000000279397,3558234.359999999869615,10539402.699999999254942
20120606,3463113.419999999925494,3614571.750000000000000,3581593.680000000167638,10659279.849999999627471
20120607,3478282.559999999590218,3603322.199999999720603,3578334.240000000223517,10659940.000000000000000
20120608,3491204.419999999925494,3672550.199999999720603,3705995.639999999664724,10869751.259999997913837
20120611,3458618.859999999869615,3682934.399999999906868,3668512.080000000074506,10810066.339999999850988
20120612,3479968.020000000018626,3715817.699999999720603,3678833.639999999664724,10874620.359999999403954
20120613,3463675.239999999757856,3720144.450000000186265,3643523.039999999571592,10827343.729999998584390
20120614,3546262.779999999795109,3785911.049999999813735,3673944.479999999515712,11006119.309999998658895
20120615,3562555.559999999590218,3768604.049999999348074,3680463.359999999869615,11011623.969999998807907
20120618,3543453.680000000167638,3791968.500000000000000,3700563.240000000223517,11035986.419999999925494
20120619,3564802.840000000316650,3784180.349999999627471,3683722.799999999813735,11032706.989999998360872
20120620,3587275.640000000130385,3746970.299999999348074,3722292.839999999850988,11056539.779999999329448
20120621,3515924.500000000000000,3749566.349999999627471,3677747.160000000149012,10943239.009999999776483
20120622,3559184.640000000130385,3803218.050000000279397,3656017.559999999590218,11018421.250000000000000
20120625,3491766.239999999757856,3777257.549999999813735,3703822.680000000167638,10972847.469999998807907
20120626,3491766.239999999757856,3793699.200000000186265,3725552.279999999795109,11011018.719999998807907
20120627,3529970.000000000000000,3788507.100000000093132,3726095.520000000018626,11044573.619999999180436
20120628,3531093.640000000130385,3804948.749999999534339,3710341.559999999590218,11046384.949999999254942
20120629,3586713.820000000298023,3845620.199999999720603,3787481.639999999664724,11219816.660000000149012
20120702,3591208.379999999888241,3888022.349999999627471,3767381.759999999776483,11246613.489999998360872
20120703,3603006.599999999627471,3889753.050000000279397,3843435.359999999869615,11336196.009999999776483
20120705,3593455.660000000149012,3884560.949999999720603,3861362.279999999795109,11339379.889999998733401
