訓練日期,20130125 - 20130429
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11735258.219999998807907
真實報酬,1735258.219999998807907

夏普值報酬,0.164825822000000
夏普值風險,0.044529083771366
夏普值,3.701531853794575

預期報酬,25581.820381679379352
風險,53979.223990974591288
趨勢值,0.473919750790725
找到最佳解世代,2359
找到最佳解實驗#,2
找到最佳解次數,27

stock[index](rank)
投資組合檔數,3
JNJ[12](1),TRV[22](3),VZ[26](2),
Stock#,JNJ[12](1),TRV[22](3),VZ[26](2),
張數,45599,42685,78265,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,46.100000000093132,61.349999999627471,26.649999999906868,
20130125,3370724.180000000167638,3344431.099999999161810,3339594.200000000186265,10054750.480000000447035
20130128,3357044.480000000447035,3301746.099999999161810,3347420.700000000186265,10006212.280000001192093
20130129,3393067.689999999944121,3321381.199999999720603,3404554.149999999906868,10119004.039999999105930
20130130,3378476.010000000242144,3311563.649999999441206,3413163.299999999813735,10103203.960000000894070
20130131,3370724.180000000167638,3349126.449999999254942,3413163.299999999813735,10133014.929999999701977
20130201,3382579.920000000391155,3410165.999999999534339,3487515.050000000279397,10280261.970000000670552
20130204,3379387.990000000223517,3329491.349999999627471,3484384.450000000186265,10193264.789999999105930
20130205,3404467.439999999944121,3357236.600000000093132,3487515.050000000279397,10249220.089999999850988
20130206,3437754.709999999962747,3370468.949999999254942,3502385.399999999906868,10310610.059999998658895
20130207,3422707.040000000037253,3377298.549999999813735,3479688.549999999813735,10279695.140000000596046
20130208,3441858.620000000111759,3366200.449999999720603,3471079.399999999906868,10279139.470000000670552
20130211,3438666.689999999944121,3381140.199999999254942,3468731.449999999720603,10288539.339999997988343
20130212,3456450.299999999813735,3410592.850000000093132,3478123.249999999534339,10345167.400000000372529
20130213,3450066.439999999944121,3414434.499999999534339,3484384.450000000186265,10348886.390000000596046
20130214,3456906.290000000037253,3429374.250000000000000,3469514.099999999627471,10355795.640000000596046
20130215,3472865.939999999944121,3431508.499999999534339,3474992.649999999906868,10379368.089999999850988
20130219,3509345.139999999664724,3440472.349999999161810,3482819.149999999906868,10432637.639999998733401
20130220,3495209.450000000186265,3419556.699999999720603,3515690.450000000186265,10430457.600000001490116
20130221,3505241.230000000447035,3431081.649999999441206,3531343.449999999720603,10467667.330000000074506
20130222,3476969.850000000093132,3457973.199999999720603,3553257.649999999906868,10488201.699999999254942
20130225,3445962.529999999795109,3382847.599999999627471,3578302.449999999720603,10407113.579999998211861
20130226,3454170.350000000093132,3416568.750000000000000,3609608.449999999720603,10480348.549999998882413
20130227,3480161.779999999795109,3448155.649999999906868,3627609.399999999906868,10555927.830000000074506
20130228,3470585.990000000223517,3432789.049999999813735,3641697.100000000093132,10545073.140000000596046
20130301,3497489.400000000372529,3444313.999999999534339,3656567.449999999720603,10598371.849999999627471
20130304,3520288.900000000372529,3437057.549999999348074,3687090.799999999813735,10644438.250000000000000
20130305,3541264.439999999944121,3477181.449999999254942,3732484.499999999534339,10750931.389999998733401
20130306,3528952.709999999962747,3460534.299999999348074,3700395.850000000093132,10689883.859999999403954
20130307,3545368.350000000093132,3466083.349999999627471,3716048.849999999627471,10727501.549999998882413
20130308,3565431.910000000149012,3485291.600000000093132,3753616.049999999813735,10804340.559999998658895
20130311,3576831.660000000149012,3489560.099999999627471,3741876.300000000279397,10808269.060000000521541
20130312,3582303.540000000037253,3489133.249999999534339,3784922.049999999813735,10856359.839999999850988
20130313,3581847.549999999813735,3505353.549999999813735,3752050.749999999534339,10839252.849999999627471
20130314,3606927.000000000000000,3515597.949999999720603,3794313.849999999627471,10916839.799999998882413
20130315,3611030.910000000149012,3512183.149999999906868,3758311.950000000186265,10881527.010000001639128
20130318,3593703.290000000037253,3522854.399999999906868,3815445.399999999906868,10932004.089999999850988
20130319,3595983.240000000223517,3551026.499999999534339,3831098.399999999906868,10978109.140000000596046
20130320,3622886.650000000372529,3578771.750000000000000,3803705.649999999906868,11005365.050000000745058
20130321,3602823.090000000316650,3574930.099999999627471,3819358.649999999906868,10997112.839999999850988
20130322,3636110.359999999869615,3572368.999999999534339,3836576.950000000186265,11045057.309999998658895
20130325,3633374.420000000391155,3558709.799999999813735,3847534.049999999813735,11039619.269999999552965
20130326,3686725.250000000000000,3558282.949999999720603,3872578.849999999627471,11117588.049999998882413
20130327,3705876.830000000074506,3558709.799999999813735,3830315.749999999534339,11094903.379999998956919
20130328,3717732.570000000298023,3593711.499999999534339,3846751.399999999906868,11158196.470000000670552
20130401,3735972.170000000391155,3583467.099999999627471,3852229.949999999720603,11171670.219999998807907
20130402,3770627.410000000149012,3603102.199999999254942,3874144.149999999906868,11247874.759999999776483
20130403,3742356.029999999795109,3573649.549999999348074,3834229.000000000000000,11150235.579999998211861
20130404,3757859.689999999944121,3600114.250000000000000,3858491.149999999906868,11216466.089999999850988
20130405,3740988.060000000521541,3603102.199999999254942,3878840.050000000279397,11222931.310000000521541
20130408,3698580.990000000223517,3616761.399999999906868,3868665.600000000093132,11184008.990000000223517
20130409,3717276.580000000074506,3639811.299999999348074,3863187.049999999813735,11220275.929999999701977
20130410,3740076.080000000074506,3620176.199999999720603,3902319.549999999813735,11262572.829999998211861
20130411,3753755.779999999795109,3673532.449999999720603,3953191.799999999813735,11380481.029999999329448
20130412,3772907.359999999869615,3682069.449999999720603,3980584.549999999813735,11435562.359999999403954
20130415,3725940.389999999664724,3615907.699999999254942,3963366.250000000000000,11305215.339999999850988
20130416,3804826.660000000149012,3694448.099999999627471,3949278.549999999813735,11448554.309999998658895
20130417,3825802.200000000186265,3631274.299999999348074,3877274.750000000000000,11334352.250000000000000
20130418,3792970.920000000391155,3589869.849999999161810,3984497.799999999813735,11367339.570000000298023
20130419,3852705.609999999869615,3620176.199999999720603,4089372.899999999906868,11562255.709999999031425
20130422,3868209.270000000018626,3610358.649999999441206,4084676.999999999534339,11563245.919999999925494
20130423,3896480.650000000372529,3685911.099999999161810,4094851.449999999720603,11677244.199999999254942
20130424,3848145.709999999962747,3664995.449999999720603,4054153.649999999906868,11567295.810000000521541
20130425,3885992.879999999888241,3639811.299999999348074,4165289.949999999720603,11691095.129999998956919
20130426,3881432.980000000447035,3634689.100000000093132,4197378.599999999627471,11713501.679999999701977
20130429,3902408.520000000018626,3648775.149999999906868,4184073.549999999813735,11735258.219999998807907
