訓練日期,20101228 - 20110330
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11807304.539999999105930
真實報酬,1807304.539999999105930

夏普值報酬,0.172030454000000
夏普值風險,0.045181809634702
夏普值,3.807515798744604

預期報酬,25927.420288901928870
風險,111462.540658886166057
趨勢值,0.232611064987732
找到最佳解世代,2560
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
CVX[5](2),PFE[20](1),
Stock#,CVX[5](2),PFE[20](1),
張數,55481,285877,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,52.279999999329448,11.270000000484288,
20101228,5059364.669999998994172,5028587.700000000186265,10087952.369999999180436
20101229,5069351.250000000000000,5031446.470000000670552,10100797.720000000670552
20101230,5082111.879999998956919,5000000.000000000000000,10082111.879999998956919
20101231,5062693.529999999329448,5005717.540000000968575,10068411.070000000298023
20110103,5100975.419999998994172,5054316.630000000819564,10155292.050000000745058
20110104,5082111.879999998956919,5142938.500000000000000,10225050.379999998956919
20110105,5073234.919999998994172,5177243.740000000223517,10250478.660000000149012
20110106,5031624.169999998994172,5197255.130000000819564,10228879.300000000745058
20110107,5059364.669999998994172,5242995.450000000186265,10302360.119999999180436
20110110,5016089.489999999292195,5220125.290000000968575,10236214.780000001192093
20110111,5094872.509999998845160,5208690.209999999962747,10303562.719999998807907
20110112,5129270.729999999515712,5251571.760000000707805,10380842.490000000223517
20110113,5114290.859999999403954,5208690.209999999962747,10322981.070000000298023
20110114,5150353.509999998845160,5242995.450000000186265,10393348.959999999031425
20110118,5179203.629999998956919,5254430.530000000260770,10433634.160000000149012
20110119,5158120.849999999627471,5237277.910000000149012,10395398.759999999776483
20110120,5143695.789999999105930,5214407.750000000000000,10358103.539999999105930
20110121,5203060.459999999031425,5248712.990000000223517,10451773.449999999254942
20110124,5220814.379999998956919,5274441.919999999925494,10495256.299999998882413
20110125,5219704.759999998845160,5280159.459999999962747,10499864.219999998807907
20110126,5250774.119999999180436,5248712.990000000223517,10499487.109999999403954
20110127,5256877.029999999329448,5283018.230000000447035,10539895.259999999776483
20110128,5180313.250000000000000,5188678.820000000298023,10368992.070000000298023
20110131,5266863.609999999403954,5208690.209999999962747,10475553.820000000298023
20110201,5338434.099999999627471,5494567.209999999962747,10833001.309999998658895
20110202,5352859.159999999217689,5420239.190000000409782,10773098.349999999627471
20110203,5398908.389999999664724,5480273.360000001266599,10879181.750000000000000
20110204,5387812.189999999478459,5517437.370000001043081,10905249.560000000521541
20110207,5418326.739999999292195,5443109.350000000558794,10861436.089999999850988
20110208,5422765.219999998807907,5477414.590000000782311,10900179.809999998658895
20110209,5339543.719999998807907,5445968.120000001043081,10785511.839999999850988
20110210,5365064.979999999515712,5440250.580000001005828,10805315.560000000521541
20110211,5351194.729999999515712,5383075.179999999701977,10734269.910000000149012
20110214,5378935.229999999515712,5445968.120000001043081,10824903.350000001490116
20110215,5345091.819999999366701,5445968.120000001043081,10791059.940000001341105
20110216,5362845.739999999292195,5511719.830000001005828,10874565.570000000298023
20110217,5391141.049999999813735,5537448.760000000707805,10928589.810000000521541
20110218,5477136.599999999627471,5485990.900000001303852,10963127.500000000000000
20110222,5565906.199999999254942,5400227.800000000745058,10966134.000000000000000
20110223,5674094.149999999441206,5363063.790000000968575,11037157.940000001341105
20110224,5660778.709999999031425,5403086.570000000298023,11063865.279999999329448
20110225,5664662.379999998956919,5391651.490000000223517,11056313.869999999180436
20110228,5756206.029999999329448,5500284.750000000000000,11256490.779999999329448
20110301,5709047.179999999701977,5471697.050000000745058,11180744.230000000447035
20110302,5740671.349999999627471,5485990.900000001303852,11226662.250000000000000
20110303,5780617.669999998994172,5651799.560000000521541,11432417.230000000447035
20110304,5756206.029999999329448,5620353.090000000782311,11376559.120000001043081
20110307,5715150.089999999850988,5606059.240000000223517,11321209.330000000074506
20110308,5757315.649999999441206,5626070.630000000819564,11383386.280000001192093
20110309,5666881.619999999180436,5620353.090000000782311,11287234.710000000894070
20110310,5497109.759999998845160,5534589.990000000223517,11031699.750000000000000
20110311,5544268.609999999403954,5566036.459999999962747,11110305.070000000298023
20110314,5592537.079999999143183,5663234.639999999664724,11255771.719999998807907
20110315,5616393.909999999217689,5648940.790000000968575,11265334.699999999254942
20110316,5520966.589999999850988,5517437.370000001043081,11038403.960000000894070
20110317,5672429.719999998807907,5683246.030000000260770,11355675.750000000000000
20110318,5703499.079999999143183,5769009.130000000819564,11472508.210000000894070
20110321,5836098.669999998994172,5711833.730000000447035,11547932.399999998509884
20110322,5838317.909999999217689,5700398.650000001303852,11538716.560000000521541
20110323,5852188.159999999217689,5694681.110000001266599,11546869.269999999552965
20110324,5846640.059999998658895,5803314.370000001043081,11649954.429999999701977
20110325,5924313.459999999031425,5817608.220000000670552,11741921.679999999701977
20110328,5883257.519999999552965,5794738.060000000521541,11677995.580000000074506
20110329,5957047.250000000000000,5826184.530000000260770,11783231.780000001192093
20110330,5992555.089999999850988,5814749.450000000186265,11807304.539999999105930
