訓練日期,20111209 - 20120314
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12096385.110000001266599
真實報酬,2096385.110000001266599

夏普值報酬,0.200938511000000
夏普值風險,0.051791501593115
夏普值,3.879758354538828

預期報酬,29623.355058346227452
風險,71453.387415723482263
趨勢值,0.414582934829868
找到最佳解世代,2709
找到最佳解實驗#,1
找到最佳解次數,35

stock[index](rank)
投資組合檔數,5
AAPL[0](6),MCD[15](26),MSFT[18](1),NKE[19](3),PFE[20](22),
20120124,2152298.750000000000000,2037762.050000000046566,2310235.600000000093132,2147057.750000000000000,2145615.259999999776483,10792969.410000000149012
20120125,2286680.000000000000000,2047666.850000000093132,2327558.399999999906868,2168066.000000000000000,2151558.739999999757856,10981529.990000000223517
20120126,2276287.850000000093132,2046635.100000000093132,2322834.000000000000000,2149578.739999999292195,2142643.520000000018626,10937979.209999999031425
20120127,2289905.149999999906868,2036523.949999999953434,2301574.200000000186265,2145377.089999999850988,2127784.819999999832362,10901165.210000000894070
20120130,2319289.850000000093132,2036523.949999999953434,2331495.399999999906868,2172267.650000000372529,2137690.619999999646097,10997267.469999998807907
20120131,2336848.999999999534339,2043952.550000000046566,2325196.200000000186265,2184872.599999999627471,2119860.179999999701977,11010730.529999999329448
20120201,2335415.600000000093132,2030539.800000000279397,2353542.600000000093132,2179830.620000000111759,2110944.959999999962747,11010273.580000001937151
20120202,2330040.349999999627471,2035079.500000000232831,2358267.000000000000000,2160503.030000000260770,2091133.359999999869615,10975023.239999998360872
20120203,2353333.100000000093132,2063762.150000000139698,2381101.600000000093132,2174788.639999999664724,2100048.580000000074506,11073034.069999998435378
20120206,2375192.449999999720603,2053031.949999999953434,2377952.000000000000000,2173948.309999999590218,2075284.079999999841675,11055408.789999999105930
20120207,2400276.950000000186265,2082333.649999999906868,2389763.000000000000000,2189914.580000000074506,2085189.880000000121072,11147478.060000000521541
20120208,2440412.149999999906868,2064587.550000000046566,2414172.399999999906868,2225208.439999999478459,2081227.560000000055879,11225608.099999999627471
20120209,2524624.399999999906868,2063349.449999999953434,2422833.799999999813735,2221847.120000000111759,2094105.100000000093132,11326759.869999999180436
20120210,2526057.799999999813735,2052619.250000000000000,2401574.000000000000000,2214284.150000000372529,2085189.880000000121072,11279725.080000000074506
20120213,2573001.649999999906868,2056333.550000000279397,2407873.199999999720603,2210922.830000000074506,2109954.379999999888241,11358085.609999999403954
20120214,2608119.949999999720603,2054270.050000000046566,2381889.000000000000000,2240334.379999999888241,2112926.119999999646097,11397539.499999998137355
20120215,2547917.149999999906868,2034873.150000000139698,2366141.000000000000000,2239494.049999999813735,2091133.359999999869615,11279558.709999999031425
20120216,2570851.549999999813735,2048285.900000000139698,2463778.600000000093132,2230250.419999999925494,2112926.119999999646097,11426092.589999999850988
20120217,2570493.200000000186265,2063349.449999999953434,2460629.000000000000000,2241174.709999999962747,2099058.000000000000000,11434704.359999999403954
20120221,2635712.899999999906868,2073666.949999999953434,2475589.600000000093132,2205040.519999999552965,2102029.739999999757856,11492039.709999999031425
20120222,2626395.800000000279397,2077174.899999999906868,2462203.799999999813735,2221006.790000000037253,2115897.859999999869615,11502679.149999998509884
20120223,2643596.599999999627471,2080270.150000000139698,2470077.800000000279397,2230250.419999999925494,2083208.720000000204891,11507403.690000001341105
20120224,2674414.699999999720603,2070159.000000000000000,2478739.200000000186265,2232771.410000000149012,2098067.419999999925494,11554151.729999998584390
20120227,2691615.500000000000000,2070984.400000000139698,2468503.000000000000000,2251258.669999999925494,2105992.060000000055879,11588353.630000000819564
20120228,2741067.799999999813735,2059016.100000000093132,2509447.800000000279397,2257140.979999999515712,2102029.739999999757856,11668702.419999999925494
20120229,2776902.799999999813735,2048698.600000000093132,2499211.600000000093132,2267224.939999999478459,2093114.519999999785796,11685152.459999999031425
20120301,2787294.949999999720603,2048079.550000000046566,2542518.600000000093132,2280670.219999999739230,2128775.399999999906868,11787338.720000000670552
20120302,2790878.449999999720603,2053238.300000000046566,2525983.199999999720603,2284871.870000000111759,2120850.759999999776483,11775822.580000000074506
20120305,2729600.600000000093132,2062317.699999999953434,2503936.000000000000000,2294955.830000000074506,2129765.979999999981374,11720576.109999999403954
20120306,2714549.899999999906868,2061285.949999999953434,2485038.399999999906868,2255460.320000000298023,2106982.640000000130385,11623317.210000000894070
20120307,2716700.000000000000000,2067270.100000000093132,2507085.600000000093132,2260502.299999999813735,2116888.439999999944121,11668446.439999999478459
20120308,2774752.700000000186265,2000825.399999999906868,2520471.399999999906868,2267224.939999999478459,2125803.660000000149012,11689078.099999999627471
20120309,2790878.449999999720603,1998349.200000000186265,2518896.600000000093132,2310922.099999999627471,2127784.819999999832362,11746831.169999999925494
20120312,2825996.750000000000000,1994634.899999999906868,2522833.600000000093132,2299157.479999999515712,2133728.299999999813735,11776351.030000001192093
20120313,2908417.250000000000000,1997111.100000000093132,2572439.800000000279397,2326888.370000000111759,2180285.560000000055879,11985142.080000000074506
20120314,3018430.700000000186265,2007634.950000000186265,2580313.800000000279397,2317644.739999999292195,2172360.919999999925494,12096385.110000001266599
